"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"06/04/2021 00:00:14","N","3527.49426379","6420.57723775","3345.74547124"
"06/04/2021 00:15:08","N","3524.52301135","6416.19159999","3344.64534493"
"06/04/2021 00:30:08","N","3529.80688586","6421.6650485","3349.64162402"
"06/04/2021 00:45:07","N","3526.47131457","6419.63661757","3346.65170436"
"06/04/2021 01:00:12","N","3530.43737903","6443.80736389","3376.24701457"
"06/04/2021 01:15:09","N","3527.66211047","6440.92868307","3393.07555704"
"06/04/2021 01:30:08","N","3517.27105823","6429.80813327","3381.50739527"
"06/04/2021 01:45:08","N","3517.1819469","6430.46879211","3397.28249712"
"06/04/2021 02:00:14","N","3511.25854602","6410.62102499","3369.40434198"
"06/04/2021 02:15:09","N","3503.38116565","6402.3849602","3343.30922177"
"06/04/2021 02:30:08","N","3511.35852161","6410.99746164","3344.95896456"
"06/04/2021 02:45:08","N","3507.13409534","6405.49455025","3346.48309014"
"06/04/2021 03:00:15","N","3505.76287952","6406.25081196","3339.55187554"
"06/04/2021 03:15:08","N","3501.37121692","6400.44835624","3330.03667119"
"06/04/2021 03:30:08","N","3503.95550647","6402.2031435","3326.027"
"06/04/2021 03:45:08","N","3501.48529163","6399.75693989","3325.827"
"06/04/2021 04:00:12","N","3494.71655383","6385.24819947","3313.427"
"06/04/2021 04:15:09","N","3505.47076526","6395.57085572","3325.627"
"06/04/2021 04:30:09","N","3494.14581409","6385.03063355","3317.927"
"06/04/2021 04:45:08","N","3494.78704944","6384.94025269","3315.727"
"06/04/2021 05:00:14","N","3488.54248157","6378.82221069","3314.827"
"06/04/2021 05:15:09","N","3488.33532825","6378.66571655","3317.127"
"06/04/2021 05:30:08","N","3493.45062366","6382.86981812","3329.327"
"06/04/2021 05:45:08","N","3492.44000354","6382.5678772","3319.427"
"06/04/2021 06:00:11","N","3496.6453258","6386.95044556","3324.427"
"06/04/2021 06:15:08","N","3483.62329211","6373.675177","3308.927"
"06/04/2021 06:30:07","N","3496.54107776","6386.99805298","3324.127"
"06/04/2021 06:45:08","N","3493.95379748","6384.81454468","3314.527"
"06/04/2021 07:00:11","N","3490.44763293","6389.78029653","3328.327"
"06/04/2021 07:15:08","N","3496.97784534","6396.13326284","3327.927"
"06/04/2021 07:30:09","N","3492.81317248","6391.79266224","3326.027"
"06/04/2021 07:45:07","N","3501.22931018","6400.51251088","3328.327"
"06/04/2021 08:00:13","N","3497.92266955","6396.69964466","3334.327"
"06/04/2021 08:15:08","N","3502.80865588","6401.38305531","3341.627"
"06/04/2021 08:30:07","N","3500.13342395","6398.73309193","3344.527"
"06/04/2021 08:45:08","N","3497.03979602","6395.57610951","3339.127"
"06/04/2021 09:00:14","N","3496.17724719","6395.38571644","3343.827"
"06/04/2021 09:15:08","N","3492.17920032","6390.90677357","3337.427"
"06/04/2021 09:30:08","N","3502.94659534","6402.30566273","3350.927"
"06/04/2021 09:45:08","N","3503.76471057","6402.84665394","3353.927"
"06/04/2021 10:00:13","N","3505.37719836","6408.23758412","3357.427"
"06/04/2021 10:15:08","N","3504.32757678","6401.64358998","3352.427"
"06/04/2021 10:30:07","N","3501.70324817","6405.37369251","3354.627"
"06/04/2021 10:45:08","N","3499.04669299","6397.43366566","3347.727"
"06/04/2021 11:00:14","N","3443.54718127","6119.4391861","3354.927"
"06/04/2021 11:15:09","N","3437.99414172","6112.92800179","3345.127"
"06/04/2021 11:30:08","N","3448.57086291","6124.37686768","3356.127"
"06/04/2021 11:45:07","N","3440.94024768","6116.1512928","3351.027"
"06/04/2021 12:00:12","N","3440.12134534","6106.65897718","3348.533"
"06/04/2021 12:15:08","N","3435.94014614","6101.8955026","3318.23100003"
"06/04/2021 12:30:08","N","3428.06768032","6094.04842741","3313.46100003"
"06/04/2021 12:45:09","N","3431.29127162","6097.39728726","3321.40120499"
"06/04/2021 13:00:13","N","3426.54014515","6092.42486518","3319.04225958"
"06/04/2021 13:15:09","N","3430.64801821","6097.20500478","3322.96538471"
"06/04/2021 13:30:08","N","3429.93548402","6094.7027418","3341.13279489"
"06/04/2021 13:45:08","N","3432.86232143","6097.30281642","3322.24595916"
"06/04/2021 14:00:15","N","3445.65411683","6109.49205386","3359.42575616"
"06/04/2021 14:15:12","N","3438.64027404","6102.25658246","3356.10294473"
"06/04/2021 14:30:12","N","3435.20002746","6099.40151876","3348.71785269"
"06/04/2021 14:45:12","N","3427.61378479","6092.17207556","3342.22418404"
"06/04/2021 15:00:16","N","3428.46931457","6193.02820581","3349.61775957"
"06/04/2021 15:15:11","N","3429.93244934","6196.14760076","3354.09883573"
"06/04/2021 15:30:11","N","3427.20246887","6190.96567445","3348.32207685"
"06/04/2021 15:45:10","N","3427.15992736","6191.84689509","3355.77370409"
"06/04/2021 16:00:13","N","3430.04286193","6194.32517147","3333.45782179"
"06/04/2021 16:15:12","N","3432.28242492","6195.83831858","3340.89642882"
"06/04/2021 16:30:12","N","3420.47828674","6184.00277805","3334.76108238"
"06/04/2021 16:45:11","N","3423.24568176","6187.3448013","3342.237733"
"06/04/2021 17:00:16","N","3424.40974426","6190.62194085","3391.68394658"
"06/04/2021 17:15:12","N","3415.92628479","6180.93538594","3383.57900559"
"06/04/2021 17:30:11","N","3412.41835021","6176.71844542","3304.59674401"
"06/04/2021 17:45:10","N","3415.52546691","6180.44242656","3313.80824606"
"06/04/2021 18:00:17","N","3416.16566467","6180.15550386","3375.20287244"
"06/04/2021 18:15:12","N","3418.96662902","6182.1362735","3379.66264679"
"06/04/2021 18:30:11","N","3416.68757629","6180.31545472","3374.74012963"
"06/04/2021 18:45:11","N","3416.98231506","6181.04414123","3372.90519555"
"06/04/2021 19:00:18","N","3361.88276672","6004.64220035","3311.42843332"
"06/04/2021 19:15:12","N","3362.74507141","6005.24851286","3301.99831693"
"06/04/2021 19:30:11","N","3356.7749176","5999.73560851","3299.45410679"
"06/04/2021 19:45:11","N","3361.68525695","6004.31684631","3309.71411484"
"06/04/2021 20:00:15","N","3359.56202697","6093.64798033","3333.84392105"
"06/04/2021 20:15:09","N","3355.19551086","6089.69066321","3325.77630811"
"06/04/2021 20:30:08","N","3358.0039215","6093.50930631","3330.74187881"
"06/04/2021 20:45:08","N","3360.72676086","6095.87358367","3328.91156141"
"06/04/2021 21:00:11","N","3364.1532135","5999.85849189","3340.11021723"
"06/04/2021 21:15:09","N","3361.43226623","5997.14051246","3335.916896"
"06/04/2021 21:30:09","N","3364.8296051","6002.04677629","3333.61846013"
"06/04/2021 21:45:08","N","3364.50337219","5998.69466137","3332.1"
"06/04/2021 22:00:12","N","3362.83460998","5998.9595251","3314.50119395"
"06/04/2021 22:15:12","N","3360.13301086","5995.29978108","3318.40474858"
"06/04/2021 22:30:12","N","3364.63423156","5999.43443644","3322.00499722"
"06/04/2021 22:45:11","N","3363.14277648","5999.30786228","3317.80235795"
"06/04/2021 23:00:15","N","3358.28144836","6014.23087882","3314.2996118"
"06/04/2021 23:15:12","N","3355.89149475","6010.68039059","3313.8"
"06/04/2021 23:30:12","N","3349.95716857","6004.78384518","3304.4"
"06/04/2021 23:45:11","N","3352.40028381","6006.99911618","3306.1"
