"SCED Time Stamp","Repeated Hour Flag","SUM TELEM DSR LOAD","SUM TELEM DSR GEN"
"06/18/2021 00:00:22","N","2495.9","0"
"06/18/2021 00:15:13","N","2431.9","0"
"06/18/2021 00:30:13","N","2368.2","0"
"06/18/2021 00:45:14","N","2319.6","0"
"06/18/2021 01:00:19","N","2270.7","0"
"06/18/2021 01:15:13","N","2223.3","0"
"06/18/2021 01:30:14","N","2175.4","0"
"06/18/2021 01:45:13","N","2146.1","0"
"06/18/2021 02:00:19","N","2105","0"
"06/18/2021 02:15:14","N","2072.6","0"
"06/18/2021 02:30:13","N","2051.4","0"
"06/18/2021 02:45:13","N","2018.8","0"
"06/18/2021 03:00:18","N","1987.9","0"
"06/18/2021 03:15:13","N","1964.1","0"
"06/18/2021 03:30:14","N","1949.7","0"
"06/18/2021 03:45:13","N","1927.6","0"
"06/18/2021 04:00:19","N","1912.5","0"
"06/18/2021 04:15:13","N","1901.7","0"
"06/18/2021 04:30:14","N","1885.3","0"
"06/18/2021 04:45:14","N","1884.7","0"
"06/18/2021 05:00:20","N","1874.3","0"
"06/18/2021 05:15:09","N","1891.3","0"
"06/18/2021 05:30:09","N","1884.8","0"
"06/18/2021 05:45:08","N","1888","0"
"06/18/2021 06:00:13","N","1906.2","0"
"06/18/2021 06:15:09","N","1918.4","0"
"06/18/2021 06:30:09","N","1915.6","0"
"06/18/2021 06:45:09","N","1920.4","0"
"06/18/2021 07:00:13","N","1944","0"
"06/18/2021 07:15:10","N","1988.6","0"
"06/18/2021 07:30:09","N","2024.9","0"
"06/18/2021 07:45:08","N","2066.3","0"
"06/18/2021 08:00:14","N","2116.5","0"
"06/18/2021 08:15:09","N","2175.8","0"
"06/18/2021 08:30:09","N","2235.2","0"
"06/18/2021 08:45:09","N","2278","0"
"06/18/2021 09:00:13","N","2323.5","0"
"06/18/2021 09:15:10","N","2386.2","0"
"06/18/2021 09:30:09","N","2449.3","0"
"06/18/2021 09:45:08","N","2518.1","0"
"06/18/2021 10:00:13","N","2584.1","0"
"06/18/2021 10:15:08","N","2645","0"
"06/18/2021 10:30:08","N","2700.5","0"
"06/18/2021 10:45:08","N","2767.2","0"
"06/18/2021 11:00:18","N","2834.8","0"
"06/18/2021 11:15:12","N","2896.6","0"
"06/18/2021 11:30:12","N","2961","0"
"06/18/2021 11:45:13","N","3018.1","0"
"06/18/2021 12:00:20","N","3087.7","0"
"06/18/2021 12:15:13","N","3132.2","0"
"06/18/2021 12:30:13","N","3191.9","0"
"06/18/2021 12:45:15","N","3257.5","0"
"06/18/2021 13:00:22","N","3297.7","0"
"06/18/2021 13:15:13","N","3341","0"
"06/18/2021 13:30:14","N","3376.2","0"
"06/18/2021 13:45:13","N","3417.8","0"
"06/18/2021 14:00:19","N","3437.3","0"
"06/18/2021 14:15:13","N","3467.4","0"
"06/18/2021 14:30:14","N","3491.5","0"
"06/18/2021 14:45:15","N","3510.6","0"
"06/18/2021 15:00:18","N","3525.1","0"
"06/18/2021 15:15:13","N","3547.2","0"
"06/18/2021 15:30:14","N","3554.5","0"
"06/18/2021 15:45:13","N","3572.8","0"
"06/18/2021 16:00:17","N","3601.9","0"
"06/18/2021 16:15:12","N","3607.6","0"
"06/18/2021 16:30:13","N","3619.2","0"
"06/18/2021 16:45:14","N","3625.9","0"
"06/18/2021 17:00:19","N","3616.4","0"
"06/18/2021 17:15:13","N","3610.2","0"
"06/18/2021 17:30:13","N","3610","0"
"06/18/2021 17:45:12","N","3598.4","0"
"06/18/2021 18:00:20","N","3572.2","0"
"06/18/2021 18:15:12","N","3529.8","0"
"06/18/2021 18:30:12","N","3499","0"
"06/18/2021 18:45:12","N","3465.3","0"
"06/18/2021 19:00:17","N","3430.6","0"
"06/18/2021 19:15:12","N","3379.9","0"
"06/18/2021 19:30:12","N","3336.4","0"
"06/18/2021 19:45:12","N","3294.6","0"
"06/18/2021 20:00:17","N","3224.5","0"
"06/18/2021 20:15:14","N","3171.9","0"
"06/18/2021 20:30:13","N","3113.9","0"
"06/18/2021 20:45:13","N","3070.4","0"
"06/18/2021 21:00:17","N","3039","0"
"06/18/2021 21:15:13","N","3000.3","0"
"06/18/2021 21:30:13","N","2958.2","0"
"06/18/2021 21:45:12","N","2909.1","0"
"06/18/2021 22:00:18","N","2847.4","0"
"06/18/2021 22:15:12","N","2792.5","0"
"06/18/2021 22:30:13","N","2731","0"
"06/18/2021 22:45:14","N","2660.2","0"
"06/18/2021 23:00:17","N","2589","0"
"06/18/2021 23:15:13","N","2520.9","0"
"06/18/2021 23:30:13","N","2445.4","0"
"06/18/2021 23:45:13","N","2374.6","0"
