"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"06/29/2021 00:00:19","N","3041.80664122","5415.67288569","3277.00478973"
"06/29/2021 00:15:11","N","3035.36065769","5417.05560294","3177.40042958"
"06/29/2021 00:30:11","N","3033.39529371","5420.50706592","3180.80440772"
"06/29/2021 00:45:12","N","3038.33819174","5429.16949609","3185.70273467"
"06/29/2021 01:00:17","N","3021.88923311","5218.44708088","3196.19959225"
"06/29/2021 01:15:09","N","3032.26788973","5222.65326925","3202.80058438"
"06/29/2021 01:30:09","N","3029.7860403","5214.53857169","3197.1"
"06/29/2021 01:45:09","N","3020.41580057","5204.14806417","3183.70450991"
"06/29/2021 02:00:13","N","3022.58038949","5213.36196956","3203.59368638"
"06/29/2021 02:15:08","N","3020.50378429","5231.17473719","3218.6989439"
"06/29/2021 02:30:08","N","3021.2153958","5233.68187323","3219.79959071"
"06/29/2021 02:45:17","N","3024.66599357","5240.40443799","3226.00412237"
"06/29/2021 03:00:13","N","3021.81204581","5237.06519541","3207.20111919"
"06/29/2021 03:15:08","N","3025.93417763","5241.4258869","3209.80241464"
"06/29/2021 03:30:08","N","3022.98645734","5241.26834235","3207.89873023"
"06/29/2021 03:45:09","N","3029.96401643","5252.97178456","3219.89760951"
"06/29/2021 04:00:13","N","3028.39351415","5257.50298724","3223.89568614"
"06/29/2021 04:15:08","N","3022.19866204","5247.85642991","3216.69966864"
"06/29/2021 04:30:09","N","3026.52464997","5253.33772764","3219.79919402"
"06/29/2021 04:45:08","N","3026.79969835","5249.96211276","3214.90622859"
"06/29/2021 05:00:12","N","3025.31568312","5231.61149964","3200.19934043"
"06/29/2021 05:15:09","N","3034.59663116","5231.17498574","3198.12265665"
"06/29/2021 05:30:08","N","3033.09643912","5219.54960916","3190.63406651"
"06/29/2021 05:45:07","N","3014.31911349","5197.24684629","3165.17058658"
"06/29/2021 06:00:12","N","3053.42142653","5241.17002997","3212.2069585"
"06/29/2021 06:15:07","N","3044.36467373","5231.92265979","3203.1467323"
"06/29/2021 06:30:09","N","3047.71800071","5239.53957966","3212.33529363"
"06/29/2021 06:45:08","N","3048.83252239","5239.70994869","3212.60810302"
"06/29/2021 07:00:12","N","3054.16663646","5247.11542747","3216.91166839"
