"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"07/04/2021 00:00:16","N","3.29076818","780.88379215",".00001","4102.1371265","4102.32137276","0","0","0","0","4095.10596"
"07/04/2021 00:15:09","N","3.23014334","783.5331664",".00001","4073.42150715","4073.61725258","0","0","0","0","4057.55252"
"07/04/2021 00:30:09","N","3.17045573","783.47247933",".00001","4036.91928725","4037.11928725","0","0","0","0","4032.14726"
"07/04/2021 00:45:08","N","3.1657683","783.46779191",".00001","3920.65565209","3920.85565209","0","0","0","0","3911.79429"
"07/04/2021 01:00:14","N","4.05639318","782.04841923",".00001","3943.74861416","3943.81764702","0","0","0","0","3941.2315"
"07/04/2021 01:15:09","N","4.67576817","778.75679778",".00001","3793.08528539","3793.28528539","0","0","0","0","3795.7578"
"07/04/2021 01:30:09","N","9.0363932","783.11842321",".00001","3602.41652723","3602.61652723","0","0","0","0","3604.91625"
"07/04/2021 01:45:09","N","9.70389322","783.78592323",".00001","3613.92451593","3614.12451593","0","0","0","0","3615.13774"
"07/04/2021 02:00:13","N","9.99889329","802.19991659",".00001","3352.09173431","3352.29173431","0","0","0","0","3355.51685"
"07/04/2021 02:15:10","N","9.74389318","801.94591688",".00001","3143.42241868","3143.60891561","0","0","0","0","3147.09636"
"07/04/2021 02:30:08","N","9.6988931","801.8999164",".00001","2925.01202548","2925.21202548",".08999999","0","0","0","2925.49516"
"07/04/2021 02:45:09","N","9.97639326","802.17741655",".00001","2755.16785298","2770.96785241","0","0","0","0","2769.87598"
"07/04/2021 03:00:12","N","10.20139364","803.34242939",".00001","2652.19528564","2652.34397105","0","0","0","0","2652.07932"
"07/04/2021 03:15:08","N","9.63889364","802.55991291",".00001","2524.94498445","2525.14177331",".26999998","0","0","0","2526.647"
"07/04/2021 03:30:08","N","9.2688928","802.18991207",".00001","2438.06895651","2438.26895651",".037","0","0","0","2432.10482"
"07/04/2021 03:45:10","N","10.7688928","803.68991207",".00001","2277.00541751","2277.20541751","0","0","0","0","2283.11751"
"07/04/2021 04:00:14","N","9.7613931","804.37241673",".00001","2106.44279531","2106.57054591","0","0","0","0","2109.40044"
"07/04/2021 04:15:09","N","9.90889314","802.9089167",".00001","1966.59256608","1966.79256609","0","0","0","0","1968.29585"
