"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"07/13/2021 00:00:15","N","781.49999618","1716.5","456.4"
"07/13/2021 00:15:08","N","781.49999618","1716.5","455.5"
"07/13/2021 00:30:08","N","773.49999618","1708.5","448.9"
"07/13/2021 00:45:08","N","776.49999618","1711.5","450.9"
"07/13/2021 01:00:12","N","773.49999618","1708.5","448.2"
"07/13/2021 01:15:08","N","769.49999618","1704.5","445.6"
"07/13/2021 01:30:08","N","774.49999618","1709.5","449.1"
"07/13/2021 01:45:07","N","773.49999618","1708.5","449.1"
"07/13/2021 02:00:12","N","776.49999618","1711.5","451.5"
"07/13/2021 02:15:08","N","772.49999618","1707.5","447.3"
"07/13/2021 02:30:08","N","775.49999618","1710.5","449.9"
"07/13/2021 02:45:07","N","777.49999618","1712.5","452.1"
"07/13/2021 03:00:12","N","778.49999618","1713.5","454"
"07/13/2021 03:15:07","N","781.49999618","1716.5","455.5"
"07/13/2021 03:30:08","N","781.49999618","1716.5","455.7"
"07/13/2021 03:45:09","N","781.49999618","1716.5","455.8"
"07/13/2021 04:00:12","N","782.49999618","1717.5","458.2"
"07/13/2021 04:15:08","N","777.49999618","1712.5","452.4"
"07/13/2021 04:30:07","N","780.49999618","1715.5","454.5"
"07/13/2021 04:45:08","N","779.49999618","1714.5","453.3"
"07/13/2021 05:00:11","N","780.49999618","1715.5","453.6"
"07/13/2021 05:15:08","N","783.49999618","1718.5","456.6"
"07/13/2021 05:30:07","N","780.49999618","1715.5","453.1"
"07/13/2021 05:45:08","N","783.49999618","1718.5","457"
"07/13/2021 06:00:11","N","783.49999618","1718.5","457.7"
"07/13/2021 06:15:09","N","779.49999618","1714.5","454"
"07/13/2021 06:30:08","N","780.49999618","1715.5","454.6"
"07/13/2021 06:45:09","N","775.49999618","1710.5","449.1"
"07/13/2021 07:00:11","N","775.49999618","1710.5","449.8"
"07/13/2021 07:15:08","N","774.49999618","1709.5","448.3"
"07/13/2021 07:30:08","N","769.49999618","1704.5","443.6"
"07/13/2021 07:45:08","N","767.49999618","1702.5","443.8"
"07/13/2021 08:00:11","N","763.49999618","1698.5","439.2"
"07/13/2021 08:15:08","N","760.49999618","1695.5","432.1"
"07/13/2021 08:30:08","N","761.49999618","1696.5","431.6"
"07/13/2021 08:45:08","N","752.49999618","1687.5","427.8"
"07/13/2021 09:00:12","N","757.49999618","1692.5","431.4"
"07/13/2021 09:15:15","N","748.49999618","1683.5","423.4"
"07/13/2021 09:30:13","N","760.49999618","1695.5","431.6"
"07/13/2021 09:45:14","N","760.49999618","1695.5","431.1"
"07/13/2021 10:00:18","N","756.49999618","1691.5","427.5"
"07/13/2021 10:15:15","N","744.49999618","1679.5","420"
"07/13/2021 10:30:08","N","754.49999618","1689.5","423.7"
"07/13/2021 10:45:14","N","756.49999618","1691.5","431.2"
"07/13/2021 11:00:19","N","757.49999618","1692.5","432.6"
"07/13/2021 11:15:14","N","756.49999618","1691.5","431.4"
"07/13/2021 11:30:15","N","759.49999618","1694.5","434.6"
"07/13/2021 11:45:14","N","763.49999618","1698.5","438.2"
"07/13/2021 12:00:18","N","765.49999618","1700.5","439.8"
"07/13/2021 12:15:15","N","763.49999618","1698.5","437.9"
"07/13/2021 12:30:14","N","765.49999618","1700.5","437.2"
"07/13/2021 12:45:14","N","763.49999618","1698.5","433.6"
"07/13/2021 13:00:19","N","765.49999618","1700.5","438.2"
"07/13/2021 13:15:14","N","763.49999618","1698.5","436.1"
"07/13/2021 13:30:15","N","765.49999618","1700.5","435"
"07/13/2021 13:45:15","N","761.49999618","1696.5","434.2"
"07/13/2021 14:00:20","N","760.49999618","1695.5","435"
"07/13/2021 14:15:14","N","764.49999618","1699.5","436.9"
"07/13/2021 14:30:15","N","761.49999618","1696.5","434.7"
"07/13/2021 14:45:15","N","759.49999618","1694.5","432.1"
"07/13/2021 15:00:22","N","759.49999618","1694.5","431.5"
"07/13/2021 15:15:14","N","763.49999618","1699.5","435.1"
"07/13/2021 15:30:17","N","766.49999618","1701.5","438"
"07/13/2021 15:45:16","N","770.49999618","1705.5","442.6"
"07/13/2021 16:00:19","N","759.49999618","1694.5","430.3"
"07/13/2021 16:15:15","N","748.49999618","1683.5","420.6"
"07/13/2021 16:30:14","N","734.49999618","1669.5","406"
"07/13/2021 16:45:14","N","722.49999618","1657.5","396"
"07/13/2021 17:00:18","N","711.49999618","1646.5","385.3"
"07/13/2021 17:15:13","N","709.49999618","1644.5","384"
"07/13/2021 17:30:15","N","702.49999618","1637.5","377"
"07/13/2021 17:45:15","N","707.49999618","1642.5","382"
"07/13/2021 18:00:19","N","708.49999618","1643.5","383.2"
"07/13/2021 18:15:15","N","712.49999618","1647.5","388.2"
"07/13/2021 18:30:14","N","712.49999618","1647.5","386.3"
"07/13/2021 18:45:15","N","715.49999618","1650.5","389.5"
"07/13/2021 19:00:21","N","725.49999618","1660.5","400.2"
"07/13/2021 19:15:15","N","723.49999618","1658.5","398.5"
"07/13/2021 19:30:14","N","726.49999618","1661.5","399"
"07/13/2021 19:45:15","N","733.49999618","1668.5","405.8"
"07/13/2021 20:00:20","N","728.49999618","1663.5","400.5"
"07/13/2021 20:15:08","N","728.49999618","1663.5","402"
"07/13/2021 20:30:08","N","723.49999618","1658.5","398.3"
"07/13/2021 20:45:08","N","720.49999618","1655.5","396"
"07/13/2021 21:00:12","N","710.49999618","1645.5","383.6"
"07/13/2021 21:15:07","N","709.49999618","1644.5","383.6"
"07/13/2021 21:30:14","N","711.49999618","1646.5","385.5"
"07/13/2021 21:45:15","N","697.49999618","1632.5","372.5"
"07/13/2021 22:00:19","N","695.49999618","1630.5","369.7"
"07/13/2021 22:15:15","N","696.49999618","1631.5","371.3"
"07/13/2021 22:30:15","N","693.49999618","1628.5","365.9"
"07/13/2021 22:45:15","N","694.49999618","1629.5","368.6"
