"SCED Time Stamp","Repeated Hour Flag","SUM TELEM DSR LOAD","SUM TELEM DSR GEN"
"07/22/2021 00:00:18","N","2159.6","0"
"07/22/2021 00:15:07","N","2114.7","0"
"07/22/2021 00:30:07","N","2057.8","0"
"07/22/2021 00:45:07","N","2009.7","0"
"07/22/2021 01:00:13","N","1967.3","0"
"07/22/2021 01:15:08","N","1932","0"
"07/22/2021 01:30:08","N","1893.5","0"
"07/22/2021 01:45:07","N","1856.8","0"
"07/22/2021 02:00:13","N","1830","0"
"07/22/2021 02:15:08","N","1803.1","0"
"07/22/2021 02:30:08","N","1776.2","0"
"07/22/2021 02:45:07","N","1751.9","0"
"07/22/2021 03:00:11","N","1734.9","0"
"07/22/2021 03:15:07","N","1719.2","0"
"07/22/2021 03:30:08","N","1703.4","0"
"07/22/2021 03:45:09","N","1693","0"
"07/22/2021 04:00:12","N","1684.8","0"
"07/22/2021 04:15:08","N","1681.9","0"
"07/22/2021 04:30:08","N","1675.1","0"
"07/22/2021 04:45:08","N","1675.8","0"
"07/22/2021 05:00:12","N","1678.2","0"
"07/22/2021 05:15:08","N","1697.1","0"
"07/22/2021 05:30:08","N","1710","0"
"07/22/2021 05:45:08","N","1724.3","0"
"07/22/2021 06:00:12","N","1741.4","0"
"07/22/2021 06:15:08","N","1780.4","0"
"07/22/2021 06:30:08","N","1781.9","0"
"07/22/2021 06:45:08","N","1787.6","0"
"07/22/2021 07:00:12","N","1794.4","0"
"07/22/2021 07:15:07","N","1825.8","0"
"07/22/2021 07:30:08","N","1853","0"
"07/22/2021 07:45:07","N","1880.8","0"
"07/22/2021 08:00:14","N","1923.3","0"
"07/22/2021 08:15:08","N","1979.4","0"
"07/22/2021 08:30:08","N","2028.7","0"
"07/22/2021 08:45:08","N","2079.7","0"
"07/22/2021 09:00:11","N","2124.1","0"
"07/22/2021 09:15:07","N","2189.5","0"
"07/22/2021 09:30:08","N","2248.2","0"
"07/22/2021 09:45:07","N","2311.3","0"
"07/22/2021 10:00:14","N","2374.1","0"
"07/22/2021 10:15:14","N","2443","0"
"07/22/2021 10:30:15","N","2518.4","0"
"07/22/2021 10:45:13","N","2590.7","0"
"07/22/2021 11:00:17","N","2657.5","0"
"07/22/2021 11:15:14","N","2721.9","0"
"07/22/2021 11:30:14","N","2791.6","0"
"07/22/2021 11:45:16","N","2854.7","0"
"07/22/2021 12:00:18","N","2910.1","0"
"07/22/2021 12:15:14","N","2967.1","0"
"07/22/2021 12:30:14","N","3018.1","0"
"07/22/2021 12:45:14","N","3073.9","0"
"07/22/2021 13:00:19","N","3136.2","0"
"07/22/2021 13:15:17","N","3189.4","0"
"07/22/2021 13:30:16","N","3225.1","0"
"07/22/2021 13:45:14","N","3266.5","0"
"07/22/2021 14:00:20","N","3297.9","0"
"07/22/2021 14:15:14","N","3328.3","0"
"07/22/2021 14:30:15","N","3370.2","0"
"07/22/2021 14:45:13","N","3401.7","0"
"07/22/2021 15:00:18","N","3427.3","0"
"07/22/2021 15:15:13","N","3460.8","0"
"07/22/2021 15:30:14","N","3483.1","0"
"07/22/2021 15:45:18","N","3504.9","0"
"07/22/2021 16:00:20","N","3530.6","0"
"07/22/2021 16:15:13","N","3540.3","0"
"07/22/2021 16:30:13","N","3540.3","0"
"07/22/2021 16:45:22","N","3548.5","0"
"07/22/2021 17:00:15","N","3553.8","0"
"07/22/2021 17:15:12","N","3545.9","0"
"07/22/2021 17:30:12","N","3555.9","0"
"07/22/2021 17:45:09","N","3556.5","0"
"07/22/2021 18:00:15","N","3545.1","0"
"07/22/2021 18:15:10","N","3523","0"
"07/22/2021 18:30:09","N","3499.9","0"
"07/22/2021 18:45:10","N","3475","0"
"07/22/2021 19:00:15","N","3435.8","0"
"07/22/2021 19:15:10","N","3389.1","0"
"07/22/2021 19:30:09","N","3344.5","0"
"07/22/2021 19:45:09","N","3302.4","0"
"07/22/2021 20:00:14","N","3251.7","0"
"07/22/2021 20:15:10","N","3200.1","0"
"07/22/2021 20:30:09","N","3168.6","0"
"07/22/2021 20:45:09","N","3149.6","0"
"07/22/2021 21:00:12","N","3131.2","0"
"07/22/2021 21:15:10","N","3103.7","0"
"07/22/2021 21:30:09","N","3057.1","0"
"07/22/2021 21:45:11","N","3008.1","0"
"07/22/2021 22:00:14","N","2952.2","0"
"07/22/2021 22:15:10","N","2891","0"
"07/22/2021 22:30:09","N","2844.8","0"
"07/22/2021 22:45:10","N","2781","0"
"07/22/2021 23:00:14","N","2702.1","0"
"07/22/2021 23:15:11","N","2628.6","0"
"07/22/2021 23:30:09","N","2557.3","0"
"07/22/2021 23:45:09","N","2503.1","0"
