"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-IRR","SUM  HASL NON-IRR","SUM  LASL NON-IRR","SUM  BASE POINT WGR","SUM   HASL  WGR","SUM  LASL WGR","SUM  BASE POINT PVGR","SUM   HASL  PVGR","SUM  LASL PVGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"07/22/2021 00:00:18","N","30659.09828042","44404.69247889","22841.51675534","10917.13181994","10917.29050276",".02288099","2.96273516","2.96276516",".00001","4011.77130772","4087.82008092","3016.32143847","45897.23165"
"07/22/2021 00:15:07","N","30030.76553082","43061.30544757","22358.21548819","10820.07016561","10820.36086938",".02288099","2.96273516","2.96276516",".00001","4005.2467667","4082.70316998","3010.53878466","45061.4389"
"07/22/2021 00:30:07","N","29790.29803657","40469.06124019","21007.53078818","10652.45520167","10653.1966701",".02288099","2.96273516","2.96276516",".00001","4001.08885284","4077.16798632","3006.96053759","44546.79486"
"07/22/2021 00:45:07","N","29132.67429339","40109.35225677","20879.29450857","10544.90567439","10545.00566715","1.24288096","2.96273516","2.96276516",".00001","3994.32579977","4070.13811604","3001.27779834","43862.77856"
"07/22/2021 01:00:13","N","28696.86972782","39854.67577791","20708.69110083","10356.57957298","10356.98497278","1.24288096","2.96273516","2.96276516",".00001","4022.53616686","4128.12210862","3031.05721728","43187.01555"
"07/22/2021 01:15:08","N","28259.24214255","39880.39882683","20724.51968288","10111.14973762","10111.42460802","1.24288096","2.96273516","2.96276516",".00001","4023.36831654","4129.30285303","3033.80123584","42487.68065"
"07/22/2021 01:30:08","N","27749.43102264","39879.96173691","20726.26108455","10232.8478535","10233.8933533","1.21999996","2.96273516","2.96276516",".00001","4022.06561412","4125.80733113","3030.95437304","42186.8931"
"07/22/2021 01:45:07","N","27232.865242","39882.39604735","20730.74253749","10332.02474803","10332.18234796","1.21999996","2.96273516","2.96276516",".00001","4025.17790164","4131.0421931","3033.93697802","41722.6797"
"07/22/2021 02:00:13","N","26739.90818285","39934.1887443","20681.00735378","10197.86277758","10197.81861149","1.21999996","2.96273516","2.96276516",".00001","3999.21377568","4078.39759914","3007.31930224","41138.21404"
"07/22/2021 02:15:08","N","26399.80349373","39791.3651545","20674.9544599","10267.47362638","10268.53282619","1.21999996","2.96273516","2.96276516",".00001","3997.27887492","4074.84584157","3006.0588042","40763.67775"
