"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"08/01/2021 00:00:17","N","8308.23022","-81","8389.23022"
"08/01/2021 00:15:11","N","8133.59168","99.7","8033.89168"
"08/01/2021 00:30:13","N","8384.44758","99.7","8284.74758"
"08/01/2021 00:45:12","N","8910.30521","99.6","8810.70521"
"08/01/2021 01:00:16","N","9150.70096","78.1","9072.60096"
"08/01/2021 01:15:11","N","9303.48826","48.2","9255.28826"
"08/01/2021 01:30:13","N","9572.00933","48.2","9523.80933"
"08/01/2021 01:45:11","N","9765.30126","48.1","9717.20126"
"08/01/2021 02:00:16","N","9870.63964","27.1","9843.53964"
"08/01/2021 02:15:11","N","9941.08317",".1","9940.98317"
"08/01/2021 02:30:12","N","10111.34666",".2","10111.14666"
"08/01/2021 02:45:12","N","9743.39826","0","9743.39826"
"08/01/2021 03:00:17","N","9186.22372","0","9186.22372"
"08/01/2021 03:15:12","N","8784.45177","0","8784.45177"
"08/01/2021 03:30:12","N","8750.31526","0","8750.31526"
"08/01/2021 03:45:13","N","8939.21837","0","8939.21837"
"08/01/2021 04:00:19","N","8895.31093","0","8895.31093"
"08/01/2021 04:15:11","N","8825.17657","0","8825.17657"
"08/01/2021 04:30:13","N","9024.30687","0","9024.30687"
"08/01/2021 04:45:11","N","8953.43022",".1","8953.33022"
"08/01/2021 05:00:17","N","9037.00025","0","9037.00025"
"08/01/2021 05:15:12","N","9209.81339","0","9209.81339"
"08/01/2021 05:30:12","N","9286.94884",".1","9286.84884"
"08/01/2021 05:45:13","N","9580.57348",".1","9580.47348"
"08/01/2021 06:00:17","N","9718.98812",".1","9718.88812"
"08/01/2021 06:15:08","N","9446.51521",".1","9446.41521"
"08/01/2021 06:30:08","N","9147.98035","0","9147.98035"
"08/01/2021 06:45:08","N","9156.96884","0","9156.96884"
"08/01/2021 07:00:12","N","9240.97201","0","9240.97201"
"08/01/2021 07:15:07","N","8859.15148","0","8859.15148"
"08/01/2021 07:30:08","N","8082.97767","0","8082.97767"
"08/01/2021 07:45:07","N","7667.67591","0","7667.67591"
"08/01/2021 08:00:13","N","7488.31377","0","7488.31377"
"08/01/2021 08:15:09","N","7556.08182","-.1","7556.18182"
"08/01/2021 08:30:08","N","7305.03356","-.1","7305.13356"
"08/01/2021 08:45:07","N","7303.44971","0","7303.44971"
"08/01/2021 09:00:13","N","7468.42667","0","7468.42667"
"08/01/2021 09:15:08","N","7957.00678","0","7957.00678"
"08/01/2021 09:30:08","N","7738.29544","0","7738.29544"
"08/01/2021 09:45:08","N","7701.228","0","7701.228"
"08/01/2021 10:00:12","N","7524.82783","0","7524.82783"
"08/01/2021 10:15:07","N","6819.89331","0","6819.89331"
"08/01/2021 10:30:07","N","6897.12405","-.1","6897.22405"
"08/01/2021 10:45:07","N","7009.13043","-.1","7009.23043"
"08/01/2021 11:00:12","N","7639.11413","-.1","7639.21413"
"08/01/2021 11:15:07","N","7517.93407","0","7517.93407"
"08/01/2021 11:30:08","N","7566.72781","0","7566.72781"
"08/01/2021 11:45:08","N","7901.96584","139.8","7762.16584"
"08/01/2021 12:00:12","N","7776.96438","81.4","7695.56438"
"08/01/2021 12:15:07","N","8117.57014","0","8117.57014"
"08/01/2021 12:30:07","N","8490.63844","0","8490.63844"
"08/01/2021 12:45:07","N","8496.6962","0","8496.6962"
"08/01/2021 13:00:11","N","9120.03755","0","9120.03755"
"08/01/2021 13:15:07","N","9091.97841","0","9091.97841"
"08/01/2021 13:30:08","N","9548.87308",".1","9548.77308"
"08/01/2021 13:45:08","N","9708.77559","0","9708.77559"
"08/01/2021 14:00:13","N","10284.92086","-103.2","10388.12086"
"08/01/2021 14:15:07","N","10451.46253","-218.2","10669.66253"
"08/01/2021 14:30:08","N","10190.96343","-218.1","10409.06343"
"08/01/2021 14:45:07","N","10311.82368","-218.2","10530.02368"
"08/01/2021 15:00:12","N","10285.72837","-218.3","10504.02837"
"08/01/2021 15:15:11","N","10189.37864","-218","10407.37864"
"08/01/2021 15:30:13","N","9760.58288","-218.3","9978.88288"
"08/01/2021 15:45:13","N","9406.13126","-218.3","9624.43126"
"08/01/2021 16:00:17","N","8825.05909","-218.2","9043.25909"
"08/01/2021 16:15:12","N","8663.90354","-218.2","8882.10354"
"08/01/2021 16:30:12","N","8535.38482","-218.2","8753.58482"
"08/01/2021 16:45:13","N","8426.48275","-218.3","8644.78275"
"08/01/2021 17:00:20","N","8337.93685","-218.1","8556.03685"
"08/01/2021 17:15:12","N","8165.39318","-218.4","8383.79318"
"08/01/2021 17:30:12","N","7775.86971","-218.3","7994.16971"
"08/01/2021 17:45:13","N","7582.40656","-218.3","7800.70656"
"08/01/2021 18:00:21","N","7303.95321","-218.4","7522.35321"
"08/01/2021 18:15:12","N","7168.78498","-218.4","7387.18498"
"08/01/2021 18:30:12","N","6914.01924","-218.4","7132.41924"
"08/01/2021 18:45:13","N","6574.30731","-218.5","6792.80731"
"08/01/2021 19:00:17","N","6590.21758","-218.4","6808.61758"
"08/01/2021 19:15:11","N","6405.73218","-218.3","6624.03218"
"08/01/2021 19:30:12","N","6239.40722","-218.4","6457.80722"
"08/01/2021 19:45:13","N","5651.26196","-218.5","5869.76196"
"08/01/2021 20:00:18","N","5377.87166","-218.2","5596.07166"
"08/01/2021 20:15:12","N","4979.32824","-218.4","5197.72824"
"08/01/2021 20:30:12","N","4975.79117","-218.4","5194.19117"
"08/01/2021 20:45:12","N","4585.64468","-218.5","4804.14468"
"08/01/2021 21:00:18","N","4642.79386","-218.4","4861.19386"
"08/01/2021 21:15:11","N","4785.05653","-218.4","5003.45653"
"08/01/2021 21:30:12","N","4725.98244","-218.4","4944.38244"
"08/01/2021 21:45:12","N","4636.43004","-218.3","4854.73004"
"08/01/2021 22:00:16","N","4613.57938","-218.2","4831.77938"
"08/01/2021 22:15:12","N","4417.93912","-218.3","4636.23912"
"08/01/2021 22:30:14","N","4414.60254","-218.2","4632.80254"
"08/01/2021 22:45:13","N","4162.77638","-218.2","4380.97638"
"08/01/2021 23:00:17","N","4104.55969","-218.2","4322.75969"
"08/01/2021 23:15:12","N","3812.83241","-218.3","4031.13241"
"08/01/2021 23:30:13","N","3611.08638","-218.3","3829.38638"
"08/01/2021 23:45:13","N","3441.23579","-218.4","3659.63579"
