"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"08/03/2021 00:00:16","N","14308.69298","49.2","14259.49298"
"08/03/2021 00:15:09","N","14110.12336","49.2","14060.92336"
"08/03/2021 00:30:09","N","14008.4213","49.3","13959.1213"
"08/03/2021 00:45:09","N","13720.89938","49.6","13671.29938"
"08/03/2021 01:00:12","N","13700.20687","48.2","13652.00687"
"08/03/2021 01:15:08","N","13590.82142","40.3","13550.52142"
"08/03/2021 01:30:08","N","13648.28137","40.4","13607.88137"
"08/03/2021 01:45:08","N","13625.17572","40.7","13584.47572"
"08/03/2021 02:00:13","N","13539.66207","49.4","13490.26207"
"08/03/2021 02:15:08","N","13206.91854","49.8","13157.11854"
"08/03/2021 02:30:08","N","13166.59913","49.8","13116.79913"
"08/03/2021 02:45:07","N","12842.27215","49.6","12792.67215"
"08/03/2021 03:00:11","N","12642.88501","49.5","12593.38501"
"08/03/2021 03:15:08","N","12629.49156","-.4","12629.89156"
"08/03/2021 03:30:08","N","12630.30845","-.5","12630.80845"
"08/03/2021 03:45:08","N","12693.51019","-.4","12693.91019"
"08/03/2021 04:00:12","N","12695.12143","-.5","12695.62143"
"08/03/2021 04:15:08","N","12742.08023","-.4","12742.48023"
"08/03/2021 04:30:08","N","12671.90323","-.4","12672.30323"
"08/03/2021 04:45:09","N","12626.18989","-.1","12626.28989"
"08/03/2021 05:00:13","N","12715.27781","-.4","12715.67781"
"08/03/2021 05:15:09","N","12625.06477","-.6","12625.66477"
"08/03/2021 05:30:08","N","12591.46349","-.4","12591.86349"
"08/03/2021 05:45:09","N","12752.96984","-.3","12753.26984"
"08/03/2021 06:00:13","N","12618.91811","-.5","12619.41811"
"08/03/2021 06:15:09","N","13023.98253","-.4","13024.38253"
"08/03/2021 06:30:09","N","13074.62938","-.4","13075.02938"
"08/03/2021 06:45:08","N","12999.59563","-.7","13000.29563"
"08/03/2021 07:00:12","N","12898.29525","-.4","12898.69525"
"08/03/2021 07:15:07","N","12885.55283","-.3","12885.85283"
"08/03/2021 07:30:08","N","12896.22722","-.6","12896.82722"
"08/03/2021 07:45:08","N","12967.50615","-.5","12968.00615"
"08/03/2021 08:00:13","N","12749.08304","-.4","12749.48304"
"08/03/2021 08:15:09","N","12813.39043","-.6","12813.99043"
"08/03/2021 08:30:08","N","12802.92259","-.2","12803.12259"
"08/03/2021 08:45:08","N","12925.19272","-.4","12925.59272"
"08/03/2021 09:00:12","N","13188.96961","-.2","13189.16961"
"08/03/2021 09:15:09","N","13431.06956","-.4","13431.46956"
"08/03/2021 09:30:08","N","13640.7084","-.2","13640.9084"
"08/03/2021 09:45:09","N","13673.98662","-.3","13674.28662"
"08/03/2021 10:00:16","N","13817.91186","-.6","13818.51186"
"08/03/2021 10:15:08","N","13968.68341","-.4","13969.08341"
"08/03/2021 10:30:07","N","14013.3209","-.3","14013.6209"
"08/03/2021 10:45:08","N","14143.14389","-.2","14143.34389"
"08/03/2021 11:00:12","N","14414.73167","-.2","14414.93167"
"08/03/2021 11:15:08","N","14964.49266","-.4","14964.89266"
"08/03/2021 11:30:13","N","15253.65512","-.4","15254.05512"
"08/03/2021 11:45:13","N","15525.43166","-.4","15525.83166"
"08/03/2021 12:00:17","N","15919.63353","-.3","15919.93353"
"08/03/2021 12:15:12","N","15939.16482","-.7","15939.86482"
"08/03/2021 12:30:13","N","16593.04001","-.2","16593.24001"
"08/03/2021 12:45:13","N","16449.57392","-.4","16449.97392"
"08/03/2021 13:00:17","N","16662.58989","-.3","16662.88989"
"08/03/2021 13:15:13","N","16628.37229","-.5","16628.87229"
"08/03/2021 13:30:11","N","17013.26783","-.4","17013.66783"
"08/03/2021 13:45:15","N","17323.54706","-.1","17323.64706"
"08/03/2021 14:00:17","N","17509.16278","-.5","17509.66278"
"08/03/2021 14:15:13","N","17881.34936","-.5","17881.84936"
"08/03/2021 14:30:13","N","18088.99695","-.2","18089.19695"
"08/03/2021 14:45:13","N","18250.71445","-.4","18251.11445"
"08/03/2021 15:00:17","N","18281.87296","-.5","18282.37296"
"08/03/2021 15:15:12","N","18459.44003","-.6","18460.04003"
"08/03/2021 15:30:13","N","18464.66961","-.7","18465.36961"
"08/03/2021 15:45:12","N","18516.68518","-.4","18517.08518"
"08/03/2021 16:00:18","N","18449.50989","-.2","18449.70989"
"08/03/2021 16:15:12","N","18865.88123","-.5","18866.38123"
"08/03/2021 16:30:12","N","18927.2248","-.6","18927.8248"
"08/03/2021 16:45:12","N","18979.68106","-.6","18980.28106"
"08/03/2021 17:00:18","N","18928.64538","-.6","18929.24538"
"08/03/2021 17:15:12","N","19377.79588","-.7","19378.49588"
"08/03/2021 17:30:13","N","19537.27383","-.4","19537.67383"
"08/03/2021 17:45:13","N","19385.18836","-.3","19385.48836"
"08/03/2021 18:00:17","N","19542.95404","-.4","19543.35404"
"08/03/2021 18:15:12","N","19186.00409","-.4","19186.40409"
"08/03/2021 18:30:12","N","18961.48934","-.6","18962.08934"
"08/03/2021 18:45:13","N","18602.78339","-.6","18603.38339"
"08/03/2021 19:00:18","N","18676.86222","-.5","18677.36222"
"08/03/2021 19:15:13","N","18808.51598","-.4","18808.91598"
"08/03/2021 19:30:12","N","18841.44015","-.4","18841.84015"
"08/03/2021 19:45:12","N","18521.72594","-.9","18522.62594"
"08/03/2021 20:00:17","N","18202.90837","-.7","18203.60837"
"08/03/2021 20:15:12","N","18147.35778","-.6","18147.95778"
"08/03/2021 20:30:12","N","17894.39693","-.4","17894.79693"
"08/03/2021 20:45:13","N","17971.37662","-.5","17971.87662"
"08/03/2021 21:00:17","N","17669.87477","16.2","17653.67477"
"08/03/2021 21:15:14","N","17525.40947","297.7","17227.70947"
"08/03/2021 21:30:12","N","17075.28081","297.7","16777.58081"
"08/03/2021 21:45:12","N","16574.64167","297","16277.64167"
"08/03/2021 22:00:17","N","16276.83228","296.6","15980.23228"
"08/03/2021 22:15:13","N","15815.69737","139.5","15676.19737"
"08/03/2021 22:30:13","N","15324.60673","136.5","15188.10673"
"08/03/2021 22:45:13","N","14627.85199","137.1","14490.75199"
"08/03/2021 23:00:18","N","14262.77304","77.1","14185.67304"
"08/03/2021 23:15:13","N","13662.77368","29.6","13633.17368"
"08/03/2021 23:30:14","N","13319.40092","29.5","13289.90092"
"08/03/2021 23:45:13","N","13088.80982","29.3","13059.50982"
