"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL  WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"08/09/2021 00:00:18","N","14598.0312149","17556.891576","9893.08820343","1233.48872375","1239.05978393","0","114.12176513","250.69999694","104","16089.74578"
"08/09/2021 00:15:10","N","14190.03727264","17633.68439216","9910.76102447","1220.42657947","1220.42657947","0","114.12123107","250.69999694","104","15721.04937"
"08/09/2021 00:30:09","N","13752.90620727","17391.65497322","9742.39160919","1211.85916423","1211.85916423","0","114.12104797","250.69999694","104","15202.94295"
"08/09/2021 00:45:12","N","13685.58710784","17397.53241462","9743.40909576","1194.56732654","1194.56732654","0","114.12103271","250.69999694","104","14992.17067"
"08/09/2021 01:00:16","N","13196.11664886","17129.60758705","9579.78424835","1195.77583312","1195.77583312","0","114.12197113","250.69999694","104","14679.91388"
"08/09/2021 01:15:11","N","12740.44568176","16700.71946449","9369.02448272","1193.30114555","1193.30114555","0","114.1217041","250.69999694","104","14004.36703"
"08/09/2021 01:30:10","N","12675.76097412","15817.15250892","8909.6319046","1179.75659465","1183.52952861","0","114.12148284","250.69999694","104","13899.03962"
"08/09/2021 01:45:10","N","12068.62684173","15816.92527503","8927.72608184","1139.76940822","1202.5020895","0","114.12060546","250.69999694","104","13494.52586"
"08/09/2021 02:00:16","N","11902.57943267","15935.09242744","9093.22129058","1120.19355964","1206.81238746","0","114.12081909","250.69999694","104","13212.17659"
"08/09/2021 02:15:10","N","11646.59383697","15466.75602455","8924.44727325","1106.51218986","1203.09480857","0","114.12039947","250.69999694","104","12980.45199"
"08/09/2021 02:30:10","N","11678.26665802","15465.7276432","8921.71613311","1050.2909851","1163.79620361","0","114.12045288","250.69999694","104","12877.08333"
"08/09/2021 02:45:10","N","11563.47295684","15925.8224308","8921.08060455","1030.65614891","1148.60420417","0","114.1204071","250.69999694","104","12702.22981"
