"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL  WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"08/18/2021 00:00:43","N","8141.89087171","11461.60736913","5717.2831459","3207.67106518","3207.67106518","0","3374.91014719","3413.52563667","2406.43701171","14531.09814"
"08/18/2021 00:15:11","N","8671.1296411","10959.2858396","5446.53949356","3059.29897592","3059.29897592","0","3374.01578617","3412.21765327","2405.63531494","15004.70072"
"08/18/2021 00:30:10","N","8800.92459655","10961.26345801","5446.64935684","3033.28849921","3033.28849921","0","3374.31960153","3412.91766548","2405.85443115","15265.42265"
"08/18/2021 00:45:13","N","8433.30789733","10959.1865232","5446.44795608","3106.08214135","3131.30956216","0","3374.10731983","3413.00982856","2406.37646484","15026.06695"
"08/18/2021 01:00:16","N","8218.26220092","11009.60730323","5422.86626863","3052.97768596","3077.5870457","0","3374.24191093","3413.48791694","2406.75372314","14765.39474"
"08/18/2021 01:15:11","N","8074.5593048","10864.5892826","5331.7744565","2965.73113071","2988.48753941","0","3374.38611459","3413.12503957","2406.315979","14457.40604"
"08/18/2021 01:30:10","N","7895.34526977","10636.42409095","5258.58728027","3083.4902842","3102.94417977","0","3374.40470647","3413.5309","2406.11523437","14381.77561"
"08/18/2021 01:45:10","N","7841.52997741","10639.19295082","5261.01132965","3181.81530451","3203.34853816","0","3374.07538843","3413.58979892","2406.85760498","14442.6132"
"08/18/2021 02:00:16","N","7620.17460021","10616.53914222","5257.59300994","3287.90198087","3307.98058271","0","3373.86686992","3413.31031894","2406.47692871","14381.95446"
"08/18/2021 02:15:10","N","7589.91936645","10626.33040199","5257.79442596","3249.15965366","3264.587121","0","3373.8172121","3413.56300449","2406.57763671","14220.6391"
"08/18/2021 02:30:10","N","7588.03556213","10641.84675941","5257.59301757","3098.73389959","3098.73389959","0","3375.71421957","3414.83708953","2407.11871337","14051.69803"
"08/18/2021 02:45:10","N","7577.26099548","10643.93465003","5259.50146484","3134.37815141","3141.55003023","0","3374.4397912","3414.61758375","2407.17871093","14130.32826"
"08/18/2021 03:00:16","N","7560.09634948","10645.85604834","5246.15894317","3146.99807024","3154.46906328","0","3374.26545572","3414.53305006","2407.07861328","14108.40488"
"08/18/2021 03:15:11","N","7520.57767272","10654.33576941","5255.81274414","3253.78731155","3271.46286392","0","3375.81375598","3416.02698421","2407.98150634","14199.23395"
"08/18/2021 03:30:10","N","7528.84258055","10653.83039832","5255.55638885","3253.16253638","3267.87352824","0","3374.66558504","3413.50293636","2406.11560058","14180.6739"
"08/18/2021 03:45:12","N","7550.29086852","10645.87847876","5246.90422821","3202.94617366","3219.494277","0","3373.20857","3412.71753597","2406.21612548","14147.27608"
"08/18/2021 04:00:18","N","7681.84882688","10665.64682531","5246.14794921","3203.80904006","3229.77317619","0","3374.16617202","3413.30154371","2406.69793701","14335.87359"
"08/18/2021 04:15:11","N","7735.97063598","10762.2826725","5220.58421325","3219.84335994","3258.23371219","0","3375.86215305","3416.45105648","2409.7980957","14397.45259"
"08/18/2021 04:30:11","N","7693.78268981","10778.22853064","5236.41792297","3262.82684993","3292.71412563","0","3374.90333461","3413.74705362","2406.53796386","14362.58858"
"08/18/2021 04:45:11","N","7666.31942138","10780.86113319","5238.84936523","3230.8942852","3254.3847332","0","3375.43097639","3414.36949014","2407.05908203","14328.60097"
"08/18/2021 05:00:17","N","7623.95149779","10746.17440772","5239.4028778","3217.56397056","3270.04619026","0","3375.64615535","3415.22756004","2407.15881347","14248.51811"
"08/18/2021 05:15:10","N","7804.3460443","10771.07551551","5239.36625671","3289.85079526","3300.04376935","0","3375.04427433","3414.74056053","2407.27929687","14423.49373"
"08/18/2021 05:30:10","N","8004.7055603","10772.4028202","5239.38456726","3252.43783521","3259.63302946","0","3375.39492034","3414.83162498","2407.31970214","14551.63436"
"08/18/2021 05:45:10","N","8174.13637695","10807.4028202","5238.30421447","3048.86017751","3050.58591222","0","3375.97019624","3415.18800926","2407.60021972","14540.72424"
"08/18/2021 06:00:15","N","8339.04836058","10834.75427222","5244.39560699","2927.6892867","2927.6892867","0","3376.02327489","3415.92958641","2407.86090087","14464.05329"
"08/18/2021 06:15:11","N","8731.66237426","11028.5586698","5358.06600189","2888.14451742","2888.14451694","0","3376.36351156","3415.90511131","2407.8616333","14895.8456"
"08/18/2021 06:30:11","N","8775.44796905","11028.52342567","5382.06600189","2839.99744558","2839.9974451","0","3376.27823638","3415.84523582","2407.53918457","14928.38697"
"08/18/2021 06:45:11","N","8948.95838317","11028.72117958","5372.06600189","2775.08409929","2775.08409929","0","3377.88548374","3418.77404546","2410.40252685","15070.92617"
"08/18/2021 07:00:15","N","9061.78961009","11150.4718706","5428.36306142","2774.02808809","2774.02808809","0","3378.31092834","3418.9829688","2410.2824707","15218.22977"
"08/18/2021 07:15:13","N","9103.74669375","11298.97881236","5436.11942434","2724.50315761","2724.50315761","0","3376.85053443","3506.65952777","2407.60040283","15239.6276"
"08/18/2021 07:30:10","N","8955.50061153","11329.32441257","5563.15641784","2712.98337483","2712.98337674","0","3376.12158584","3503.6573913","2407.9810791","15056.07799"
"08/18/2021 07:45:11","N","8944.58537989","11319.49556094","5435.42362356","2739.70384883","2739.70384883","0","3376.84922885","3501.71659517","2408.08148193","15113.9467"
"08/18/2021 08:00:16","N","8965.7902103","11231.12633663","5445.45037841","2740.06084537","2740.06084537","0","3378.05521047","3508.03128051","2409.8005371","15099.62323"
"08/18/2021 08:15:11","N","9245.29045747","11313.47587656","5445.65179443","2577.12199401","2577.12199401","0","3378.29920911","3505.71702265","2408.72436523","15215.45027"
"08/18/2021 08:30:11","N","9273.68534898","11405.99640512","5443.77996826","2656.48404264","2656.48404264","0","3376.45805788","3504.98783564","2408.60284423","15265.46129"
"08/18/2021 08:45:10","N","9402.19444131","11431.22977494","5443.72503662","2793.59347152","2793.59347152","0","3377.48578023","3505.4176824","2408.60327148","15575.65196"
"08/18/2021 09:00:15","N","9336.97804622","11272.58414439","5437.96023845","3003.19475412","3003.19475412","0","3379.89755249","3536.72812056","2410.40179443","15865.18531"
"08/18/2021 09:15:12","N","9364.4459741","12154.87488913","5818.64334392","3306.97888422","3306.97888422","0","3408.11555528","3538.16208052","2411.54589843","16151.24807"
"08/18/2021 09:30:11","N","9278.91142391","12105.62951588","5818.77151775","3625.23580598","3625.23580598","0","3410.13522791","3534.71740841","2411.04418945","16312.66484"
"08/18/2021 09:45:10","N","9240.59322428","12094.26347803","5818.60672283","3756.59125471","3804.63117361","0","3410.99299955","3534.90957021","2414.64343261","16428.42164"
"08/18/2021 10:00:18","N","9267.21406125","12092.46653794","5808.72644996","3851.04352307","3942.0261805","0","3381.95583915","3577.14964556","2414.08422851","16570.85849"
"08/18/2021 10:15:11","N","9485.17022084","12143.11810922","5885.49970436","3931.28720021","4060.44451522","0","3444.94800949","3680.22677373","2411.50335693","16849.58075"
"08/18/2021 10:30:11","N","9465.86121654","12397.12091064","6039.47010231","3951.26968502","4071.17279553","0","3453.82088756","3665.26775121","2413.14422607","16835.88891"
"08/18/2021 10:45:10","N","9763.56949567","12442.94518708","6038.19828224","3828.43580865","3899.08984374","0","3444.15366554","3667.61033391","2412.54315185","16936.17771"
"08/18/2021 11:00:16","N","9789.53826927","12416.10449075","6075.96921539","3828.12547397","3923.59680581","0","3380.36643743","3641.14164304","2410.76330566","17058.51405"
"08/18/2021 11:15:12","N","9986.9206972","12540.39147185","6082.65232086","3727.861799","3843.22375893","0","3438.62482836","3643.5714755","2418.92277812","17176.86261"
"08/18/2021 11:30:10","N","10189.55842971","12697.04867648","6190.60378837","3680.72497366","3844.63146924","0","3421.6934967","3640.75722789","2409.3828125","17309.34945"
"08/18/2021 11:45:11","N","10236.33945846","12833.50468539","6348.24386787","3652.23591327","3876.01797676","0","3422.49546623","3642.3926649","2410.66381835","17211.52773"
"08/18/2021 12:00:17","N","10223.82695579","13157.95760178","6353.88048076","3600.47380924","3887.25027465","0","3425.25778162","3644.21191692","2412.18041992","17304.2385"
"08/18/2021 12:15:11","N","10435.14998769","13177.45404886","6359.83684062","3598.6309514","3939.56132173","0","3427.71415889","3635.58594274","2412.02124023","17424.41352"
"08/18/2021 12:30:11","N","10547.31255054","13228.56305241","6359.62556743","3564.41877794","3935.18585824","0","3428.76396799","3549.5050311","2412.39776611","17527.80229"
"08/18/2021 12:45:13","N","10912.4996271","13283.78357433","6333.24528789","3513.83474898","3909.1483705","0","3436.20105195","3549.46040105","2412.2758789","17754.66922"
"08/18/2021 13:00:16","N","11116.29265688","13395.47247599","6380.75373458","3496.4379509","3919.57870697","0","3393.01640927","3529.03977179","2417.24168419","17792.96607"
"08/18/2021 13:15:12","N","11058.71096297","13355.20499705","6423.91569137","3518.25469297","3991.20035338","0","3386.42010641","3507.46232032","2409.97595214","17994.91779"
"08/18/2021 13:30:11","N","11148.55784034","13397.5771532","6429.92554855","3643.91802883","4209.06485605","0","3385.42555999","3500.92429161","2409.61761474","18179.62015"
"08/18/2021 13:45:11","N","11255.53503035","13381.94810771","6423.62556076","3637.17748951","4287.51270294","0","3384.05997729","3508.28011417","2409.23712158","18273.37711"
"08/18/2021 14:00:14","N","11234.97152518","13292.53101157","6433.45069026","3710.59714788","4409.18379974","0","3376.01945137","3500.33922958","2408.81457519","18389.52662"
"08/18/2021 14:15:11","N","11173.2404766","13253.14955329","6446.96358442","3826.94568884","4532.79151821","0","3397.17533004","3522.54204177","2427.394104","18352.89171"
"08/18/2021 14:30:12","N","11233.37802123","13247.25860213","6459.58046722","3838.10738079","4620.14180469","0","3400.57327866","3525.60014367","2430.0877726","18546.25192"
"08/18/2021 14:45:10","N","11119.36014556","13266.42746066","6468.87926101","3967.22995024","4797.57301521","0","3396.05373334","3513.52306938","2427.95642089","18455.88875"
"08/18/2021 15:00:19","N","11402.36882209","13357.64543723","6496.87907409","4046.49113994","4910.21277093","0","3396.46297264","3514.77361869","2428.29565429","18702.0255"
"08/18/2021 15:15:11","N","11406.05266046","13090.55994652","6381.53257751","4126.80146068","5034.30128359","0","3397.6237936","3516.08244895","2430.17675781","19034.36493"
"08/18/2021 15:30:13","N","11319.64351939","13042.03255176","6382.33399963","4177.12279522","5092.02504539","0","3395.78545761","3503.46730041","2427.71466064","18874.71548"
"08/18/2021 15:45:13","N","11296.98090361","13015.94707106","6381.21568298","4304.51938265","5251.91796541","0","3396.17515802","3503.29084777","2427.81665039","18964.9241"
"08/18/2021 16:00:16","N","11403.83697842","13036.30841207","6415.6438446","4230.35268253","5277.71968507","0","3393.6900382","3501.82069396","2426.59326171","19071.19727"
"08/18/2021 16:15:11","N","11527.98956489","12955.65060996","6371.4072113","4254.69128102","5325.57863426","0","3395.20439767","3503.136734","2427.19409179","19240.93861"
"08/18/2021 16:30:12","N","11542.52807616","12967.44827651","6381.22554016","4312.08811426","5394.25382399","0","3395.22330093","3503.57478332","2426.69561767","19274.23192"
"08/18/2021 16:45:12","N","11588.23845337","13040.09276627","6382.33540344","4439.73406177","5456.26409292","0","3394.792243","3503.33686828","2426.91326904","19414.80544"
"08/18/2021 17:00:16","N","11513.69210052","13068.84763717","6380.65372467","4570.48170799","5570.0611124","0","3395.00053405","3511.85902404","2428.0335083","19370.98171"
"08/18/2021 17:15:12","N","11323.26184224","13056.34653233","6378.18891143","4639.05562907","5728.14669322","0","3395.54008769","3512.67052268","2427.95391845","19347.32224"
"08/18/2021 17:30:11","N","11496.32181929","13090.22760485","6377.15229034","4593.52258771","5712.13555431","0","3416.05999326","3611.57915496","2427.95471191","19482.81128"
"08/18/2021 17:45:11","N","11373.55373668","13111.45076846","6374.41568756","4692.058434","5924.39864873","0","3470.25412034","3609.71890068","2428.17449951","19545.11862"
"08/18/2021 18:00:20","N","11178.59588765","13127.42799901","6361.02411651","4733.7305234","6021.17341423","0","3395.46514463","3607.72371673","2427.59246826","19327.16043"
"08/18/2021 18:15:11","N","11088.55087661","13037.66214942","6365.04383087","4733.10669612","6009.4300847","0","3395.40235519","3510.92799377","2427.91253662","19154.28249"
"08/18/2021 18:30:11","N","10876.19536112","12917.40925788","6338.37906646","4807.71466642","6221.66801929","0","3397.20598268","3514.22743225","2430.65509033","19114.92239"
"08/18/2021 18:45:11","N","10846.75647902","12918.14102339","6338.38889312","4778.14157593","6306.26727199","0","3396.81870365","3513.34223937","2430.07366943","19068.08697"
"08/18/2021 19:00:16","N","10509.03189539","12850.1192901","6337.19738006","4931.71918296","6287.37792587","0","3397.46620941","3511.2498703","2430.71350097","18855.97614"
"08/18/2021 19:15:11","N","10563.22287737","12777.43698298","6338.7889328","4891.27375626","6203.20585155","0","3376.84922742","3489.70684051","2413.81610107","18756.40784"
"08/18/2021 19:30:11","N","10638.49930446","12689.75111835","6335.05229949","4891.37322199","6156.03746414","0","3376.0318284","3488.99114227","2413.55603027","18805.95751"
"08/18/2021 19:45:11","N","10654.21217388","12668.75838465","6345.91570281","4861.21794116","6144.78669738","0","3376.96817016","3489.55657196","2413.43804931","18909.1528"
"08/18/2021 20:00:18","N","10683.78580209","12642.83590896","6345.17057037","4887.28624922","6128.71998262","0","3375.28357839","3486.79625701","2411.2345581","18763.6023"
"08/18/2021 20:15:13","N","10861.23443007","12638.4767282","6354.79740142","4911.05090147","6061.9787774","0","3376.36678791","3492.18694305","2413.49536132","19043.15789"
"08/18/2021 20:30:12","N","10787.57758879","12640.36685347","6348.15232086","4896.47102969","5936.38276672","0","3376.70012998","3492.19316864","2413.37493896","19026.51401"
"08/18/2021 20:45:11","N","10548.87139678","12646.84213042","6355.69733428","4915.99864327","5978.2975583","0","3376.72792863","3491.57970428","2412.07800292","18884.96662"
"08/18/2021 21:00:17","N","10407.10091185","12745.50428748","6370.13402557","4956.56412261","5882.18907833","0","3376.60332441","3491.33544158","2412.13757324","18620.41009"
"08/18/2021 21:15:12","N","10170.38123092","12727.19478569","6371.87062835","4914.66672259","5761.35121154","0","3374.59986448","3489.83397674","2410.69537353","18539.78427"
"08/18/2021 21:30:12","N","9935.92335662","12692.27686271","6354.77554774","4924.99488067","5682.09874439","0","3372.91067028","3487.68718719","2409.3751831","18296.33847"
"08/18/2021 21:45:12","N","9685.08292922","12639.79687843","6327.62416839","4870.82976031","5576.22579002","0","3374.37244462","3490.16033172","2410.93707275","17887.58284"
"08/18/2021 22:00:18","N","9389.26267957","12033.27595281","5952.53453016","4795.81624031","5427.14724922","0","3374.69578599","3491.20738983","2410.75640869","17488.14025"
"08/18/2021 22:15:12","N","8511.26363539","11677.97260451","5782.33602905","4801.95543289","5363.03727912","0","3375.17571401","3491.47606658","2411.17700195","16991.91496"
"08/18/2021 22:30:12","N","8063.03250289","11426.41233229","5647.03601074","4748.17129898","5283.33165264","0","3374.34969758","3489.94231414","2409.23815917","16358.45436"
"08/18/2021 22:45:12","N","7797.19457412","10437.13349318","5021.76608276","4777.5294938","5291.1760745","0","3375.09406471","3491.54351043","2411.01660156","16006.5055"
"08/18/2021 23:00:16","N","7746.65237589","10450.84665174","5018.06602764","4734.45981168","5210.30331373","0","3375.71804857","3489.24340057","2412.61871337","15796.4653"
"08/18/2021 23:15:12","N","7799.78070406","10234.07507948","4956.46599102","4633.25364744","5115.8978182","0","3375.67200088","3488.60851287","2412.43792724","15771.51568"
"08/18/2021 23:30:12","N","7690.64585185","9906.99773574","4901.86598491","4570.00898551","5015.95981025","0","3378.4055047","3490.8146286","2413.65826416","15649.09853"
"08/18/2021 23:45:11","N","7507.61702127","9907.02243299","4900.26597881","4623.95504045","5123.40028238","0","3377.96423006","3490.83275604","2413.87902832","15619.2454"
