"SCED Time Stamp","Repeated Hour Flag","SUM TELEM DSR LOAD","SUM TELEM DSR GEN"
"08/23/2021 00:00:21","N","2520.3","0"
"08/23/2021 00:15:11","N","2465.9","0"
"08/23/2021 00:30:12","N","2400.8","0"
"08/23/2021 00:45:11","N","2353","0"
"08/23/2021 01:00:18","N","2301.3","0"
"08/23/2021 01:15:12","N","2260.9","0"
"08/23/2021 01:30:11","N","2217.9","0"
"08/23/2021 01:45:11","N","2179.4","0"
"08/23/2021 02:00:17","N","2154.6","0"
"08/23/2021 02:15:11","N","2122.2","0"
"08/23/2021 02:30:11","N","2095.5","0"
"08/23/2021 02:45:11","N","2071.3","0"
"08/23/2021 03:00:18","N","2032.9","0"
"08/23/2021 03:15:12","N","2023.4","0"
"08/23/2021 03:30:12","N","2005.7","0"
"08/23/2021 03:45:14","N","1990","0"
"08/23/2021 04:00:18","N","1970.8","0"
"08/23/2021 04:15:13","N","1959.9","0"
"08/23/2021 04:30:12","N","1946.3","0"
"08/23/2021 04:45:11","N","1947.5","0"
"08/23/2021 05:00:17","N","1951.3","0"
"08/23/2021 05:15:11","N","1970.5","0"
"08/23/2021 05:30:13","N","1980.9","0"
"08/23/2021 05:45:11","N","2007.6","0"
"08/23/2021 06:00:17","N","2039.1","0"
"08/23/2021 06:15:13","N","2089.3","0"
"08/23/2021 06:30:11","N","2122","0"
"08/23/2021 06:45:11","N","2146.7","0"
"08/23/2021 07:00:15","N","2144.8","0"
"08/23/2021 07:15:12","N","2141.2","0"
"08/23/2021 07:30:11","N","2148.8","0"
"08/23/2021 07:45:10","N","2162.3","0"
"08/23/2021 08:00:17","N","2191.3","0"
"08/23/2021 08:15:12","N","2229.8","0"
"08/23/2021 08:30:12","N","2275","0"
"08/23/2021 08:45:11","N","2337.3","0"
"08/23/2021 09:00:15","N","2390.1","0"
"08/23/2021 09:15:12","N","2448.9","0"
"08/23/2021 09:30:12","N","2512.2","0"
"08/23/2021 09:45:12","N","2567.5","0"
"08/23/2021 10:00:19","N","2645.6","0"
"08/23/2021 10:15:11","N","2717.7","0"
"08/23/2021 10:30:11","N","2793.3","0"
"08/23/2021 10:45:11","N","2880.3","0"
"08/23/2021 11:00:16","N","2956.7","0"
"08/23/2021 11:15:12","N","3036.1","0"
"08/23/2021 11:30:11","N","3104.7","0"
"08/23/2021 11:45:11","N","3176.8","0"
"08/23/2021 12:00:17","N","3240","0"
"08/23/2021 12:15:11","N","3319.8","0"
"08/23/2021 12:30:12","N","3375.3","0"
"08/23/2021 12:45:11","N","3445.3","0"
"08/23/2021 13:00:18","N","3516.5","0"
"08/23/2021 13:15:12","N","3575.2","0"
"08/23/2021 13:30:12","N","3623.4","0"
"08/23/2021 13:45:10","N","3676.3","0"
"08/23/2021 14:00:16","N","3712.5","0"
"08/23/2021 14:15:11","N","3755.1","0"
"08/23/2021 14:30:12","N","3788.2","0"
"08/23/2021 14:45:12","N","3817.7","0"
"08/23/2021 15:00:17","N","3847.7","0"
"08/23/2021 15:15:12","N","3877.6","0"
"08/23/2021 15:30:13","N","3916.3","0"
"08/23/2021 15:45:11","N","3947.8","0"
"08/23/2021 16:00:17","N","3960.3","0"
"08/23/2021 16:15:11","N","3957","0"
"08/23/2021 16:30:12","N","3974.6","0"
"08/23/2021 16:45:11","N","3986.8","0"
"08/23/2021 17:00:19","N","3995.2","0"
"08/23/2021 17:15:12","N","3989.3","0"
"08/23/2021 17:30:12","N","4005.4","0"
"08/23/2021 17:45:12","N","3993.2","0"
"08/23/2021 18:00:18","N","3970","0"
"08/23/2021 18:15:12","N","3932.2","0"
"08/23/2021 18:30:12","N","3909.3","0"
"08/23/2021 18:45:12","N","3865","0"
"08/23/2021 19:00:18","N","3813.9","0"
"08/23/2021 19:15:12","N","3749.2","0"
"08/23/2021 19:30:10","N","3689.4","0"
"08/23/2021 19:45:12","N","3639.9","0"
"08/23/2021 20:00:16","N","3570.7","0"
"08/23/2021 20:15:13","N","3529.9","0"
"08/23/2021 20:30:13","N","3493.2","0"
"08/23/2021 20:45:12","N","3443","0"
"08/23/2021 21:00:17","N","3391.7","0"
"08/23/2021 21:15:13","N","3312","0"
"08/23/2021 21:30:12","N","3239.5","0"
"08/23/2021 21:45:12","N","3163.2","0"
"08/23/2021 22:00:19","N","3075.1","0"
"08/23/2021 22:15:13","N","2989.8","0"
"08/23/2021 22:30:11","N","2912.1","0"
"08/23/2021 22:45:11","N","2820.2","0"
"08/23/2021 23:00:15","N","2739.5","0"
"08/23/2021 23:15:11","N","2657.3","0"
"08/23/2021 23:30:10","N","2580.7","0"
"08/23/2021 23:45:11","N","2513.5","0"
