"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"08/28/2021 00:00:14","N","15685.38133","-279.1","15964.48133"
"08/28/2021 00:15:08","N","15014.9145","-496.2","15511.1145"
"08/28/2021 00:30:08","N","14633.63475","-496.2","15129.83475"
"08/28/2021 00:45:08","N","14627.10189","-496.2","15123.30189"
"08/28/2021 01:00:11","N","14526.48605","-496.2","15022.68605"
"08/28/2021 01:15:12","N","14353.41939","-496.2","14849.61939"
"08/28/2021 01:30:12","N","14162.88516","-496.2","14659.08516"
"08/28/2021 01:45:12","N","13852.675","-496.2","14348.875"
"08/28/2021 02:00:16","N","13632.62084","-496.2","14128.82084"
"08/28/2021 02:15:12","N","13339.4781","-496.2","13835.6781"
"08/28/2021 02:30:12","N","13219.18401","-496.2","13715.38401"
"08/28/2021 02:45:11","N","13207.48321","-496.2","13703.68321"
"08/28/2021 03:00:17","N","13158.44924","-496.2","13654.64924"
"08/28/2021 03:15:12","N","13358.36545","-496.2","13854.56545"
"08/28/2021 03:30:12","N","13501.80905","-496.2","13998.00905"
"08/28/2021 03:45:15","N","13521.92981","-496.2","14018.12981"
"08/28/2021 04:00:16","N","13670.76905","-496.2","14166.96905"
"08/28/2021 04:15:12","N","13671.63753","-496.2","14167.83753"
"08/28/2021 04:30:13","N","13808.46268","-496.2","14304.66268"
"08/28/2021 04:45:12","N","13827.67901","-496.2","14323.87901"
"08/28/2021 05:00:16","N","13978.30459","-496.2","14474.50459"
"08/28/2021 05:15:12","N","14048.40824","-496.2","14544.60824"
"08/28/2021 05:30:12","N","14169.55149","-496.2","14665.75149"
"08/28/2021 05:45:12","N","14141.93801","-496.2","14638.13801"
"08/28/2021 06:00:18","N","14227.56301","-496.2","14723.76301"
"08/28/2021 06:15:12","N","14376.71525","-496.2","14872.91525"
"08/28/2021 06:30:12","N","14493.8476","-496.2","14990.0476"
"08/28/2021 06:45:13","N","14611.557","-496.2","15107.757"
"08/28/2021 07:00:17","N","14834.16765","-496.2","15330.36765"
"08/28/2021 07:15:13","N","14855.0233","-496.2","15351.2233"
"08/28/2021 07:30:08","N","14785.17042","-496.2","15281.37042"
"08/28/2021 07:45:08","N","14932.08697","-496.2","15428.28697"
"08/28/2021 08:00:11","N","14858.37345","-277.1","15135.47345"
"08/28/2021 08:15:08","N","15395.92303","0","15395.92303"
"08/28/2021 08:30:08","N","15640.3869","0","15640.3869"
"08/28/2021 08:45:08","N","15900.18665","0","15900.18665"
"08/28/2021 09:00:11","N","15884.23672","1","15883.23672"
"08/28/2021 09:15:08","N","16360.359","0","16360.359"
"08/28/2021 09:30:08","N","16688.71312","0","16688.71312"
"08/28/2021 09:45:08","N","17080.45188","0","17080.45188"
"08/28/2021 10:00:13","N","17474.06686","0","17474.06686"
"08/28/2021 10:15:11","N","17890.8307","1","17889.8307"
"08/28/2021 10:30:12","N","18567.27514","0","18567.27514"
"08/28/2021 10:45:12","N","19080.42872","0","19080.42872"
"08/28/2021 11:00:17","N","19451.28409","1","19450.28409"
