"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"09/01/2021 00:00:46","N","2406.43304443","3717.08540344","3358.5"
"09/01/2021 00:15:12","N","2405.32897949","3715.95591735","3357.4"
"09/01/2021 00:30:11","N","2406.42834472","3716.65040588","3357.6"
"09/01/2021 00:45:12","N","2408.4310913","3719.56437683","3358.8"
"09/01/2021 01:00:19","N","2409.19073486","3719.71644592","3363.3"
"09/01/2021 01:15:12","N","2408.49224853","3719.44828796","3361.9"
"09/01/2021 01:30:11","N","2406.71246337","3718.04820251","3361.1"
"09/01/2021 01:45:13","N","2408.13153076","3719.11293029","3361.8"
"09/01/2021 02:00:17","N","2408.83227539","3720.67427062","3362.4"
"09/01/2021 02:15:11","N","2410.03485107","3722.20585632","3363.3"
"09/01/2021 02:30:11","N","2406.35192871","3718.04206848","3359.4"
"09/01/2021 02:45:11","N","2408.91271972","3720.37495422","3362"
"09/01/2021 03:00:16","N","2408.84936523","3763.19851779","3363.1"
"09/01/2021 03:15:08","N","2408.13488769","3763.82565402","3404.2"
"09/01/2021 03:30:07","N","2408.33483886","3764.63305759","3404.3"
"09/01/2021 03:45:09","N","2407.5546875","3763.70105075","3404.2"
"09/01/2021 04:00:13","N","2409.51501464","3765.61065769","3405.6"
"09/01/2021 04:15:09","N","2410.1362915","3766.94079685","3404.8"
"09/01/2021 04:30:07","N","2410.03845214","3766.58981418","3405.4"
"09/01/2021 04:45:08","N","2407.55566406","3763.52490329","3402.3"
"09/01/2021 05:00:12","N","2409.03607177","3765.89129734","3404.4"
"09/01/2021 05:15:08","N","2411.09771728","3767.21881198","3405.5"
"09/01/2021 05:30:08","N","2408.51977539","3765.6533823","3403.4"
"09/01/2021 05:45:08","N","2410.41870117","3766.83353519","3405.1"
"09/01/2021 06:00:11","N","2408.15698242","3729.12148761","3369.1"
"09/01/2021 06:15:08","N","2408.57873535","3729.28018665","3368.9"
"09/01/2021 06:30:07","N","2408.93957519","3730.47617053","3368.9"
"09/01/2021 06:45:07","N","2409.19946289","3731.03989124","3369.2"
"09/01/2021 07:00:11","N","2409.65911865","3766.85859012","3369.7"
"09/01/2021 07:15:07","N","2411.19927978","3774.32956027","3424.50200004"
"09/01/2021 07:30:07","N","2411.32061767","3874.86048984","3404.4"
"09/01/2021 07:45:08","N","2408.93969726","3871.82148838","3402.3"
"09/01/2021 08:00:10","N","2411.72009277","3888.71128273","3406.7"
"09/01/2021 08:15:08","N","2415.93902587","3892.55051612","3419.7"
"09/01/2021 08:30:07","N","2410.94000244","3887.55149269","3418.5"
"09/01/2021 08:45:08","N","2411.00097656","3788.56080818","3417.8"
"09/01/2021 09:00:10","N","2410.77886962","3816.30492782","3393.59000015"
"09/01/2021 09:15:08","N","2409.87829589","3815.98656845","3444.1"
"09/01/2021 09:30:09","N","2410.40325927","3814.86614608","3445.6"
"09/01/2021 09:45:13","N","2410.04022216","3814.70568466","3444.6"
"09/01/2021 10:00:16","N","2409.87695312","3869.03106689","3442.2"
"09/01/2021 10:15:13","N","2409.51757812","3969.47543334","3495.6"
"09/01/2021 10:30:11","N","2409.51818847","3965.7291336","3495.8"
"09/01/2021 10:45:15","N","2410.52203369","3967.87198638","3495.9"
"09/01/2021 11:00:16","N","2408.67810058","3865.17368316","3494.9"
"09/01/2021 11:15:12","N","2408.03558349","3864.60715484","3493"
"09/01/2021 11:30:13","N","2406.45672607","3863.00299835","3492.4"
"09/01/2021 11:45:15","N","2409.13946533","3866.04013824","3493.2"
"09/01/2021 12:00:15","N","2407.16040039","3751.26880359","3385.7"
"09/01/2021 12:15:12","N","2406.9399414","3752.06088733","3385.7"
"09/01/2021 12:30:13","N","2404.77307128","3749.48898792","3384.4"
"09/01/2021 12:45:12","N","2406.35766601","3751.93417835","3385.2"
"09/01/2021 13:00:19","N","2405.65557861","3731.65748405","3357.2"
"09/01/2021 13:15:13","N","2405.39556884","3731.16963005","3352.4"
"09/01/2021 13:30:13","N","2405.33404541","3728.0511074","3350.5"
"09/01/2021 13:45:13","N","2404.97393798","3733.16044425","3351.1"
"09/01/2021 14:00:16","N","2403.49603271","3732.41660881","3368.9"
"09/01/2021 14:15:13","N","2402.23156738","3729.91184806","3369.1"
"09/01/2021 14:30:14","N","2402.59136962","3725.72727775","3366.4"
"09/01/2021 14:45:12","N","2402.81170654","3730.9728527","3367"
"09/01/2021 15:00:17","N","2403.71252441","3723.71099853","3369.7"
"09/01/2021 15:15:13","N","2402.03076171","3720.76361083","3369.3"
"09/01/2021 15:30:12","N","2403.50970458","3720.65717315","3370.2"
"09/01/2021 15:45:13","N","2401.91027832","3721.20004272","3369.1"
"09/01/2021 16:00:16","N","2401.48986816","3722.28582763","3369.6"
"09/01/2021 16:15:13","N","2402.13153076","3721.68725585","3368.2"
"09/01/2021 16:30:13","N","2402.61297607","3722.5989685","3369.2"
"09/01/2021 16:45:12","N","2402.07043457","3721.87927246","3368.8"
"09/01/2021 17:00:20","N","2402.81005859","3721.66952514","3372"
"09/01/2021 17:15:12","N","2402.8093872","3720.96002197","3372.3"
"09/01/2021 17:30:12","N","2406.17930197","3724.55778098","3371.77000021"
"09/01/2021 17:45:14","N","2405.73641371","3724.74761366","3373.02500014"
"09/01/2021 18:00:20","N","2405.03022706","3724.67436158","3368.63500001"
"09/01/2021 18:15:14","N","2403.45159912","3723.24761962","3369.6"
"09/01/2021 18:30:14","N","2402.44903564","3721.7640686","3369.4"
"09/01/2021 18:45:14","N","2405.83349609","3725.09790039","3370.9"
"09/01/2021 19:00:18","N","2405.87268066","3725.97244262","3373.1"
"09/01/2021 19:15:12","N","2405.81188964","3726.19000244","3351.7"
"09/01/2021 19:30:12","N","2405.972229","3726.22387695","3351.1"
"09/01/2021 19:45:13","N","2406.3953247","3726.54559326","3352"
"09/01/2021 20:00:18","N","2404.1954956","3723.94088745","3350.5"
"09/01/2021 20:15:13","N","2405.91314697","3726.29135131","3351.5"
"09/01/2021 20:30:11","N","2406.4946289","3827.11965942","3351.6"
"09/01/2021 20:45:12","N","2405.71557617","3823.1371994","3351.3"
"09/01/2021 21:00:17","N","2406.49536132","3827.66482543","3352.1"
"09/01/2021 21:15:13","N","2405.29418945","3826.95321655","3351"
"09/01/2021 21:30:11","N","2406.51452636","3828.49395751","3447.99400177"
"09/01/2021 21:45:13","N","2407.61846923","3830.05346679","3430.75900115"
"09/01/2021 22:00:18","N","2410.35736083","3831.33685302","3433.63000488"
"09/01/2021 22:15:14","N","2407.81573486","3828.16238403","3352.6"
"09/01/2021 22:30:14","N","2410.03674316","3830.86428833","3354.7"
"09/01/2021 22:45:13","N","2408.09729003","3829.30456542","3352.7"
"09/01/2021 23:00:19","N","2409.19714355","3834.95563507","3354"
"09/01/2021 23:15:13","N","2408.57745361","3729.58850097","3352.9"
"09/01/2021 23:30:12","N","2407.75506591","3728.18389892","3354"
"09/01/2021 23:45:13","N","2410.13989257","3731.22680664","3354.5"
