"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"09/03/2021 00:00:17","N","3607.36814117","6333.26594638","3910.7"
"09/03/2021 00:15:08","N","3609.16733551","6335.49556064","3913.1"
"09/03/2021 00:30:08","N","3610.82755279","6336.78815174","3912.6"
"09/03/2021 00:45:09","N","3607.15073394","6333.59235095","3909.3"
"09/03/2021 01:00:15","N","3612.88950347","6309.5105071","3914.9"
"09/03/2021 01:15:08","N","3611.74936676","6308.77546072","3913.4"
"09/03/2021 01:30:09","N","3610.72922515","6307.80579519","3915.3"
"09/03/2021 01:45:09","N","3608.68827056","6306.01707553","3912.6"
"09/03/2021 02:00:13","N","3610.31095123","6307.63775634","3914.5"
"09/03/2021 02:15:08","N","3613.30966949","6310.83892822","3918.2"
"09/03/2021 02:30:08","N","3614.66886138","6315.51409912","3918.6"
"09/03/2021 02:45:08","N","3616.21006011","6313.43560791","3919.4"
"09/03/2021 03:00:14","N","3608.01078033","6305.97039794","3911.1"
"09/03/2021 03:15:08","N","3620.17038726","6317.72397565","3921.7"
"09/03/2021 03:30:08","N","3619.59043121","6317.54898786","3921.8"
"09/03/2021 03:45:10","N","3615.88993072","6313.36753034","3918.6"
"09/03/2021 04:00:13","N","3619.3110733","6352.34058713","3978.25"
"09/03/2021 04:15:09","N","3621.43222808","6360.01504135","3980.8"
"09/03/2021 04:30:07","N","3624.69242095","6363.3258934","3983.1"
"09/03/2021 04:45:09","N","3621.07254791","6359.80721664","3978.8"
"09/03/2021 05:00:12","N","3620.73093414","6367.45907688","3958.4"
"09/03/2021 05:15:09","N","3620.91153717","6367.43716526","3966.8"
"09/03/2021 05:30:08","N","3616.0121231","6362.99131727","3961.2"
"09/03/2021 05:45:08","N","3623.59140777","6370.36914825","3969.6"
"09/03/2021 06:00:11","N","3617.21372222","6364.37016248","3961.3"
"09/03/2021 06:15:08","N","3615.07303619","6362.83695936","3962"
"09/03/2021 06:30:07","N","3621.31375885","6368.34367322","3966.5"
"09/03/2021 06:45:08","N","3622.2329483","6369.18587398","3967"
"09/03/2021 07:00:11","N","3622.11374664","6369.44624996","3966.8"
"09/03/2021 07:15:09","N","3635.69467926","6383.05263423","3978.7"
"09/03/2021 07:30:08","N","3636.43436431","6387.6926651","3982"
"09/03/2021 07:45:09","N","3648.17680358","6399.58973655","3989.4"
"09/03/2021 08:00:12","N","3643.49399566","6361.19731283","3955.9"
"09/03/2021 08:15:08","N","3643.17667388","6353.35719585","3956.90000028"
"09/03/2021 08:30:07","N","3637.43643951","6350.74538135","3954.40000009"
"09/03/2021 08:45:08","N","3636.01596832","6351.31736612","3954.2"
"09/03/2021 09:00:11","N","3671.65348052","6561.22427225","4004.6999998"
"09/03/2021 09:15:08","N","3667.75522613","6559.49691629","4081.8999998"
"09/03/2021 09:30:08","N","3667.01200103","6568.04149341","4084.60000076"
"09/03/2021 09:45:13","N","3664.0152359","6565.66906833","4079.80000019"
"09/03/2021 10:00:18","N","3654.59403228","6475.0973196","4066.9999998"
"09/03/2021 10:15:11","N","3645.85569","6471.26646089","4065.50000047"
"09/03/2021 10:30:12","N","3646.37747955","6478.33890914","4073.59999999"
"09/03/2021 10:45:12","N","3649.6949234","6478.83754968","4078.80000009"
"09/03/2021 11:00:18","N","3648.237854","6430.41611051","4040.20000047"
"09/03/2021 11:15:12","N","3637.84374237","6420.81200075","4040.6999999"
"09/03/2021 11:30:13","N","3633.53623199","6418.60826301","4044.80000057"
"09/03/2021 11:45:13","N","3627.01633453","6413.5087223","4045.80000057"
"09/03/2021 12:00:18","N","3633.31742095","6382.82599258","4041.90000019"
"09/03/2021 12:15:12","N","3646.59403228","6389.74697637","4052.90000009"
"09/03/2021 12:30:13","N","3640.79129791","6382.8363796","4050.80000047"
"09/03/2021 12:45:13","N","3639.43332672","6380.63032491","4046.7"
"09/03/2021 13:00:16","N","3761.43387603","6730.78667886","4591.99999999"
"09/03/2021 13:15:13","N","3771.95200347","6522.17306382","4594.40000057"
"09/03/2021 13:30:13","N","3780.69443511","6528.80014426","4599.0999999"
"09/03/2021 13:45:13","N","3775.27365875","6529.66446168","4602.10000038"
"09/03/2021 14:00:17","N","3775.07254791","6521.83050305","4192.1999998"
"09/03/2021 14:15:12","N","3800.2730484","6546.22345979","4225.98699989"
"09/03/2021 14:30:12","N","3792.69168853","6539.61305959","4197.2"
"09/03/2021 14:45:12","N","3792.21024322","6539.49760539","4208.70000066"
"09/03/2021 15:00:18","N","3787.89109039","6532.14282019","4191.40000004"
"09/03/2021 15:15:12","N","3797.79257965","6538.41401155","4196.1"
"09/03/2021 15:30:13","N","3786.47147369","6526.66265351","4187.5"
"09/03/2021 15:45:13","N","3668.05027008","6382.45384461","4057.7"
"09/03/2021 16:00:17","N","3665.20737457","6379.84150178","4055.7"
"09/03/2021 16:15:12","N","3671.50858306","6375.81241281","4062.5"
"09/03/2021 16:30:12","N","3669.72647857","6373.9797712","4060.7"
"09/03/2021 16:45:13","N","3672.62485504","6376.77689035","4065.9"
"09/03/2021 17:00:17","N","3675.85050201","6381.63534982","4065.5"
"09/03/2021 17:15:12","N","3687.04679107","6392.45193917","4077.2"
"09/03/2021 17:30:12","N","3694.30905914","6399.86612374","4084.3"
"09/03/2021 17:45:12","N","3691.88681793","6395.88693673","4082.3"
"09/03/2021 18:00:19","N","3702.28745269","6404.57877023","4090.6"
"09/03/2021 18:15:15","N","3705.95072174","6410.26712472","4092.4"
"09/03/2021 18:30:15","N","3706.40525054","6408.94974191","4093.9"
"09/03/2021 18:45:13","N","3712.18412017","6411.20956857","4100.2"
"09/03/2021 19:00:16","N","3707.04477691","6409.13364083","4097.9"
"09/03/2021 19:15:11","N","3709.04471588","6411.46262033","4078.9"
"09/03/2021 19:30:11","N","3706.56577301","6409.54062326","4075"
"09/03/2021 19:45:12","N","3708.36771392","6407.72220285","4070.9"
"09/03/2021 20:00:17","N","3700.9874649","6400.01285226","4055.30000004"
"09/03/2021 20:15:12","N","3701.1069107","6404.46133859","4050.3"
"09/03/2021 20:30:13","N","3695.88645172","6395.01315744","4038.5"
"09/03/2021 20:45:14","N","3697.3089981","6396.23318917","4033.4"
"09/03/2021 21:00:16","N","3698.62906646","6398.21133859","4023.2"
"09/03/2021 21:15:12","N","3700.66873931","6399.77011544","4021.3"
"09/03/2021 21:30:13","N","3681.20810699","6384.10696847","4000.1"
"09/03/2021 21:45:13","N","3670.14762115","6369.27432687","3990.3"
"09/03/2021 22:00:18","N","3675.16745758","6374.87631661","3994.6"
"09/03/2021 22:15:12","N","3673.14633941","6372.70334298","4018.26583633"
"09/03/2021 22:30:13","N","3669.05039215","6372.60739572","4018.08022994"
"09/03/2021 22:45:14","N","3666.95005035","6367.01334054","4022.401445"
"09/03/2021 23:00:16","N","3628.92954254","6352.38258321","3933.5"
"09/03/2021 23:15:12","N","3630.68888092","6349.9905544","3934.7"
"09/03/2021 23:30:11","N","3624.58805084","6344.19294698","3929.8"
"09/03/2021 23:45:13","N","3622.33084869","6341.78376729","3926.3"
