"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL  WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"09/07/2021 00:00:17","N","7257.13739166","12221.30756101","5814.16823577","1512.24980652","1512.24980652","0","3365.41751909","3433.35338973","2377.84808349","12265.91287"
"09/07/2021 00:15:08","N","7384.76217422","12227.36929807","5820.80025482","1566.71940094","1566.71940094","0","3365.0200932","3433.86223602","2378.16583251","12409.67057"
"09/07/2021 00:30:09","N","7116.55406737","12222.80999875","5818.60816192","1637.41195833","1637.41195833","0","3364.39115625","3432.39208221","2376.52679443","12276.05695"
"09/07/2021 00:45:13","N","7153.71996459","12223.34395322","5818.29935455","1605.12335246","1605.12335246","0","3364.47974842","3432.80869674","2376.90795898","12161.78864"
"09/07/2021 01:00:17","N","6834.19296417","12241.36399421","5738.32335662","1603.32259128","1603.32259128","0","3366.13680624","3434.61954116","2379.53161621","11976.56346"
"09/07/2021 01:15:11","N","6663.14109191","12249.17692909","5735.26223754","1553.52169052","1553.52169052","0","3364.22632348","3432.94052505","2378.58673095","11639.04656"
"09/07/2021 01:30:12","N","6531.52323699","12249.18122077","5737.62728881","1490.59440923","1490.59440923","0","3366.53616374","3435.98324966","2380.49041748","11422.37374"
"09/07/2021 01:45:13","N","6422.16334791","12250.10893316","5745.83352661","1366.25175176","1366.25175176","0","3368.40817582","3438.32321548","2382.52655029","11181.2202"
"09/07/2021 02:00:18","N","6414.44183883","12247.55113563","5745.48736572","1261.95494058","1261.95494058","0","3369.1107676","3438.06222915","2382.84777832","11035.19361"
"09/07/2021 02:15:13","N","6487.74265441","12246.17256507","5746.7557373","1158.43693028","1158.43693028","0","3371.0722543","3440.50680923","2384.53106689","11027.736"
"09/07/2021 02:30:08","N","6455.31433043","12245.66655707","5727.54322204","1137.3568506","1137.3568506","0","3370.94110906","3440.12247085","2384.0727539","11001.02809"
"09/07/2021 02:45:08","N","6526.24369964","12248.28615913","5731.5428009","1033.25568151","1033.25568151","0","3370.23094034","3439.33700942","2383.48974609","10916.81651"
"09/07/2021 03:00:12","N","6628.22595748","12206.24710044","5735.70875549","967.29107917","967.29107917","0","3369.82492852","3474.61373138","2383.26892089","10879.35524"
"09/07/2021 03:15:08","N","6732.39755554","12208.57177696","5736.32697448","859.63379359","859.63379359",".03660999","3403.89237153","3474.1539421","2383.12817382","10952.59832"
"09/07/2021 03:30:08","N","6819.95123839","12200.95932364","5736.37294006","755.6619729","755.6619729","0","3405.52194893","3476.73377609","2384.59423828","10934.45345"
"09/07/2021 03:45:09","N","6750.01497054","12197.00896811","5733.05180358","741.6181166","741.6181166","0","3405.45323681","3475.9162712","2384.13116455","10928.53581"
"09/07/2021 04:00:13","N","6599.07799315","12212.57447028","5715.65862274","734.88456787","734.88502587","0","3406.65499866","3484.47451782","2384.58917236","10770.51828"
"09/07/2021 04:15:08","N","6819.44821334","12215.20908332","5726.10253906","760.9898716","760.9903296","0","3414.05963039","3483.96538543","2383.63043212","10929.13757"
"09/07/2021 04:30:09","N","6947.26631713","12209.24995398","5724.4369812","763.46428097","763.46473897","0","3413.23734211","3483.87732315","2384.03155517","11090.10866"
"09/07/2021 04:45:08","N","6853.42049575","12210.10076117","5723.85638427","730.90235036","730.90280836","0","3414.14313817","3484.2224884","2384.55285644","11045.79491"
"09/07/2021 05:00:11","N","7000.07488417","12164.91287207","5732.65605926","681.17968377","681.18014177","0","3414.3970654","3484.27362442","2384.57269287","11111.35598"
"09/07/2021 05:15:08","N","7129.54957608","12169.60559058","5734.79790496","615.82138581","615.82184381","0","3414.7068448","3483.48903274","2384.29162597","11154.30584"
"09/07/2021 05:30:08","N","7104.30452117","12169.97311744","5734.56423187","593.36534142","593.36579942","0","3413.27145838","3481.76044464","2382.81292724","11116.45956"
"09/07/2021 05:45:09","N","7046.87830901","12169.95928931","5735.04418182","603.70422115","603.70467915","0","3412.4615873","3480.62911224","2382.55230712","11119.68336"
"09/07/2021 06:00:13","N","6754.22635817","12261.88849377","5691.25777435","561.15817889","561.15863689","0","3377.71370488","3443.85961151","2381.51672363","10716.06824"
"09/07/2021 06:15:07","N","6976.85932312","12266.0691081","5694.46633148","568.69380399","568.69426199","0","3376.01826822","3441.27215576","2379.71246337","10872.60384"
"09/07/2021 06:30:08","N","7009.26861739","12258.84927869","5698.1291275","548.50852676","548.50898476","0","3375.01382428","3438.57048797","2378.68951416","10936.7918"
"09/07/2021 06:45:08","N","7023.60762429","12488.73224377","5757.54201507","545.65094854","545.65094854","0","3376.08156627","3440.07919692","2380.75305175","10945.62701"
"09/07/2021 07:00:13","N","7039.48706221","12584.317909","5766.94061279","581.97595213","581.97641013","0","3377.65885609","3478.01410675","2381.43554687","11021.58702"
"09/07/2021 07:15:08","N","7124.02004542","12591.57084765","5766.01058959","587.76508152","587.76553952","0","3412.4952166","3495.85129928","2381.67572021","11158.47218"
"09/07/2021 07:30:09","N","7104.05653052","12603.26182799","5766.68469238","571.34082709","571.34128509","0","3411.57032793","3505.74415588","2380.13360595","11108.01146"
"09/07/2021 07:45:08","N","7124.27967064","12605.32394211","5765.50738525","572.95956982","572.96002782","0","3412.69465732","3466.74819564","2381.45483398","11129.5116"
"09/07/2021 08:00:13","N","7172.50955628","12617.53367471","5802.67734527","536.33166022","536.33211822","0","3411.91764253","3465.13174057","2379.29400634","11088.3797"
"09/07/2021 08:15:07","N","7372.79356145","12712.97683286","5798.45505523","450.02965197","450.03010997","0","3412.07084113","3466.16164779","2379.61517333","11177.33015"
"09/07/2021 08:30:08","N","7488.56258486","12770.8830099","5796.2074356","328.07757815","328.07803615","0","3412.22627395","3467.37563705","2381.33538818","11208.48724"
"09/07/2021 08:45:07","N","7693.49898433","12864.17387103","5799.43323516","202.74155584","202.74201384","0","3410.18818402","3464.54140853","2378.65301513","11279.63228"
"09/07/2021 09:00:12","N","7953.20153472","12855.63952016","5830.30812835","135.64801445","135.64847245",".05899999","3375.28963994","3476.34745121","2378.19409179","11404.74538"
"09/07/2021 09:15:09","N","8455.91917705","13148.41445112","5979.37010955","131.86249646","131.86295446","0","3418.63916671","3476.44980716","2378.19519042","11896.19504"
"09/07/2021 09:30:08","N","8639.62876891","13204.4815545","5975.68840789","120.88936331","120.88982131","0","3418.68445128","3477.02201175","2378.71685791","12109.59045"
"09/07/2021 09:45:08","N","9050.73290633","13422.78471993","6124.00530242","93.86467718","93.87013518",".00499999","3418.22012788","3476.76046657","2378.39465332","12560.23589"
"09/07/2021 10:00:12","N","9226.8390026","13964.08775042","6397.72555541","69.89427948","69.89473748","0","3447.58705478","3544.38525676","2379.09716796","12665.76734"
"09/07/2021 10:15:07","N","9471.30003451","13936.39101409","6407.05233764","49.77401827","49.79617224",".01009596","3483.28213781","3544.78435611","2379.35980224","12870.6389"
"09/07/2021 10:30:12","N","9839.88914679","13921.51001833","6408.82907104","39.24959926","39.25339473",".00333745","3481.33699011","3543.33251285","2378.61669921","13271.07601"
"09/07/2021 10:45:07","N","10316.23618601","13917.784667","6418.44913339","35.40909424","35.43388947",".00705152","3481.77470332","3542.99327945","2378.5559082","13731.69569"
"09/07/2021 11:00:11","N","10651.82489585","14074.28814124","6501.77021217","50.55265861","50.56660156",".01348494","3429.23788368","3490.96255111","2378.07415771","14099.21016"
"09/07/2021 11:15:11","N","10883.33308219","14067.69548034","6539.47852325","74.59466721","74.60217673",".00705152","3429.17422938","3491.14663314","2377.77740478","14368.50559"
"09/07/2021 11:30:12","N","11177.33983229","14135.43229674","6540.37683296","100.04060086","100.04811038",".12105151","3444.32906025","3507.22262191","2378.77740478","14629.98485"
"09/07/2021 11:45:12","N","11409.99079894","14192.77568053","6528.30176544","124.21393824","124.21439624",".17","3471.11092585","3526.71212387","2402.93786621","14908.56387"
"09/07/2021 12:00:17","N","11729.23497771","14376.28827094","6562.68347167","195.69015622","195.69015622","0","3364.45707774","3417.42792701","2376.23492431","14985.69062"
"09/07/2021 12:15:13","N","12218.75197409","14355.40527724","6560.44683837","280.39997558","280.40097562","0","3365.75842273","3419.28742408","2378.09436035","15667.20515"
"09/07/2021 12:30:12","N","12582.96127699","14361.47328375","6570.50177001","364.96626102","364.96626102","0","3366.05641496","3419.80433082","2377.87731933","16200.77083"
"09/07/2021 12:45:13","N","13221.90693664","14290.6253147","6600.59332275","430.46056602","430.46056602","0","3363.09265315","3417.0391941","2376.0739746","16842.17102"
"09/07/2021 13:00:19","N","13161.12492941","14414.28748463","6681.26514434","459.10690063","459.10690063","0","3365.37587332","3417.87810325","2375.93725585","16947.94187"
"09/07/2021 13:15:12","N","13878.96593856","14476.39794874","6717.24683284","518.75029051","518.75029051","0","3363.49722868","3417.13474464","2375.2345581","17575.34848"
"09/07/2021 13:30:13","N","14142.64984702","14641.01470326","6766.7468338","584.56172806","584.56172806","0","3362.39621126","3416.0878086","2374.59259033","18012.92107"
"09/07/2021 13:45:13","N","14299.91604423","14877.78412008","6800.76514339","630.24208807","630.24208807","0","3363.13132995","3416.24210548","2374.97473144","18317.72686"
"09/07/2021 14:00:17","N","14452.80485725","15024.84037589","6884.09191036","681.93969361","681.93969361","0","3374.00529557","3436.63230323","2391.49145507","18371.73541"
"09/07/2021 14:15:12","N","14539.7926216","15004.22123526","6893.18346309","783.96737068","783.96737068","0","3382.34053176","3438.94510841","2393.65240478","18675.33992"
"09/07/2021 14:30:14","N","14597.94943045","14973.40039824","6894.18346309","826.44747316","826.44747316","0","3381.32707267","3439.03672218","2393.69342041","18806.55738"
"09/07/2021 14:45:12","N","14868.74940871","15012.91280936","6947.05528926","840.30263626","840.30263626","0","3382.20915973","3438.02384376","2393.11090087","19109.85522"
"09/07/2021 15:00:16","N","14981.00211619","15337.47002887","7065.08757591","1023.93436276","1023.93436276","0","3382.38188147","3437.93662452","2394.25134277","19239.80826"
"09/07/2021 15:15:13","N","15292.07770156","15475.29416465","7133.3017559","1026.04589116","1026.04589116","0","3380.85731828","3436.08817481","2393.28887939","19642.80108"
"09/07/2021 15:30:14","N","15361.71930503","15477.70181274","7133.10034751","1263.84519702","1263.84519702","0","3380.23583954","3435.53605079","2391.85083007","19890.91457"
"09/07/2021 15:45:14","N","15370.16686057","15524.91473388","7134.32006645","1304.38063627","1304.38063627","0","3379.73484879","3435.46848487","2392.46673583","20049.87091"
"09/07/2021 16:00:18","N","15361.44343185","15535.97503328","7127.88345909","1342.9749906","1342.9749906","0","3380.18059539","3434.37449073","2391.62579345","20004.87041"
"09/07/2021 16:15:12","N","15385.7253189","15543.44108771","7127.95670127","1545.59050637","1545.59050637","0","3379.23476898","3433.94449806","2391.90460205","20255.28712"
"09/07/2021 16:30:12","N","15395.026556","15549.94883727","7129.90177726","1631.09051883","1631.09051883","0","3378.31295055","3432.54282569","2391.36358642","20354.74922"
"09/07/2021 16:45:13","N","15404.69087027","15557.11908721","7129.88347434","1737.9477905","1737.9477905","0","3458.4183427","3505.30114746","2390.10046386","20579.66438"
"09/07/2021 17:00:18","N","15289.95906639","15408.71263885","7135.81020927","1702.43604242","1702.43604242","0","3458.511846","3506.1609497","2390.33990478","20467.26856"
"09/07/2021 17:15:13","N","15198.15674972","15356.98337364","7140.75528526","1759.30274772","1759.30274772","0","3379.01728022","3505.36682128","2389.59643554","20284.65742"
"09/07/2021 17:30:12","N","14854.26215362","15291.90608405","7138.82852745","1759.64852178","1759.64852178","0","3377.97556424","3505.18322753","2389.87927246","20162.13806"
"09/07/2021 17:45:13","N","14996.29865836","15163.97081756","7137.86514854","1762.74439322","1762.74439322","0","3378.31066232","3504.50396728","2389.51831054","20080.27443"
"09/07/2021 18:00:20","N","14557.18816184","15096.26675032","7163.69190025","2109.79733097","2109.79733097","0","3401.59784036","3503.1519165","2389.01428222","20029.79909"
"09/07/2021 18:15:13","N","14452.5458393","15094.09494018","7129.65527915","2416.57841944","2416.57841944","0","3377.99683487","3403.32135009","2391.45562744","20236.74561"
"09/07/2021 18:30:12","N","14418.54844474","15057.22782516","7160.72852134","2293.74735736","2293.74735736","0","3376.73044157","3401.85656738","2389.61132812","20139.79014"
"09/07/2021 18:45:13","N","14402.52216791","15051.17167162","7161.7102108","2349.48788261","2349.48788261","0","3379.15443676","3403.96109008","2391.23480224","20161.68187"
"09/07/2021 19:00:17","N","14184.08830248","15036.16318308","7108.16515159","2441.05860543","2441.05860543","0","3377.92990928","3405.08654785","2391.23364257","20065.6732"
"09/07/2021 19:15:13","N","14056.26913719","14941.65224247","7092.20177268","2417.63912081","2417.63912081","0","3357.57043957","3380.62731933","2371.97692871","19808.68086"
"09/07/2021 19:30:11","N","14075.18438464","14916.37042265","7093.22008323","2357.52567249","2357.52567249","0","3358.75449681","3381.60873413","2372.75592041","19748.14457"
"09/07/2021 19:45:12","N","13989.46020117","14892.72561636","7098.11021995","2293.69663238","2293.69663238","0","3358.3858996","3381.30541992","2372.19940185","19639.77017"
"09/07/2021 20:00:15","N","13806.4910017","14927.37088737","7129.9186573","2127.51906228","2127.51906228","0","3358.73882091","3382.24072265","2372.67913818","19284.65035"
"09/07/2021 20:15:12","N","13349.41483831","14927.10924291","7192.08345222","1933.89769005","1933.89769005","0","3359.50323444","3382.62921142","2372.83990478","18726.77808"
"09/07/2021 20:30:07","N","12727.98383197","14743.07375679","7127.44684028","1744.32945477","1744.32945477","0","3358.82034766","3382.36932373","2372.20025634","17848.38383"
"09/07/2021 20:45:08","N","12230.41986236","14663.33769569","7063.97358894","1680.55879366","1680.55879366","0","3357.74976128","3380.79064941","2371.55804443","17422.40534"
"09/07/2021 21:00:12","N","11901.00737152","14667.2612339","7023.77500724","1711.72354245","1711.72354245","0","3358.01317656","3381.82989501","2371.93920898","16820.8846"
