"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"09/13/2021 00:00:19","N","883.40000152","1501.10000038","477.8"
"09/13/2021 00:15:13","N","889.40000152","1507.10000038","484.7"
"09/13/2021 00:30:11","N","884.40000152","1502.10000038","479.6"
"09/13/2021 00:45:08","N","881.40000152","1499.10000038","477.8"
"09/13/2021 01:00:12","N","880.40000152","1428.80000305","500.5"
"09/13/2021 01:15:07","N","875.40000152","1423.80000305","497"
"09/13/2021 01:30:07","N","875.40000152","1423.80000305","494.5"
"09/13/2021 01:45:08","N","875.40000152","1423.80000305","495.2"
"09/13/2021 02:00:11","N","875.40000152","1423.80000305","469.3"
"09/13/2021 02:15:07","N","873.40000152","1421.80000305","468"
"09/13/2021 02:30:08","N","868.40000152","1416.80000305","462.9"
"09/13/2021 02:45:07","N","871.40000152","1419.80000305","466.8"
"09/13/2021 03:00:11","N","871.40000152","1419.80000305","464.7"
"09/13/2021 03:15:07","N","864.40000152","1412.80000305","458"
"09/13/2021 03:30:08","N","864.40000152","1412.80000305","458.9"
"09/13/2021 03:45:08","N","867.40000152","1415.80000305","460.8"
"09/13/2021 04:00:12","N","867.40000152","1415.80000305","461.3"
"09/13/2021 04:15:08","N","863.40000152","1411.80000305","456.2"
"09/13/2021 04:30:08","N","868.40000152","1416.80000305","460.5"
"09/13/2021 04:45:08","N","864.40000152","1412.80000305","455.6"
"09/13/2021 05:00:13","N","868.40000152","1416.80000305","476.1"
"09/13/2021 05:15:08","N","869.40000152","1417.80000305","478.9"
"09/13/2021 05:30:07","N","869.40000152","1417.80000305","479.8"
"09/13/2021 05:45:08","N","873.40000152","1421.80000305","483.5"
"09/13/2021 06:00:12","N","876.40000152","1424.80000305","470.8"
"09/13/2021 06:15:07","N","875.40000152","1423.80000305","470.1"
"09/13/2021 06:30:08","N","874.40000152","1422.80000305","468.9"
"09/13/2021 06:45:08","N","879.40000152","1427.80000305","472.9"
"09/13/2021 07:00:12","N","871.40000152","1419.80000305","464.9"
"09/13/2021 07:15:08","N","875.40000152","1423.80000305","470"
"09/13/2021 07:30:08","N","892.40000152","1440.80000305","486.5"
"09/13/2021 07:45:08","N","788.40000152","1286.80000305","578.5848999"
"09/13/2021 08:00:13","N","790.40000152","1288.80000305","580.31875762"
