"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"09/25/2021 00:00:21","N","12584.63795","-15","12599.63795"
"09/25/2021 00:15:13","N","12032.51874","14","12018.51874"
"09/25/2021 00:30:08","N","12056.29552","14","12042.29552"
"09/25/2021 00:45:09","N","11979.83471","14","11965.83471"
"09/25/2021 01:00:20","N","11917.76098","14","11903.76098"
"09/25/2021 01:15:12","N","11580.19108","14","11566.19108"
"09/25/2021 01:30:12","N","11363.17558","-6","11369.17558"
"09/25/2021 01:45:12","N","11275.66596","-14","11289.66596"
"09/25/2021 02:00:17","N","11281.96054","-16","11297.96054"
"09/25/2021 02:15:14","N","11007.08777","-14","11021.08777"
"09/25/2021 02:30:13","N","11046.60992","-15","11061.60992"
"09/25/2021 02:45:08","N","10855.84196","-15","10870.84196"
"09/25/2021 03:00:12","N","10930.1703","0","10930.1703"
"09/25/2021 03:15:08","N","11072.84991","13","11059.84991"
"09/25/2021 03:30:09","N","10976.20755","14","10962.20755"
"09/25/2021 03:45:08","N","11051.95206","-10","11061.95206"
"09/25/2021 04:00:13","N","11042.18342","-39","11081.18342"
"09/25/2021 04:15:09","N","11261.92715","-40","11301.92715"
"09/25/2021 04:30:12","N","11305.30676","-39","11344.30676"
"09/25/2021 04:45:13","N","11272.17738","-40","11312.17738"
"09/25/2021 05:00:18","N","11399.39862","-40","11439.39862"
"09/25/2021 05:15:15","N","11571.5034","-40","11611.5034"
"09/25/2021 05:30:12","N","11650.7624","-40","11690.7624"
"09/25/2021 05:45:13","N","11930.43603","-40","11970.43603"
"09/25/2021 06:00:16","N","12518.72908","-40","12558.72908"
"09/25/2021 06:15:14","N","13022.09171","-39","13061.09171"
"09/25/2021 06:30:13","N","13204.06507","-40","13244.06507"
"09/25/2021 06:45:13","N","13380.03917","-39","13419.03917"
"09/25/2021 07:00:17","N","13409.33842","-40","13449.33842"
"09/25/2021 07:15:13","N","13575.15065","-40","13615.15065"
