"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"09/28/2021 00:00:19","N","44084.26696","-176.3","44260.56696"
"09/28/2021 00:15:13","N","43294.9069","-412.7","43707.6069"
"09/28/2021 00:30:12","N","42662.93576","-416.9","43079.83576"
"09/28/2021 00:45:08","N","42070.33543","-396.9","42467.23543"
"09/28/2021 01:00:14","N","41676.24838","-360.6","42036.84838"
"09/28/2021 01:15:08","N","41272.46382","-348.4","41620.86382"
"09/28/2021 01:30:08","N","40583.44981","-348.5","40931.94981"
"09/28/2021 01:45:08","N","40376.413","-348.4","40724.813"
"09/28/2021 02:00:15","N","39908.53977","-390.8","40299.33977"
"09/28/2021 02:15:08","N","39679.70476","-446.8","40126.50476"
"09/28/2021 02:30:08","N","39312.43341","-446.8","39759.23341"
"09/28/2021 02:45:08","N","39057.32522","-447.1","39504.42522"
"09/28/2021 03:00:13","N","38960.6435","-446.5","39407.1435"
"09/28/2021 03:15:16","N","38935.58149","-456.7","39392.28149"
"09/28/2021 03:30:08","N","38786.43866","-456.5","39242.93866"
"09/28/2021 03:45:09","N","38685.8556","-456.7","39142.5556"
"09/28/2021 04:00:14","N","38727.86025","-456.9","39184.76025"
"09/28/2021 04:15:08","N","38994.46208","-456.7","39451.16208"
"09/28/2021 04:30:08","N","38916.14679","-457","39373.14679"
"09/28/2021 04:45:08","N","39152.48883","-457.2","39609.68883"
"09/28/2021 05:00:14","N","39313.87693","-457","39770.87693"
"09/28/2021 05:15:08","N","39855.53664","-456.9","40312.43664"
"09/28/2021 05:30:08","N","40223.59006","-456.8","40680.39006"
"09/28/2021 05:45:10","N","40860.96975","-457","41317.96975"
"09/28/2021 06:00:14","N","41351.08521","-466.7","41817.78521"
"09/28/2021 06:15:08","N","42495.59068","-466.8","42962.39068"
"09/28/2021 06:30:08","N","42958.34138","-466.9","43425.24138"
"09/28/2021 06:45:09","N","43460.79902","-466.8","43927.59902"
"09/28/2021 07:00:19","N","43912.8558","-445.2","44358.0558"
"09/28/2021 07:15:12","N","44347.20201","-416.9","44764.10201"
"09/28/2021 07:30:13","N","43948.54522","-416.8","44365.34522"
"09/28/2021 07:45:13","N","43920.84086","-417.1","44337.94086"
"09/28/2021 08:00:19","N","44028.10848","-301","44329.10848"
"09/28/2021 08:15:12","N","44770.21624","-148.4","44918.61624"
"09/28/2021 08:30:12","N","45176.11999","-149.3","45325.41999"
"09/28/2021 08:45:13","N","45645.90751","-99.3","45745.20751"
"09/28/2021 09:00:18","N","46295.09702","-42.6","46337.69702"
"09/28/2021 09:15:14","N","47109.92312","27.4","47082.52312"
"09/28/2021 09:30:08","N","47849.69233","29.6","47820.09233"
"09/28/2021 09:45:08","N","48869.031","27.5","48841.531"
"09/28/2021 10:00:21","N","49450.80848","61.5","49389.30848"
"09/28/2021 10:15:14","N","50404.43163","102","50302.43163"
"09/28/2021 10:30:13","N","51320.52282","101.6","51218.92282"
"09/28/2021 10:45:12","N","52312.53065","100.7","52211.83065"
"09/28/2021 11:00:17","N","53161.98817","135.4","53026.58817"
"09/28/2021 11:15:12","N","54063.77394","143.8","53919.97394"
"09/28/2021 11:30:13","N","54616.69438","144","54472.69438"
"09/28/2021 11:45:14","N","55298.23875","131.1","55167.13875"
"09/28/2021 12:00:18","N","55814.70644","96.8","55717.90644"
"09/28/2021 12:15:13","N","56249.60506","43.7","56205.90506"
"09/28/2021 12:30:13","N","56892.70581","42.4","56850.30581"
"09/28/2021 12:45:14","N","57663.09008","42.7","57620.39008"
"09/28/2021 13:00:19","N","58264.24824","53.4","58210.84824"
"09/28/2021 13:15:14","N","59044.9501","52.5","58992.4501"
"09/28/2021 13:30:13","N","59360.95682","52.7","59308.25682"
"09/28/2021 13:45:14","N","60157.45625","4.7","60152.75625"
"09/28/2021 14:00:21","N","60416.54509","-105.5","60522.04509"
"09/28/2021 14:15:13","N","60794.00171","-153.4","60947.40171"
"09/28/2021 14:30:13","N","61351.18824","-153.1","61504.28824"
"09/28/2021 14:45:14","N","61694.94649","-104.3","61799.24649"
"09/28/2021 15:00:19","N","61961.31381","-54.8","62016.11381"
"09/28/2021 15:15:15","N","62244.92417","-62.3","62307.22417"
"09/28/2021 15:30:13","N","62399.59658","-62.3","62461.89658"
"09/28/2021 15:45:14","N","62419.52516","-62.4","62481.92516"
"09/28/2021 16:00:12","N","62542.28414","4","62538.28414"
"09/28/2021 16:15:15","N","62276.63495","62.3","62214.33495"
"09/28/2021 16:30:21","N","62396.72869","86.1","62310.62869"
"09/28/2021 16:45:15","N","62168.82796","139.5","62029.32796"
"09/28/2021 17:00:20","N","61955.93328","254.6","61701.33328"
"09/28/2021 17:15:13","N","61518.52714","434.5","61084.02714"
"09/28/2021 17:30:13","N","61311.90696","459.5","60852.40696"
"09/28/2021 17:45:13","N","60999.10828","449.7","60549.40828"
"09/28/2021 18:00:21","N","60358.21318","258.7","60099.51318"
"09/28/2021 18:15:13","N","59335.47742","150.4","59185.07742"
"09/28/2021 18:30:14","N","58847.85647","76.7","58771.15647"
"09/28/2021 18:45:12","N","58352.77712","76.9","58275.87712"
"09/28/2021 19:00:18","N","57805.39165","50.5","57754.89165"
"09/28/2021 19:15:13","N","57373.82735","-140.8","57514.62735"
"09/28/2021 19:30:12","N","57291.30681","-231.6","57522.90681"
"09/28/2021 19:45:14","N","56884.35048","-231.8","57116.15048"
"09/28/2021 20:00:18","N","56312.71793","-268.7","56581.41793"
"09/28/2021 20:15:14","N","55555.47243","-345.9","55901.37243"
"09/28/2021 20:30:12","N","54889.57742","-411.6","55301.17742"
"09/28/2021 20:45:12","N","54220.74599","-411.8","54632.54599"
"09/28/2021 21:00:19","N","53476.78726","-390.3","53867.08726"
"09/28/2021 21:15:13","N","52734.61638","-360.3","53094.91638"
"09/28/2021 21:30:13","N","51925.92556","-360.5","52286.42556"
"09/28/2021 21:45:13","N","50977.57785","-360.7","51338.27785"
"09/28/2021 22:00:19","N","50003.0475","-344.9","50347.9475"
"09/28/2021 22:15:13","N","49154.44007","-346.1","49500.54007"
"09/28/2021 22:30:13","N","48298.41703","-366.7","48665.11703"
"09/28/2021 22:45:13","N","47582.69673","-345.9","47928.59673"
"09/28/2021 23:00:21","N","46442.68084","-345.6","46788.28084"
"09/28/2021 23:15:13","N","45632.07709","-345.7","45977.77709"
"09/28/2021 23:30:15","N","44637.19356","-345.7","44982.89356"
"09/28/2021 23:45:13","N","44107.53088","-177.2","44284.73088"
