"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"09/28/2021 00:00:19","N","482","1081.89699998","50.69999998"
"09/28/2021 00:15:13","N","482","1081.60699999","50.5"
"09/28/2021 00:30:12","N","482","1081.68699996","50.59999996"
"09/28/2021 00:45:08","N","482","1081.78699998","50.69999998"
"09/28/2021 01:00:14","N","482","1081.48699997","50.39999997"
"09/28/2021 01:15:08","N","482","1081.70699995","50.69999998"
"09/28/2021 01:30:08","N","482","1081.85699997","50.69999998"
"09/28/2021 01:45:08","N","482","1082.12699994","50.5"
"09/28/2021 02:00:15","N","482","1081.90699994","50.69999998"
"09/28/2021 02:15:08","N","482","1081.80699998","50.69999998"
"09/28/2021 02:30:08","N","482","1081.80699998","50.5"
"09/28/2021 02:45:08","N","482","1081.80699998","50.5"
"09/28/2021 03:00:13","N","482","1081.80699998","50.5"
"09/28/2021 03:15:16","N","482","1081.80699998","50.5"
"09/28/2021 03:30:08","N","482","1081.80699998","50.5"
"09/28/2021 03:45:09","N","482","1081.58699999","50.5"
"09/28/2021 04:00:14","N","482","1081.48699997","50.89999997"
"09/28/2021 04:15:08","N","482","1081.60699999","51"
"09/28/2021 04:30:08","N","482","1081.80699998","51"
"09/28/2021 04:45:08","N","482","1081.48699997","50.89999997"
"09/28/2021 05:00:14","N","482","1081.48699997","50.39999997"
"09/28/2021 05:15:08","N","482","1081.48699997","50.39999997"
"09/28/2021 05:30:08","N","482","1081.507","50.5"
"09/28/2021 05:45:10","N","482","1081.40699997","50.39999997"
"09/28/2021 06:00:14","N","482","1081.40699997","50.39999997"
"09/28/2021 06:15:08","N","482","1081.40699997","50.39999997"
"09/28/2021 06:30:08","N","482","1081.40699997","50.39999997"
"09/28/2021 06:45:09","N","482","1081.40699997","50.39999997"
"09/28/2021 07:00:19","N","482","1081.507","50.6"
"09/28/2021 07:15:12","N","482","1081.40699997","50.49999997"
"09/28/2021 07:30:13","N","482","1081.30699998","50.39999998"
"09/28/2021 07:45:13","N","482","1081.40699997","50.49999997"
"09/28/2021 08:00:19","N","482","1081.40699997","50.39999997"
"09/28/2021 08:15:12","N","482","1081.40699997","50.39999997"
"09/28/2021 08:30:12","N","482","1081.30699998","50.29999998"
"09/28/2021 08:45:13","N","482","1081.20699998","50.09999999"
"09/28/2021 09:00:18","N","482","1081.10699999","50.09999999"
"09/28/2021 09:15:14","N","482","1081.10699999","50.09999999"
"09/28/2021 09:30:08","N","482","1081.30699998","50.29999998"
"09/28/2021 09:45:08","N","482","1081.20699998","50.19999998"
"09/28/2021 10:00:21","N","482","1081.40699997","50.29999998"
"09/28/2021 10:15:14","N","482","1081.20699998","50.19999998"
"09/28/2021 10:30:13","N","482","1081.20699998","50.19999998"
"09/28/2021 10:45:12","N","482","1081.10699999","50.09999999"
"09/28/2021 11:00:17","N","482","1081.10699999","50.19999999"
"09/28/2021 11:15:12","N","482","1081.10699999","50.19999999"
"09/28/2021 11:30:13","N","482","1081.007","50.1"
"09/28/2021 11:45:14","N","482","1081.10699999","50.1"
"09/28/2021 12:00:18","N","482","1081.01699999","50"
"09/28/2021 12:15:13","N","482","1081.01699999","50.09999999"
"09/28/2021 12:30:13","N","482","1081.10699999","50.09999999"
"09/28/2021 12:45:14","N","482","1081.10699999","54.09999999"
"09/28/2021 13:00:19","N","482","1081.10699999","64.09999999"
"09/28/2021 13:15:14","N","482","1081.10699999","70.09999999"
"09/28/2021 13:30:13","N","482","1081.007","76"
"09/28/2021 13:45:14","N","482","1081.10699999","82.09999999"
"09/28/2021 14:00:21","N","482","1081.007","93.2"
"09/28/2021 14:15:13","N","482","1081.10699999","97.29999999"
"09/28/2021 14:30:13","N","482","1081.10699999","100.29999999"
