"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"06/02/2022 00:00:37","N","805.95244447","1277.46006095","468.19962547","11462.38016033","11462.35732221","0",".05758969","117.64347648","0","12254.70268"
"06/02/2022 00:15:16","N","804.18510132","1309.79505135","481.87118004","11026.16912132","11026.16912132","0",".05831434","117.64347648","0","11797.42375"
"06/02/2022 00:30:16","N","804.29847413","1313.74323202","482.35700462","9961.81199263","9961.80772634","0",".05856132","117.64347648","0","10755.26292"
"06/02/2022 00:45:16","N","803.96632081","1313.87085654","482.08996056","9655.53293163","9655.53293354",".23582515",".05783771","117.64347648","0","10420.72364"
"06/02/2022 01:00:23","N","805.07861023","1311.69638754","482.26861046","9144.65927243","9148.03927159","0",".05808278","120.94347715","0","9901.18698"
"06/02/2022 01:15:15","N","542.08086854","1111.62063528","363.4956765","8690.84275908","8690.84275908","0",".05841767","120.94347715","0","9264.52615"
"06/02/2022 01:30:15","N","541.83750611","1030.12280203","347.61019371","8445.46255193","8445.46255193","0",".05795349","120.94347715","0","8979.95583"
"06/02/2022 01:45:15","N","524.03627186","1035.70044352","334.69938133","9434.68970463","9434.68970463","0",".05671561","120.94347715","0","10001.80077"
"06/02/2022 02:00:20","N","433.47906046","1079.37751557","337.87757347","10325.71138879","10325.71138879","0",".05589758","134.84347724","0","10806.58908"
"06/02/2022 02:15:15","N","452.06589156","1080.49851109","337.90821312","10349.59028574","10349.46949908",".05699999",".05605502","134.84347724","0","10803.63536"
"06/02/2022 02:30:15","N","451.04967289","1080.39826227","335.80590294","10221.88733963","10221.88733963","0",".05606422","134.84347724","0","10690.50266"
"06/02/2022 02:45:15","N","526.55456715","1080.39133097","334.80127953","9564.69714722","9564.69714722","0",".05671817","134.84347724","0","10056.18161"
"06/02/2022 03:00:18","N","551.33560448","1052.69907118","332.61605309","8883.96600585","8883.96600585","0",".05736383","134.84347724","0","9429.48009"
"06/02/2022 03:15:13","N","539.87264424","1008.93267466","347.89539574","8887.23913206","8887.23209824","0",".05740738","134.84347724","0","9405.47827"
"06/02/2022 03:30:14","N","540.48833542","1009.54836584","348.03591393","8238.73761899","8238.73761899","0",".05788369","134.84347724","0","8744.53524"
"06/02/2022 03:45:11","N","540.03177481","1010.09180523","347.31435631","7344.71965265","7344.61195635","0",".05917404","134.84347724","0","7889.11461"
"06/02/2022 04:00:15","N","539.59739237","1007.65742279","344.72091148","7129.66926693","7129.66926693","0",".05878451","134.84347724","0","7668.26471"
"06/02/2022 04:15:11","N","556.86782437","1024.92785479","462.76494835","6791.15159509","6791.09854743","0",".05974832","133.24347686","0","7334.06837"
"06/02/2022 04:30:10","N","564.471134","1031.53116442","471.70020531","6602.58681526","6602.58681526","0",".06003151","132.64347743","0","7174.69728"
"06/02/2022 04:45:10","N","576.35790329","1043.41793371","467.91375206","6117.52371561","6135.07857382","0",".06152477","132.64347743","0","6654.8669"
"06/02/2022 05:00:17","N","804.09527959","1282.81499515","479.7955117","4902.17762516","4902.17762516","0",".06208178","137.54347705","0","5680.8048"
"06/02/2022 05:15:11","N","896.98382741","1301.86807848","617.47867821","4538.4672954","4538.40693783","0",".06289766","136.34347724","0","5395.79479"
"06/02/2022 05:30:11","N","848.87150889","1306.67707039","622.50647972","4482.24534964","4482.24534964","0",".06190503","136.64347696","0","5308.6669"
"06/02/2022 05:45:10","N","1020.14009648","1549.64765383","641.68497704","4192.20193892","4192.20125299","0","2.05983867","135.54347705","2","5050.17621"
"06/02/2022 06:00:14","N","1082.94196921","1600.02639271","641.07978294","3983.48292279","3983.48292279","0",".05925103","136.74347686","0","5051.70123"
"06/02/2022 06:15:10","N","1096.28123885","1604.24073864","609.27125023","3806.79411297","3806.79411297","0","1.79213458","136.74347686","0","4882.38069"
"06/02/2022 06:30:11","N","1096.07687645","1603.94824148","609.11823509","3713.69401052","3713.63913562","0","1.7884018","136.74347686","0","4799.38753"
"06/02/2022 06:45:10","N","1096.91573636","1605.12168032","609.43280273","3722.24774499","3722.24774499","0","1.78460885","136.74347686","0","4817.38343"
"06/02/2022 07:00:16","N","1119.11077805","1624.41341611","614.65627406","3588.65668558","3588.65668558","0",".0587403","137.74347686","0","4686.00239"
"06/02/2022 07:15:10","N","1233.82974548","1739.01721687","615.44693993","3392.24131611","3392.24131611","0",".88377184","137.74347686","0","4634.12105"
"06/02/2022 07:30:14","N","1349.34395237","1861.06549331","616.01113061","3222.42409435","3222.42409435","0",".88707958","137.74347686","0","4585.31629"
"06/02/2022 07:45:14","N","1500.79181294","2012.34203344","615.79936914","3134.1156688","3134.1156688","0",".87834112","137.74347686","0","4638.42326"
"06/02/2022 08:00:19","N","1520.63399248","2007.31957702","628.66207055","3046.35598764","3046.35598764","5.94899988",".90685321","134.5434761","0","4591.13417"
"06/02/2022 08:15:15","N","1668.45200008","2151.49198002","625.50435571","3085.43702846","3085.43702846","0",".05926842","134.5434761","0","4740.65522"
