"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"06/06/2022 00:00:20","N","15844.96196","-382.2","16227.16196"
"06/06/2022 00:15:15","N","15434.05544","-405.2","15839.25544"
"06/06/2022 00:30:16","N","15385.83729","-335.2","15721.03729"
"06/06/2022 00:45:17","N","15271.81859","-335.2","15607.01859"
"06/06/2022 01:00:22","N","14643.25252","-381.2","15024.45252"
"06/06/2022 01:15:17","N","14239.5698","-434.2","14673.7698"
"06/06/2022 01:30:16","N","14066.01533","-335.2","14401.21533"
"06/06/2022 01:45:15","N","13850.22312","-335.2","14185.42312"
"06/06/2022 02:00:22","N","13783.11734","-335.2","14118.31734"
"06/06/2022 02:15:17","N","13225.56412","-248.1","13473.66412"
"06/06/2022 02:30:16","N","13089.05872","-114.1","13203.15872"
"06/06/2022 02:45:17","N","12990.46452","-34","13024.46452"
"06/06/2022 03:00:20","N","12960.0535","3","12957.0535"
"06/06/2022 03:15:18","N","12959.70526","-28","12987.70526"
"06/06/2022 03:30:15","N","12933.25251","-45","12978.25251"
"06/06/2022 03:45:16","N","12977.57906","-55","13032.57906"
"06/06/2022 04:00:22","N","12968.19684","-24","12992.19684"
"06/06/2022 04:15:15","N","12963.25417","8","12955.25417"
"06/06/2022 04:30:15","N","12941.97361","-71","13012.97361"
"06/06/2022 04:45:14","N","12876.74696","-99","12975.74696"
"06/06/2022 05:00:20","N","12871.83849","-53","12924.83849"
"06/06/2022 05:15:15","N","13114.9733","1","13113.9733"
"06/06/2022 05:30:16","N","13253.08766","0","13253.08766"
"06/06/2022 05:45:14","N","13636.32175","-22","13658.32175"
"06/06/2022 06:00:19","N","13956.08448","-162.1","14118.18448"
"06/06/2022 06:15:16","N","13962.07017","-309.2","14271.27017"
"06/06/2022 06:30:16","N","14093.29511","-309.2","14402.49511"
"06/06/2022 06:45:16","N","14197.90809","-309.2","14507.10809"
"06/06/2022 07:00:23","N","14333.76118","-394.2","14727.96118"
"06/06/2022 07:15:14","N","14149.72203","-496.2","14645.92203"
"06/06/2022 07:30:15","N","14024.404","-496.2","14520.604"
"06/06/2022 07:45:15","N","13889.50773","-347.2","14236.70773"
"06/06/2022 08:00:22","N","13947.0419","-218.1","14165.1419"
"06/06/2022 08:15:13","N","14224.89717","-49","14273.89717"
"06/06/2022 08:30:16","N","14214.62184","-199.1","14413.72184"
"06/06/2022 08:45:15","N","14365.43238","-198.1","14563.53238"
"06/06/2022 09:00:19","N","14584.23089","-198.1","14782.33089"
"06/06/2022 09:15:15","N","14967.18408","-198.1","15165.28408"
"06/06/2022 09:30:16","N","15305.70472","-53","15358.70472"
"06/06/2022 09:45:16","N","16298.81157","111.1","16187.71157"
"06/06/2022 10:00:21","N","17419.61134","115.1","17304.51134"
"06/06/2022 10:15:16","N","18042.16058","115.1","17927.06058"
"06/06/2022 10:30:16","N","18993.44173","115.1","18878.34173"
"06/06/2022 10:45:15","N","19444.89494","115.1","19329.79494"
"06/06/2022 11:00:22","N","19957.4953","6","19951.4953"
"06/06/2022 11:15:16","N","20392.60012","-115.1","20507.70012"
"06/06/2022 11:30:16","N","21094.24026","-87","21181.24026"
"06/06/2022 11:45:16","N","21773.40885","-87","21860.40885"
"06/06/2022 12:00:22","N","22355.83419","-108.1","22463.93419"
"06/06/2022 12:15:17","N","22755.95152","-124.1","22880.05152"
"06/06/2022 12:30:17","N","23685.42043","166.1","23519.32043"
"06/06/2022 12:45:17","N","24259.40183","278.1","23981.30183"
"06/06/2022 13:00:23","N","24678.40572","188.1","24490.30572"
"06/06/2022 13:15:16","N","24912.77421","103.1","24809.67421"
"06/06/2022 13:30:17","N","25611.15482","52","25559.15482"
"06/06/2022 13:45:16","N","25930.06637","-12","25942.06637"
"06/06/2022 14:00:24","N","26108.60014","39","26069.60014"
"06/06/2022 14:15:18","N","26434.02588","82","26352.02588"
"06/06/2022 14:30:17","N","26872.20286","55","26817.20286"
"06/06/2022 14:45:17","N","27281.06496","-79","27360.06496"
"06/06/2022 15:00:22","N","26885.96824","-280.1","27166.06824"
"06/06/2022 15:15:16","N","26722.5315","-372.2","27094.7315"
"06/06/2022 15:30:17","N","27177.09566","-243.1","27420.19566"
"06/06/2022 15:45:16","N","27297.95305","-236.1","27534.05305"
"06/06/2022 16:00:22","N","27310.06757","-214.1","27524.16757"
"06/06/2022 16:15:16","N","27415.20915","-187.1","27602.30915"
"06/06/2022 16:30:18","N","27543.17753","-243.1","27786.27753"
"06/06/2022 16:45:18","N","27347.69933","-366.2","27713.89933"
"06/06/2022 17:00:23","N","27224.31643","-372.2","27596.51643"
"06/06/2022 17:15:18","N","27396.10006","-372.2","27768.30006"
"06/06/2022 17:30:18","N","27296.66564","-569.3","27865.96564"
"06/06/2022 17:45:18","N","27420.8397","-569.3","27990.1397"
"06/06/2022 18:00:23","N","27222.22827","-570.3","27792.52827"
"06/06/2022 18:15:17","N","27236.93139","-571.3","27808.23139"
"06/06/2022 18:30:18","N","27041.5929","-569.3","27610.8929"
"06/06/2022 18:45:16","N","26962.72696","-570.3","27533.02696"
"06/06/2022 19:00:23","N","26928.39872","-570.3","27498.69872"
"06/06/2022 19:15:17","N","26862.5631","-570.3","27432.8631"
"06/06/2022 19:30:19","N","26678.98928","-594.3","27273.28928"
"06/06/2022 19:45:17","N","26541.99638","-595.3","27137.29638"
"06/06/2022 20:00:22","N","26416.16601","-595.3","27011.46601"
"06/06/2022 20:15:17","N","26205.96787","-595.3","26801.26787"
"06/06/2022 20:30:17","N","26168.72262","-595.3","26764.02262"
"06/06/2022 20:45:17","N","26130.81086","-595.3","26726.11086"
"06/06/2022 21:00:23","N","25789.08954","-594.3","26383.38954"
"06/06/2022 21:15:17","N","25061.44354","-595.3","25656.74354"
"06/06/2022 21:30:16","N","24214.53779","-595.3","24809.83779"
"06/06/2022 21:45:17","N","24053.98028","-595.3","24649.28028"
"06/06/2022 22:00:21","N","23573.76549","-594.3","24168.06549"
"06/06/2022 22:15:16","N","22762.25026","-595.3","23357.55026"
"06/06/2022 22:30:18","N","22072.86332","-595.3","22668.16332"
"06/06/2022 22:45:17","N","21275.40465","-594.3","21869.70465"
"06/06/2022 23:00:21","N","20824.79854","-595.3","21420.09854"
"06/06/2022 23:15:15","N","20370.14072","-595.3","20965.44072"
"06/06/2022 23:30:15","N","19674.87097","-595.3","20270.17097"
"06/06/2022 23:45:15","N","18912.58407","-595.3","19507.88407"
