"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"06/10/2022 00:00:21","N","641.5","1927.05745792","1004.31989097"
"06/10/2022 00:15:15","N","641.5","1928.99167633","1004.29311904"
"06/10/2022 00:30:15","N","641.5","1926.91965484","999.28330383"
"06/10/2022 00:45:14","N","641.5","1927.14505958","996.4197565"
"06/10/2022 01:00:23","N","643.5","1925.17079925","990.95470199"
"06/10/2022 01:15:13","N","643.5","1926.50654888","989.2744461"
"06/10/2022 01:30:15","N","643.5","1926.42921543","986.39980087"
"06/10/2022 01:45:14","N","643.5","1923.29622077","980.13581428"
"06/10/2022 02:00:15","N","645.5","1920.28169155","977.08807182"
"06/10/2022 02:15:12","N","645.5","1920.33385848","977.18321514"
"06/10/2022 02:30:10","N","645.5","1921.00111579","977.92720031"
"06/10/2022 02:45:10","N","645.5","1924.40966987","981.11783885"
"06/10/2022 03:00:14","N","647.5","1880.40407752","942.9957571"
"06/10/2022 03:15:10","N","647.5","1878.28851985","941.02731895"
"06/10/2022 03:30:10","N","647.5","1870.9704833","933.66458988"
"06/10/2022 03:45:10","N","647.5","1870.60844659","933.32255458"
"06/10/2022 04:00:18","N","649.6000061","1869.02388215","931.14768822"
"06/10/2022 04:15:11","N","649.6000061","1873.38164472","935.56233949"
"06/10/2022 04:30:11","N","649.6000061","1870.18591833","932.22606225"
"06/10/2022 04:45:11","N","649.6000061","1870.34465932","932.46020097"
"06/10/2022 05:00:16","N","651.7000122","1868.64119678","931.26951"
"06/10/2022 05:15:11","N","651.7000122","1868.31685271","930.95119423"
"06/10/2022 05:30:11","N","651.7000122","1867.90002441","930.6"
"06/10/2022 05:45:10","N","651.7000122","1867.90002441","930.6"
"06/10/2022 06:00:17","N","655.89999389","1871.2000122","930.5"
"06/10/2022 06:15:10","N","655.89999389","1871.91951388","931.21061271"
"06/10/2022 06:30:11","N","655.89999389","1873.78876733","933.02093219"
"06/10/2022 06:45:10","N","655.89999389","1872.91802477","932.19647324"
"06/10/2022 07:00:17","N","653.79998779","1871.02989554","931.73400628"
