"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-IRR","SUM  HASL NON-IRR","SUM  LASL NON-IRR","SUM  BASE POINT WGR","SUM   HASL  WGR","SUM  LASL WGR","SUM  BASE POINT PVGR","SUM   HASL  PVGR","SUM  LASL PVGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"06/11/2022 00:00:20","N","32774.96908754","45293.32176661","23112.72428512","18779.47378683","18778.56181478",".1292435","2.80000004","2.80003004",".00001","4214.43548107","5341.37876877","3292.14844594","56057.86271"
"06/11/2022 00:15:14","N","31596.70600765","44487.78541254","22929.02456283","19112.39284634","19113.80330777",".1292435","2.70000004","2.70003004",".00001","4088.11235802","4776.68822436","3141.83860199","55053.13345"
"06/11/2022 00:30:15","N","30493.48561334","43167.2149055","22133.73186874","19376.76196968","19377.28045761",".1292435","2.82000004","2.82003004",".00001","4060.61684931","4778.29333469","3142.84864398","54131.35605"
"06/11/2022 00:45:14","N","29904.94552385","40994.63765692","20792.43638992","19549.85732901","19551.59923207",".1292435","2.70000004","2.70003004",".00001","4030.90742322","4779.81350208","3141.84851498","53658.56624"
"06/11/2022 01:00:20","N","28888.24655491","40094.14888477","20519.50712203","19491.24771845","19493.12495958",".1292435","2.84000004","2.84003004",".00001","4180.57180576","4763.07832318","3151.64846578","52945.00339"
"06/11/2022 01:15:14","N","28241.35037356","39064.31566143","20332.55822372","19463.01850354","19463.84596097",".1292435","2.81000004","2.81003004",".00001","4280.1373195","4761.04710078","3148.64840978","52087.52581"
"06/11/2022 01:30:15","N","26909.23226618","38889.37261486","20274.14348983","19675.71034681","19677.72633612",".1292435","2.86000005","2.86003005",".00001","4307.80325388","4758.85293287","3179.64868878","51338.29849"
"06/11/2022 01:45:15","N","26306.4511687","38892.81650257","20277.75678634","19854.42881739","19854.38110983",".1292435","2.70000004","2.70003004",".00001","4283.97884263","4759.35453791","3149.64887578","50557.53155"
"06/11/2022 02:00:20","N","25483.17960429","38807.36634039","20335.36047935","20041.89655911","20042.14449632",".1292435","2.84000004","2.84003004",".00001","4301.8282329","4820.86635142","3151.64951378","49986.93405"
"06/11/2022 02:15:15","N","24651.30373549","38846.19051718","20332.56696128","20170.24274688","20172.36393696",".1292435","2.80000002","2.80003002",".00001","4311.20150292","4818.50928222","3170.64917778","49344.39881"
"06/11/2022 02:30:14","N","23833.89413434","38817.0697515","20388.41591453","20235.74612629","20234.77918636",".1292435","2.82000004","2.82003004",".00001","4322.86352976","4818.23542271","3149.64923678","48538.90316"
"06/11/2022 02:45:16","N","23977.28876161","38819.87096762","20282.47190475","19867.25372898","19867.39441311",".1292435","2.83000005","2.83003005",".00001","4290.60437365","4814.55176141","3144.64891678","48128.13194"
"06/11/2022 03:00:19","N","23701.87161731","38792.02138423","20238.29367446","19836.06027045","19834.65401092",".1292435","2.81000004","2.81003004",".00001","4238.91153309","4729.14189784","3150.64909677","47807.03516"
"06/11/2022 03:15:14","N","23349.34019654","38746.18877696","20297.41768264","19897.58825474","19898.16960984",".1292435","2.70000004","2.70003004",".00001","4253.66252823","4727.86613199","3146.64890078","47542.92569"
"06/11/2022 03:30:14","N","22935.28344303","38745.21033","20338.08677482","19639.68385292","19672.54334808",".1292435","2.50000003","2.70003004",".00001","4248.34442801","4725.59665984","3145.64887178","46963.79266"
"06/11/2022 03:45:14","N","22722.77090483","38482.411273","20179.77955436","19528.72787775","19529.66289296",".1292435","2.83000005","2.83003005",".00001","4258.29417313","4729.30808901","3147.64889878","46503.69407"
"06/11/2022 04:00:20","N","22356.9972006","38505.07405829","20172.07797241","19522.38798485","19523.97947178",".1292435","2.82000004","2.82003004",".00001","4257.00679047","4714.08195285","3147.64882278","46168.80679"
"06/11/2022 04:15:13","N","22465.47409862","38507.81923651","20122.79244613","19321.78304893","19322.28834468",".1292435","2.82000004","2.82003004",".00001","4257.74818927","4713.2240648","3148.65889678","45967.30663"
"06/11/2022 04:30:14","N","22354.70656013","38505.05084776","20178.71447753","19045.44393114","19044.90365938",".1292435","2.82000004","2.82003004",".00001","4254.25596053","4709.87922746","3151.64875178","45608.5683"
"06/11/2022 04:45:12","N","22203.0153203","38506.03853392","20175.56063842","18938.64811933","18939.58343827",".1292435","2.70000004","2.70003004",".00001","4251.67012488","4708.7476856","3148.64866178","45365.3377"
"06/11/2022 05:00:18","N","21953.22547727","38695.98074722","20141.07212448","19042.69284374","19045.04242736",".1292435","2.83000005","2.83003005",".00001","4247.82992345","4805.00326382","3151.74858588","45259.21777"
"06/11/2022 05:15:13","N","21764.6590057","38693.61647319","20096.22823715","19126.56495616","19128.31678149",".1292435","2.87000004","2.87003004",".00001","4279.69174013","4806.78464566","3153.74855588","45320.53968"
"06/11/2022 05:30:13","N","21736.42835634","38691.32812404","20095.63463974","19181.9003198","19181.34214853",".1292435","2.70000004","2.70003004",".00001","4312.02795567","4805.72415638","3152.74878988","45365.62737"
"06/11/2022 05:45:13","N","21996.67339491","38685.90110492","20149.89038658","19135.20032295","19234.42726311",".1292435","2.82000004","2.82003004",".00001","4355.21701529","4817.910878","3162.74890488","45466.49111"
"06/11/2022 06:00:19","N","21946.08186477","38399.02461123","20126.43355941","19119.26626689","19119.57557781",".1292435","2.84000004","2.84003004",".00001","4387.32970023","4978.55456477","3166.85908699","45409.87537"
"06/11/2022 06:15:16","N","22300.20385146","38618.879462","20216.15946578","18912.08003145","18913.90520196",".1292435","2.70000004","2.70003004",".00001","4398.14834756","4979.85800827","3165.84897098","45676.04795"
"06/11/2022 06:30:14","N","22663.37943619","38625.20284152","20219.6527214","18504.52966552","18504.07009083",".1292435","6.09536205","6.09539205",".00001","4400.9707416","4977.92990288","3164.84878299","45473.85127"
"06/11/2022 06:45:13","N","22500.06056481","38628.30128359","20189.95145797","18135.99400311","18135.52813321",".1292435","61.94595597","61.95443997",".21131513","4398.58854372","4975.71271191","3162.84865199","45316.64111"
"06/11/2022 07:00:20","N","22777.07264578","38626.58732223","20221.92993545","17658.09518787","17659.47396537",".1292435","314.1871536","314.1871536","7.27985005","4366.36666194","5052.70574626","3162.84854099","45116.48986"
