"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"06/21/2022 00:00:17","N","899.79999542","2090.49030959","384.8"
"06/21/2022 00:15:14","N","901.79999542","2092.86741685","388.5"
"06/21/2022 00:30:14","N","880.79999542","2072.04223024","366.5"
"06/21/2022 00:45:14","N","865.79999542","2056.64926958","351.4"
"06/21/2022 01:00:18","N","869.79999542","2129.97089362","354.1"
"06/21/2022 01:15:13","N","867.79999542","2126.6756674","352.5"
"06/21/2022 01:30:14","N","871.79999542","2131.71820044","355.7"
"06/21/2022 01:45:13","N","868.79999542","2129.58698713","354"
"06/21/2022 02:00:18","N","868.79999542","2128.93841421","399.6"
"06/21/2022 02:15:13","N","868.79999542","2129.25700032","400.2"
"06/21/2022 02:30:14","N","869.79999542","2130.16716134","400.3"
"06/21/2022 02:45:13","N","870.79999542","2130.99317336","399.9"
"06/21/2022 03:00:18","N","872.79999542","2133.01870739","372.3"
"06/21/2022 03:15:14","N","871.79999542","2131.94201338","369.6"
"06/21/2022 03:30:14","N","872.79999542","2133.02638626","371.5"
"06/21/2022 03:45:14","N","869.79999542","2129.93832051","369.4"
"06/21/2022 04:00:19","N","871.79999542","2131.57636022","357.3"
"06/21/2022 04:15:15","N","870.79999542","2131.15984034","355.6"
"06/21/2022 04:30:14","N","873.79999542","2132.19373333","360.3"
"06/21/2022 04:45:10","N","876.79999542","2137.30833446","362.5"
"06/21/2022 05:00:13","N","875.79999542","2066.77541673","361.7"
"06/21/2022 05:15:11","N","875.79999542","2066.70992398","361.2"
"06/21/2022 05:30:11","N","872.79999542","2063.68777632","358.2"
"06/21/2022 05:45:11","N","871.79999542","2064.15610909","358.1"
"06/21/2022 06:00:15","N","874.79999542","2065.71390998","361"
"06/21/2022 06:15:11","N","873.79999542","2064.68704283","360.5"
"06/21/2022 06:30:11","N","874.79999542","2065.4047358","359.5"
"06/21/2022 06:45:10","N","875.79999542","2066.65824317","361.8"
"06/21/2022 07:00:13","N","873.79999542","2064.7292695","359"
"06/21/2022 07:15:10","N","874.79999542","2065.43284225","360.3"
"06/21/2022 07:30:11","N","870.79999542","2062.01005709","356.4"
"06/21/2022 07:45:10","N","873.79999542","2064.29709684","359.4"
"06/21/2022 08:00:15","N","870.79999542","2061.34143042","372.3"
"06/21/2022 08:15:10","N","870.79999542","2067.30461645","373.4"
"06/21/2022 08:30:10","N","869.79999542","2069.66667056","371.9"
