"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"06/24/2022 00:00:19","N","2261.80004882","3321.74267625","2642.4"
"06/24/2022 00:15:16","N","2261.80004882","3319.8242011","2677"
"06/24/2022 00:30:14","N","2260.80004882","3323.30193281","2676.1"
"06/24/2022 00:45:13","N","2261.80004882","3323.84995126","2676.5"
"06/24/2022 01:00:19","N","2261.80004882","3472.45008707","2676.4"
"06/24/2022 01:15:13","N","2261.80004882","3473.38390398","2683.9"
"06/24/2022 01:30:13","N","2262.80004882","3474.06379938","2685"
"06/24/2022 01:45:13","N","2261.80004882","3475.50900888","2683.3"
"06/24/2022 02:00:20","N","2262.80004882","3516.97213697","2730.9"
"06/24/2022 02:15:14","N","2260.80004882","3518.36402845","2729.6"
"06/24/2022 02:30:12","N","2262.80004882","3520.75767183","2730.5"
"06/24/2022 02:45:13","N","2262.80004882","3520.64530992","2730.5"
"06/24/2022 03:00:18","N","2262.80004882","3517.39708852","2712.5"
"06/24/2022 03:15:13","N","2262.80004882","3520.46549558","2712.4"
"06/24/2022 03:30:13","N","2261.80004882","3520.79092931","2712.1"
"06/24/2022 03:45:15","N","2262.80004882","3520.01482057","2712.7"
"06/24/2022 04:00:21","N","2263.80004882","3530.2676053","2735.1"
"06/24/2022 04:15:15","N","2262.80004882","3528.83431816","2735.6"
"06/24/2022 04:30:15","N","2262.80004882","3529.72717523","2734.5"
"06/24/2022 04:45:14","N","2263.80004882","3530.90637826","2735.7"
"06/24/2022 05:00:17","N","2261.80004882","3519.58220911","2698.3"
"06/24/2022 05:15:13","N","2262.80004882","3519.59449625","2699.1"
"06/24/2022 05:30:13","N","2260.80004882","3518.27397918","2698.1"
"06/24/2022 05:45:13","N","2263.80004882","3522.25189447","2699.6"
"06/24/2022 06:00:17","N","2261.80004882","3538.20598363","2687.6"
"06/24/2022 06:15:14","N","2264.80004882","3542.19935369","2699.4"
"06/24/2022 06:30:13","N","2264.80004882","3538.00248479","2699.3"
"06/24/2022 06:45:13","N","2262.80004882","3538.54694223","2698.4"
"06/24/2022 07:00:17","N","2262.80004882","3461.22827482","2660.8"
"06/24/2022 07:15:13","N","2262.80004882","3463.4990468","2661.5"
"06/24/2022 07:30:14","N","2262.80004882","3452.52820158","2661"
"06/24/2022 07:45:13","N","2265.80004882","3453.79767084","2663.8"
"06/24/2022 08:00:18","N","2135.80004882","3383.34749364","2676"
"06/24/2022 08:15:12","N","2139.80004882","3385.62178659","2755.3"
"06/24/2022 08:30:14","N","2140.80004882","3385.81364297","2755.4"
"06/24/2022 08:45:13","N","2140.80004882","3385.40920114","2756.1"
"06/24/2022 09:00:17","N","2137.80004882","3346.54259729","2781.5"
"06/24/2022 09:15:14","N","2141.80004882","3348.48318433","2785.1"
"06/24/2022 09:30:15","N","2137.80004882","3354.38047385","2783.6"
