"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"07/05/2022 00:00:19","N","811.89999389","2368.18999958","801.6"
"07/05/2022 00:15:15","N","811.89999389","2369.42000007","802.5"
"07/05/2022 00:30:15","N","811.89999389","2368.43999958","802.3"
"07/05/2022 00:45:15","N","811.89999389","2368.30000019","802.2"
"07/05/2022 01:00:19","N","813.7000122","2367.43001174","802.5"
"07/05/2022 01:15:14","N","813.7000122","2367.06001186","802.1"
"07/05/2022 01:30:14","N","813.7000122","2366.0200119","801.1"
"07/05/2022 01:45:14","N","813.7000122","2366.0200119","801.2"
"07/05/2022 02:00:19","N","817.5","2371.84998798","802.4"
"07/05/2022 02:15:14","N","817.5","2371.60998821","801.3"
"07/05/2022 02:30:14","N","817.5","2373.71998786","802.8"
"07/05/2022 02:45:14","N","817.5","2371.51998805","800.6"
"07/05/2022 03:00:19","N","819.5","2369.9700241","802.8"
"07/05/2022 03:15:13","N","819.5","2368.94002437","801.9"
"07/05/2022 03:30:13","N","819.5","2370.2000246","802.8"
"07/05/2022 03:45:15","N","819.5","2369.10002422","801"
"07/05/2022 04:00:19","N","823.6000061","2325.98997592","764.2"
"07/05/2022 04:15:15","N","823.6000061","2326.04997539","763.8"
"07/05/2022 04:30:15","N","823.6000061","2324.4799757","762.1"
"07/05/2022 04:45:14","N","823.6000061","2326.91997528","764.9"
"07/05/2022 05:00:17","N","827.79998779","2330.2499752","766.2"
"07/05/2022 05:15:13","N","827.79998779","2327.48997592","763.1"
"07/05/2022 05:30:11","N","827.79998779","2325.88997554","761.8"
"07/05/2022 05:45:10","N","827.79998779","2325.48997592","761.1"
"07/05/2022 06:00:14","N","829.89999389","2327.70998764","764.5"
"07/05/2022 06:15:11","N","829.89999389","2325.50998783","762.3"
"07/05/2022 06:30:10","N","829.89999389","2326.23998737","762.9"
"07/05/2022 06:45:11","N","829.89999389","2324.27998733","761.3"
"07/05/2022 07:00:15","N","829.89999389","2326.83001232","761.4"
"07/05/2022 07:15:10","N","829.89999389","2326.09001255","760.3"
"07/05/2022 07:30:11","N","829.89999389","2323.96001243","759"
"07/05/2022 07:45:10","N","829.89999389","2324.3500123","758.8"
"07/05/2022 08:00:14","N","823.6000061","2350.909976","759.1"
"07/05/2022 08:15:11","N","823.6000061","2351.31997585","759.6"
"07/05/2022 08:30:10","N","823.6000061","2353.50997543","761.6"
"07/05/2022 08:45:12","N","823.6000061","2352.38997554","760.5"
"07/05/2022 09:00:17","N","817.5","2349.9999752","765.6"
"07/05/2022 09:15:13","N","817.5","2352.07997512","774.1"
"07/05/2022 09:30:14","N","692.5","2007.28997516","775.8"
"07/05/2022 09:45:13","N","692.5","2010.38997554","784.9"
"07/05/2022 10:00:17","N","685.2000122","2005.82997512","795"
"07/05/2022 10:15:14","N","685.2000122","2007.95997524","800.4"
"07/05/2022 10:30:12","N","685.2000122","2005.9799757","804.2"
"07/05/2022 10:45:12","N","685.2000122","2003.94997596","807.2"
"07/05/2022 11:00:17","N","681.1000061","2002.80000019","800.1"
"07/05/2022 11:15:14","N","681.1000061","2002.76000022","799.6"
"07/05/2022 11:30:13","N","681.1000061","2001.75","798.6"
"07/05/2022 11:45:13","N","681.1000061","2001.30999994","798"
"07/05/2022 12:00:18","N","644.6000061","1957.12002468","798"
"07/05/2022 12:15:13","N","644.6000061","1948.54002428","795"
"07/05/2022 12:30:14","N","644.6000061","1949.31002426","795.9"
"07/05/2022 12:45:13","N","644.6000061","1947.88002443","794.5"
"07/05/2022 13:00:18","N","644.1000061","1948.77002429","796.6"
"07/05/2022 13:15:14","N","644.1000061","1945.87002444","793.9"
"07/05/2022 13:30:15","N","644.1000061","1945.50002431","793.3"
"07/05/2022 13:45:12","N","644.1000061","1945.68002438","793.5"
"07/05/2022 14:00:17","N","644.79998779","1946.2000122","796.9"
"07/05/2022 14:15:12","N","644.79998779","1947.29001235","797.7"
"07/05/2022 14:30:13","N","644.79998779","1943.41001224","794.2"
"07/05/2022 14:45:12","N","644.79998779","1944.04001212","794.7"
