"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"07/06/2022 00:00:19","N","57058.16419","-373.9","57432.06419"
"07/06/2022 00:15:15","N","56286.86925","-319.1","56605.96925"
"07/06/2022 00:30:14","N","55125.98822","-318","55443.98822"
"07/06/2022 00:45:14","N","54377.99741","-318.2","54696.19741"
"07/06/2022 01:00:18","N","53665.75448","-317.9","53983.65448"
"07/06/2022 01:15:14","N","53097.1506","-227.8","53324.9506"
"07/06/2022 01:30:13","N","52320.09867","-217.7","52537.79867"
"07/06/2022 01:45:12","N","51752.8869","-217.8","51970.6869"
"07/06/2022 02:00:19","N","51108.61494","-218.7","51327.31494"
"07/06/2022 02:15:14","N","50431.59112","-217.8","50649.39112"
"07/06/2022 02:30:13","N","50128.00354","-218.9","50346.90354"
"07/06/2022 02:45:12","N","49477.03539","-217.9","49694.93539"
"07/06/2022 03:00:18","N","49075.66298","-217.8","49293.46298"
"07/06/2022 03:15:10","N","48858.05195","-218.2","49076.25195"
"07/06/2022 03:30:10","N","48564.30307","-218.3","48782.60307"
"07/06/2022 03:45:11","N","48229.04","-217.3","48446.34"
"07/06/2022 04:00:16","N","47993.35856","-218.3","48211.65856"
"07/06/2022 04:15:11","N","48032.98082","-218.8","48251.78082"
"07/06/2022 04:30:10","N","48031.26426","-218.4","48249.66426"
"07/06/2022 04:45:10","N","47919.33047","-259","48178.33047"
"07/06/2022 05:00:13","N","47954.50851","-292.7","48247.20851"
"07/06/2022 05:15:10","N","48297.03453","-292","48589.03453"
"07/06/2022 05:30:11","N","48460.35076","-218.2","48678.55076"
"07/06/2022 05:45:10","N","48565.10271","-218.6","48783.70271"
"07/06/2022 06:00:14","N","48813.67168","-218.4","49032.07168"
"07/06/2022 06:15:10","N","49653.12295","-219.1","49872.22295"
"07/06/2022 06:30:10","N","49480.87249","-218.6","49699.47249"
"07/06/2022 06:45:10","N","49300.39614","-218.1","49518.49614"
"07/06/2022 07:00:14","N","49619.41866","-218.1","49837.51866"
"07/06/2022 07:15:10","N","49672.31707","-219.1","49891.41707"
"07/06/2022 07:30:11","N","50221.20789","-217.8","50439.00789"
"07/06/2022 07:45:10","N","50866.54629","-218.1","51084.64629"
"07/06/2022 08:00:14","N","51456.64729","-127.5","51584.14729"
"07/06/2022 08:15:10","N","52341.47962","-26.7","52368.17962"
"07/06/2022 08:30:10","N","53421.93089","-26.5","53448.43089"
"07/06/2022 08:45:10","N","54442.50272","-26.2","54468.70272"
"07/06/2022 09:00:15","N","55347.49696","-23.3","55370.79696"
"07/06/2022 09:15:12","N","56667.91775","24.8","56643.11775"
"07/06/2022 09:30:13","N","57556.36171","24.3","57532.06171"
"07/06/2022 09:45:14","N","58780.49792","23.9","58756.59792"
"07/06/2022 10:00:18","N","59688.25988","23.9","59664.35988"
"07/06/2022 10:15:13","N","60975.63056","23.5","60952.13056"
"07/06/2022 10:30:16","N","61878.58887","24.9","61853.68887"
"07/06/2022 10:45:14","N","63081.50689","24.1","63057.40689"
"07/06/2022 11:00:17","N","64078.77664","23.7","64055.07664"
"07/06/2022 11:15:12","N","64942.82176","23.7","64919.12176"
"07/06/2022 11:30:13","N","65708.26843","23.9","65684.36843"
"07/06/2022 11:45:13","N","66720.75855","23.7","66697.05855"
"07/06/2022 12:00:16","N","67567.10578","37.6","67529.50578"
"07/06/2022 12:15:12","N","68733.51288","101.7","68631.81288"
"07/06/2022 12:30:12","N","69631.74551","76.7","69555.04551"
"07/06/2022 12:45:13","N","70673.70159","42.4","70631.30159"
"07/06/2022 13:00:19","N","71500.95886","-23.4","71524.35886"
"07/06/2022 13:15:12","N","72261.00424","-73.4","72334.40424"
"07/06/2022 13:30:13","N","73074.14413","-53.1","73127.24413"
"07/06/2022 13:45:13","N","73754.57876","-26.5","73781.07876"
"07/06/2022 14:00:16","N","74254.139","-116.8","74370.939"
"07/06/2022 14:15:13","N","74799.58468","-218.8","75018.38468"
"07/06/2022 14:30:13","N","75305.663","-219.1","75524.763"
"07/06/2022 14:45:13","N","75723.30941","-219","75942.30941"
"07/06/2022 15:00:16","N","76012.91801","-219.1","76232.01801"
"07/06/2022 15:15:13","N","76351.38269","-218.9","76570.28269"
"07/06/2022 15:30:15","N","76547.25432","-219.9","76767.15432"
"07/06/2022 15:45:13","N","76770.38262","-219","76989.38262"
"07/06/2022 16:00:18","N","76617.40987","-219.1","76836.50987"
"07/06/2022 16:15:16","N","76790.29522","-220.1","77010.39522"
"07/06/2022 16:30:15","N","77027.64171","-219","77246.64171"
"07/06/2022 16:45:15","N","76814.4342","-219","77033.4342"
"07/06/2022 17:00:21","N","76789.86199","-220.1","77009.96199"
"07/06/2022 17:15:15","N","76539.30477","-219","76758.30477"
"07/06/2022 17:30:15","N","76610.11546","-220","76830.11546"
