"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"07/28/2022 00:00:21","N","2456.2000122","3731.57475531","3150.48400003"
"07/28/2022 00:15:16","N","2454.2000122","3729.06852972","3190.06800007"
"07/28/2022 00:30:15","N","2456.2000122","3731.90379583","3194.292"
"07/28/2022 00:45:17","N","2454.2000122","3729.39750921","3191.9300002"
"07/28/2022 01:00:21","N","2456.2000122","3753.80876505","3193.66200039"
"07/28/2022 01:15:16","N","2454.2000122","3752.0112797","3229.18800015"
"07/28/2022 01:30:16","N","2454.2000122","3751.75822794","3228.7380002"
"07/28/2022 01:45:16","N","2453.2000122","3751.41630899","3227.1050002"
"07/28/2022 02:00:22","N","2453.2000122","3800.0485264","3246.45500035"
"07/28/2022 02:15:16","N","2450.2000122","3698.03570902","3257.5"
"07/28/2022 02:30:16","N","2450.2000122","3698.18756449","3258.2"
"07/28/2022 02:45:17","N","2449.2000122","3697.08630716","3257.3"
"07/28/2022 03:00:22","N","2450.2000122","3648.2357136","3222.2"
"07/28/2022 03:15:15","N","2450.2000122","3649.07097971","3211.1"
"07/28/2022 03:30:14","N","2450.2000122","3649.52660715","3210.6"
"07/28/2022 03:45:15","N","2451.2000122","3650.37469065","3212.1"
"07/28/2022 04:00:22","N","2450.2000122","3547.17511427","3120.3"
"07/28/2022 04:15:15","N","2448.2000122","3544.59289991","3118.3"
"07/28/2022 04:30:16","N","2448.2000122","3544.51691114","3117.2"
"07/28/2022 04:45:15","N","2448.2000122","3544.79535353","3116.8"
"07/28/2022 05:00:21","N","2448.2000122","3575.07128012","3117.5"
"07/28/2022 05:15:15","N","2448.2000122","3574.8688265","3147.5"
"07/28/2022 05:30:14","N","2448.2000122","3575.83067953","3148.4"
"07/28/2022 05:45:16","N","2447.2000122","3574.88133871","3146.5"
"07/28/2022 06:00:22","N","2449.2000122","3676.7547518","3142.2"
"07/28/2022 06:15:15","N","2449.2000122","3676.93193686","3171.8"
"07/28/2022 06:30:15","N","2449.2000122","3677.43816244","3203.9"
"07/28/2022 06:45:15","N","2479.2000122","3676.7547518","3232.9"
"07/28/2022 07:00:19","N","2478.2000122","3776.67882406","3244.1"
"07/28/2022 07:15:14","N","2478.2000122","3777.8431307","3273.4"
"07/28/2022 07:30:14","N","2480.2000122","3779.64067709","3305"
"07/28/2022 07:45:15","N","2481.2000122","3785.33696615","3336.5"
"07/28/2022 08:00:21","N","2481.2000122","3784.62037718","3317.5"
"07/28/2022 08:15:14","N","2480.2000122","3782.60792601","3315.9"
"07/28/2022 08:30:15","N","2480.2000122","3782.81037962","3316.66999999"
"07/28/2022 08:45:16","N","2479.2000122","3881.61289274","3331.07000007"
"07/28/2022 09:00:19","N","2479.2000122","3873.47918474","3342.76999969"
"07/28/2022 09:15:14","N","2478.2000122","3872.67667162","3335.4"
"07/28/2022 09:30:15","N","2597.2000122","4212.59319841","3384.9434494"
"07/28/2022 09:45:16","N","2597.2000122","4212.28948748","3395.71925888"
"07/28/2022 10:00:21","N","2475.2000122","3909.99829065","3345.19999997"
"07/28/2022 10:15:14","N","2476.2000122","3911.11212122","3375.4"
"07/28/2022 10:30:16","N","2475.2000122","3910.68182337","3384.7"
"07/28/2022 10:45:16","N","2476.2000122","3908.61840784","3384.8"
"07/28/2022 11:00:18","N","2474.2000122","3910.0108639","3405.6"
"07/28/2022 11:15:15","N","2474.2000122","4004.65643274","3405.11999999"
"07/28/2022 11:30:15","N","2474.2000122","4004.58050501","3474.47999572"
"07/28/2022 11:45:16","N","2474.2000122","4004.66146051","3407.1"
"07/28/2022 12:00:18","N","2472.2000122","4000.04894983","3402.2"
"07/28/2022 12:15:16","N","2474.2000122","4051.39583551","3407.20999994"
"07/28/2022 12:30:17","N","2474.2000122","4102.78301966","3409.0290001"
"07/28/2022 12:45:17","N","2476.2000122","4085.34014856","3402.9"
"07/28/2022 13:00:21","N","2478.2000122","4086.59332239","3406.3"
"07/28/2022 13:15:16","N","2478.2000122","4086.1629635","3404.8"
"07/28/2022 13:30:16","N","2478.2000122","4078.13260614","3406.8699999"
"07/28/2022 13:45:17","N","2476.2000122","4069.94644129","3403"
"07/28/2022 14:00:22","N","2478.2000122","4114.15794336","3401"
"07/28/2022 14:15:17","N","2476.2000122","4111.7529751","3428.6"
"07/28/2022 14:30:18","N","2478.2000122","4110.32638514","3429.3"
"07/28/2022 14:45:19","N","2478.2000122","4125.25542414","3430.1"
"07/28/2022 15:00:23","N","2478.2000122","4126.82512629","3433.1"
"07/28/2022 15:15:21","N","2476.2000122","4045.39099085","3431.3"
"07/28/2022 15:30:18","N","2474.2000122","4124.91757929","3431.7"
"07/28/2022 15:45:17","N","2474.2000122","4125.4491955","3432.5"
"07/28/2022 16:00:27","N","2474.2000122","3945.61883509","3429.3"
"07/28/2022 16:15:19","N","2474.2000122","3945.56829798","3430.1"
"07/28/2022 16:30:20","N","2474.2000122","3945.13787806","3429.9"
"07/28/2022 16:45:18","N","2474.2000122","3945.79602015","3430.7"
"07/28/2022 17:00:23","N","2476.2000122","3948.88476526","3434.6"
