"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"08/02/2022 00:00:21","N","1036.37583152","1586.91702435","554.22144554","12937.64538633","12937.64538633","20",".06054449","164.14999866","0","13975.33154"
"08/02/2022 00:15:17","N","1072.84748403","1602.03363535","605.49427269","12996.11520826","12995.63327848","20","0","142.14999866","0","14071.23521"
"08/02/2022 00:30:15","N","1035.79789487","1604.56940386","588.41016625","13137.25837373","13136.76900339","20","2","142.14999866","0","14144.21827"
"08/02/2022 00:45:16","N","1035.2490615","1604.19174359","588.30246971","13323.06666266","13323.06666266","20","2","142.14999866","0","14332.54273"
"08/02/2022 01:00:21","N","1035.08936302","1639.0487549","576.74936913","13212.50714218","13212.45387375","20","0","137.94999885","0","14247.58049"
"08/02/2022 01:15:16","N","1035.38705675","1639.78738949","576.70069359","13272.40413403","13272.40413403","20","0","137.94999885","0","14300.27652"
"08/02/2022 01:30:16","N","1034.53688423","1638.3554909","576.29807518","13442.94238686","13442.94238686","20","0","137.94999885","0","14462.50872"
"08/02/2022 01:45:17","N","1026.067367","1638.31685898","576.03043602","13439.71267294","13439.71267294","20","0","137.94999885","0","14467.56951"
"08/02/2022 02:00:21","N","831.2901272","1626.04926035","583.59772728","13556.38500571","13556.38500571","0","1.60000002","144.34999847","0","14463.99489"
"08/02/2022 02:15:17","N","843.728784","1624.82772372","583.81235741","13640.06911993","13639.83387708","0","1.60000002","144.34999847","0","14464.87843"
"08/02/2022 02:30:15","N","981.40315906","1626.06846783","584.29593895","13836.44939041","13836.44939041","0","1.60000002","144.34999847","0","14754.77666"
"08/02/2022 02:45:16","N","1018.10655157","1627.05019686","585.36854027","13805.11115944","13804.86837685","0","1.60000002","144.34999847","0","14829.20917"
"08/02/2022 03:00:19","N","990.71354715","1632.57580015","584.67350243","13840.6527723","13840.15737092","0","0","137.94999885","0","14820.32596"
"08/02/2022 03:15:15","N","961.30184452","1627.46480343","585.52985619","13859.69607686","13859.69607686","0","0","137.94999885","0","14823.44677"
"08/02/2022 03:30:16","N","899.84286729","1627.91203806","585.78644798","13858.74636173","13858.74636173","0","0","137.94999885","0","14804.53942"
"08/02/2022 03:45:16","N","949.78202764","1628.40912077","586.04148338","13793.07098376","13793.07098376","0","0","137.94999885","0","14751.66681"
"08/02/2022 04:00:22","N","921.36774913","1628.40983555","586.20551537","13762.71145629","13762.64305114","0","0","137.94999885","0","14656.94561"
"08/02/2022 04:15:16","N","934.5114464","1628.28098032","586.8673806","13812.72442162","13812.60125267","0","0","137.94999885","0","14706.56179"
"08/02/2022 04:30:19","N","943.61279909","1627.67359278","586.76029442","13900.3681029","13900.3681029","0","0","137.94999885","0","14804.80426"
"08/02/2022 04:45:15","N","942.21225206","1626.6307728","586.1948037","13982.86923038","13982.86620151","0","0","137.94999885","0","14928.50266"
"08/02/2022 05:00:21","N","1014.91552106","1638.37378666","586.71213768","13690.73166418","13690.73166418","0","0","137.94999885","0","14712.71768"
"08/02/2022 05:15:15","N","1048.09143774","1716.5002949","599.03748558","13416.41685998","13416.41685998","0","0","137.94999885","0","14453.03262"
"08/02/2022 05:30:15","N","1035.78414527","1708.75453732","599.08210228","13431.13495051","13431.13495051","0","0","137.94999885","0","14462.61415"
"08/02/2022 05:45:15","N","1039.23521654","1708.49917815","599.1118264","13561.53728997","13561.46333062","0","0","137.94999885","0","14610.11555"
"08/02/2022 06:00:23","N","1095.05177776","1839.25784752","605.59360741","13565.71027767","13565.71028149","1.79999995","0","129.34999895","0","14686.24426"
"08/02/2022 06:15:15","N","1105.95695249","1852.03486368","666.56016014","13500.43159615","13500.43159615","1.79999995","0","129.34999895","0","14624.75946"
"08/02/2022 06:30:15","N","1174.77587358","1975.9012625","756.43061302","13408.52051138","13413.56249976","1.79999995","0","129.34999895","0","14574.00064"
"08/02/2022 06:45:14","N","1199.35111991","1973.58223698","756.18732689","13299.07155716","13325.87115585","1.79999995","0","129.34999895","0","14491.37693"
"08/02/2022 07:00:22","N","1240.79374891","2022.50775802","759.64164208","13272.32151067","13296.65536916","0","0","139.79999923","0","14517.12032"
"08/02/2022 07:15:15","N","1274.4896988","2068.23910884","765.12799719","13084.06816458","13097.63831496","0","0","142.54999923","0","14367.52444"
"08/02/2022 07:30:15","N","1468.51262482","2256.35280784","766.82499168","12842.57450282","12851.19904506","0","0","142.54999923","0","14318.49225"
"08/02/2022 07:45:16","N","2023.73600398","2808.40785204","765.98462914","12424.42359018","12424.42359018","0","0","145.29999923","0","14436.33818"
"08/02/2022 08:00:20","N","2370.54623858","3077.24234621","732.22843895","11986.15325784","11990.05230569","0","0","174.24999999","0","14351.83677"
"08/02/2022 08:15:16","N","3113.96811684","3959.3112429","457.41999291","11903.39924955","11920.1255145","0","0","176.99999999","0","15038.60094"
"08/02/2022 08:30:15","N","3711.34112107","4715.55250274","457.88628624","12222.76574933","12240.75199735","0","0","179.74999999","0","16022.66872"
"08/02/2022 08:45:15","N","4303.01645031","5324.17054706","457.2408242","12617.44023454","12638.22520959","0","0","176.99999999","0","16921.03774"
"08/02/2022 09:00:20","N","4417.60060122","5995.79684513","457.00686119","12904.12322068","13097.90423798","0","1.0013113","150.14999866","0","17569.42212"
"08/02/2022 09:15:16","N","4466.38294982","6166.3160343","457.10921715","13164.82701098","13407.26243388","0","1.00109767","170.14999866","0","17772.64522"
"08/02/2022 09:30:17","N","4410.51254288","6174.28641829","457.07355736","13463.89884746","13685.68024432","0","0","150.14999866","0","17867.79492"
"08/02/2022 09:45:17","N","4235.08186649","6704.12070092","456.99692772","13730.06317913","13959.96760189","0",".58120077","150.14999866","0","18119.90048"
"08/02/2022 10:00:22","N","4420.4245994","7342.24071223","456.92956944","13519.96683025","13751.50814855","0",".58119153","143.49999856","0","18186.97196"
"08/02/2022 10:15:17","N","4763.65782641","7418.23834502","456.81477977","13401.33426922","13624.56673991","0","6.4811989","148.99999856","0","18069.03126"
"08/02/2022 10:30:16","N","5202.02828963","7450.96898858","456.68679125","13165.85422337","13370.48280727","0","0","148.99999856","0","18241.74691"
"08/02/2022 10:45:17","N","5592.73973132","7524.65940304","456.61329564","12877.8366059","12969.45995032","0",".64149999","166.24999856","0","17954.34416"
"08/02/2022 11:00:23","N","6213.10270815","7093.64679818","456.66715221","12418.37959909","12486.17106676","0","4.75565195","157.59999895","0","18492.677"
"08/02/2022 11:15:17","N","6397.67119873","7269.38971389","562.05483567","12301.45999181","12372.45688855","0","4.57833194","157.59999895","0","18705.47528"
"08/02/2022 11:30:18","N","6443.81876239","7340.74524911","599.09473975","11731.43595159","11805.38853108","0","2.88337206","157.59999895","0","18225.59521"
"08/02/2022 11:45:17","N","6761.10454064","7662.05576092","660.49204568","11445.48003339","11528.06460905","0","10.11957198","157.59999895","0","18068.96071"
"08/02/2022 12:00:29","N","6909.12531085","7736.23853274","660.43855185","11195.50244653","11305.26236188","0","3.61991512","223.65999937","0","18128.3739"
"08/02/2022 12:15:19","N","6967.52305101","7732.54850053","699.95949791","10942.58942997","10989.94640171","0","2.06299591","179.63899946","0","17880.55655"
"08/02/2022 12:30:19","N","7157.76420244","7729.20540055","745.09456785","10709.16435396","10764.64218008","0","1.75799","179.7449994","0","17865.33145"
"08/02/2022 12:45:20","N","7452.98100446","8054.21457623","968.37372826","10525.17514848","10525.17514848","0","0","179.80299901","0","17951.7597"
"08/02/2022 13:00:28","N","7598.61609705","8282.53719551","980.08991844","10349.00946688","10373.38808131","0","0","245.60399961","0","17960.56545"
"08/02/2022 13:15:20","N","7528.87680911","8247.77182268","1041.35682152","10334.8479284","10334.8479284","0","5.63359689","295.56699895","0","17752.76114"
"08/02/2022 13:30:18","N","7452.46317504","8179.0078926","1042.37552879","10170.28481107","10170.28481107","0","0","295.56199979","0","17631.00721"
"08/02/2022 13:45:19","N","7709.81312874","8260.06538199","1043.70032738","9876.01627767","9875.97214162","0","54.8219304","245.71199941","0","17494.08278"
"08/02/2022 14:00:24","N","7441.92421149","8331.00951647","1099.07081078","10073.31021177","10073.31021177","0","0","163.99999809","0","17635.39092"
"08/02/2022 14:15:17","N","7371.13820743","8456.07551454","1099.30396507","10066.37495762","10065.95326286","0","3.2125976","161.24999809","0","17455.84195"
"08/02/2022 14:30:20","N","7371.60914516","8410.80028986","1095.77265404","9956.87705576","9956.22031748","0","3.05877542","158.49999809","0","17375.09768"
"08/02/2022 14:45:20","N","7451.40615152","8445.54590272","1096.01417015","9690.90015745","9690.10625982","0",".09999942","161.24999809","0","17159.17184"
"08/02/2022 15:00:23","N","7441.77304649","8397.86398576","1095.75004051","9252.35915207","9252.35915207","0",".09999942","172.64999866","0","16537.15914"
"08/02/2022 15:15:18","N","7474.06682538","8370.84973167","1108.13773583","8965.14886993","8965.14886993","0",".5293886","169.89999866","0","16245.0996"
"08/02/2022 15:30:19","N","7517.65972256","8345.52414893","1147.35996483","8768.57074207","8768.57074207","0",".09999942","172.64999866","0","16217.00153"
"08/02/2022 15:45:22","N","7590.82699631","8318.46763252","1108.46274803","8684.2875024","8684.27775681","0",".5406315","172.64999866","0","16033.79858"
"08/02/2022 16:00:26","N","7563.56073689","8331.60295581","1179.29621361","8720.16472417","8719.48280888","0",".09999942","160.9499979","0","16281.45056"
"08/02/2022 16:15:22","N","7611.74123967","8325.31093453","1130.22925804","8310.54778373","8310.54778373","0","1.1625024","158.1999979","0","15859.90746"
"08/02/2022 16:30:27","N","7572.33607387","8373.23181795","1174.72184227","8313.23404133","8313.23404133","0",".09999942","155.4499979","0","15863.59033"
