"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"08/22/2022 00:00:20","N","1364","2743.40000915","948.2"
"08/22/2022 00:15:19","N","1364","2743.40000915","948.6"
"08/22/2022 00:30:17","N","1362","2741.40000915","948.2"
"08/22/2022 00:45:15","N","1367","2746.40000915","950.2"
"08/22/2022 01:00:22","N","1364","2743.40000915","948.6"
"08/22/2022 01:15:15","N","1364","2743.40000915","948.3"
"08/22/2022 01:30:15","N","1362","2741.40000915","946.8"
"08/22/2022 01:45:15","N","1366","2745.40000915","947.8"
"08/22/2022 02:00:20","N","1368","2757.30000877","951.7"
"08/22/2022 02:15:18","N","1368","2756.30000877","949.5"
"08/22/2022 02:30:15","N","1367","2756.30000877","948.8"
"08/22/2022 02:45:16","N","1369","2757.83296876","951.1"
"08/22/2022 03:00:20","N","1372","2761.99999046","954.9"
"08/22/2022 03:15:16","N","1372","2761.99999046","952.1"
"08/22/2022 03:30:16","N","1370","2760.01235045","952.5"
"08/22/2022 03:45:18","N","1375","2764.99999046","957.8"
"08/22/2022 04:00:22","N","1378","2758.5861507","963.6"
"08/22/2022 04:15:16","N","1378","2758.09999084","962.1"
"08/22/2022 04:30:18","N","1378","2757.09999084","962"
"08/22/2022 04:45:19","N","1380","2760.42547073","965.4"
"08/22/2022 05:00:25","N","1380","2761.40299539","964.3"
"08/22/2022 05:15:15","N","1373.91500002","2755.21499544","957.71500002"
"08/22/2022 05:30:16","N","1378.79500007","2760.27215544","962.69500007"
"08/22/2022 05:45:16","N","1372","2753.29999542","956"
"08/22/2022 06:00:20","N","1372","2763.19999504","955.3"
"08/22/2022 06:15:16","N","1372","2783.19999504","953.9"
"08/22/2022 06:30:15","N","1370","2781.26179502","953"
"08/22/2022 06:45:17","N","1368","2779.19999504","952.2"
"08/22/2022 07:00:20","N","1372","2828.57999229","955"
"08/22/2022 07:15:15","N","1360","2816.80659222","942.812"
"08/22/2022 07:30:17","N","1359","2809.57999229","940.32100002"
"08/22/2022 07:45:16","N","1373","2829.57999229","959.21900005"
"08/22/2022 08:00:21","N","1372","2768.43000793","954.3"
"08/22/2022 08:15:16","N","1372","2768.43000793","956.2"
"08/22/2022 08:30:17","N","1367","2763.43000793","953.3"
"08/22/2022 08:45:17","N","1368","2764.43000793","951.8"
"08/22/2022 09:00:21","N","1385","2778.62364788","967.8"
"08/22/2022 09:15:17","N","1400","2793.43000793","983.9"
"08/22/2022 09:30:19","N","1404","2797.43000793","986.9"
"08/22/2022 09:45:16","N","1405","2798.69643452","988.1"
"08/22/2022 10:00:20","N","1405","2797.79999542","988.8"
"08/22/2022 10:15:15","N","1404","2796.79999542","986.4"
"08/22/2022 10:30:15","N","1394","2786.81647541","978.9"
"08/22/2022 10:45:15","N","1387","2779.79999542","970.6"
"08/22/2022 11:00:20","N","1386","2777.10162663","970.9"
"08/22/2022 11:15:15","N","1391","2782","974.2"
"08/22/2022 11:30:15","N","1392","2783.09338664","977.8"
"08/22/2022 11:45:15","N","1394","2785.91738641","977.7"
"08/22/2022 12:00:21","N","1393","2782.79999542","1023.7"
"08/22/2022 12:15:15","N","1394","2783.87690206","1025.5"
"08/22/2022 12:30:16","N","1394","2783.79999542","1026.8"
"08/22/2022 12:45:15","N","1400","2789.79999542","1030.3"
"08/22/2022 13:00:21","N","1423","2811.59999084","1023"
"08/22/2022 13:15:15","N","1432","2820.86229744","1032.9"
"08/22/2022 13:30:11","N","1425","2813.59999084","1024.3"
"08/22/2022 13:45:11","N","1421","2809.73869746","1022.8"
"08/22/2022 14:00:20","N","1414","2801.40000915","997.8"
"08/22/2022 14:15:17","N","1416","2803.40000915","997.1"
"08/22/2022 14:30:16","N","1415","2802.40000915","998.6"
"08/22/2022 14:45:16","N","1406","2793.81338235","990.6"
"08/22/2022 15:00:21","N","1402","2837.36262092","987"
"08/22/2022 15:15:15","N","1401","2836.8789941","986.5"
"08/22/2022 15:30:15","N","1403","2838.85427409","988.2"
"08/22/2022 15:45:16","N","1399","2834.42716757","984.5"
"08/22/2022 16:00:24","N","1400","2836.56946928","982.6"
"08/22/2022 16:15:17","N","1410","2846.59830927","997.5"
"08/22/2022 16:30:17","N","1413","2849.55985595","996.1"
"08/22/2022 16:45:17","N","1414","2850.65461592","998.1"
"08/22/2022 17:00:22","N","1409","2846.64999389","994.4"
"08/22/2022 17:15:15","N","1412","2849.96036714","998"
"08/22/2022 17:30:16","N","1416","2854.10594043","1000.4"
"08/22/2022 17:45:16","N","1413","2851.00706046","997.8"
"08/22/2022 18:00:25","N","1412","2803.21835993","995.6"
"08/22/2022 18:15:17","N","1411","2802.16617327","993.5"
"08/22/2022 18:30:19","N","1409","2800.38865321","993.5"
"08/22/2022 18:45:16","N","1402","2793.73061311","987.2"
"08/22/2022 19:00:20","N","1400","2841.34902036","993"
"08/22/2022 19:15:15","N","1401","2841.97135379","993.2"
"08/22/2022 19:30:16","N","1405","2847.03727379","999.3"
"08/22/2022 19:45:17","N","1414","2855.11280709","1007.5"
"08/22/2022 20:00:20","N","1427","2870.43865627","1011"
"08/22/2022 20:15:19","N","1432","2855.53616291","1017.7"
"08/22/2022 20:30:16","N","1437","2860.80945616","1021.8"
