"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"08/24/2022 00:00:39","N","4595","8836.42816919","4085.8"
"08/24/2022 00:15:11","N","4588","8844.02223537","4152"
"08/24/2022 00:30:11","N","4591","8838.87961721","4149.5"
"08/24/2022 00:45:10","N","4590","8833.52996104","4146.7"
"08/24/2022 01:00:14","N","4586","8875.35528796","4128"
"08/24/2022 01:15:10","N","4591","8880.76415743","4159.3"
"08/24/2022 01:30:12","N","4587","8882.66665798","4160.1"
"08/24/2022 01:45:10","N","4583.99600005","8882.440337","4158.99600005"
"08/24/2022 02:00:14","N","4586","8895.7212966","4119.4"
"08/24/2022 02:15:10","N","4587","8896.75146359","4110.6"
"08/24/2022 02:30:11","N","4583","8886.12296921","4104.6"
"08/24/2022 02:45:09","N","4588","8891.35820794","4108.8"
"08/24/2022 03:00:14","N","4589","8768.38207703","4089.2"
"08/24/2022 03:15:09","N","4587","8765.65335988","4087.8"
"08/24/2022 03:30:11","N","4589","8782.01137444","4087.5"
"08/24/2022 03:45:11","N","4590","8785.41778898","4101.4"
"08/24/2022 04:00:13","N","4592","8783.74357256","4095.7"
"08/24/2022 04:15:09","N","4587","8779.3236888","4091.3"
"08/24/2022 04:30:11","N","4584","8773.44982117","4086.6"
"08/24/2022 04:45:11","N","4585","8865.77086085","4088.4"
"08/24/2022 05:00:14","N","4587","9143.30775153","4092"
"08/24/2022 05:15:10","N","4582","9133.98877614","4113.3"
"08/24/2022 05:30:15","N","4584","9128.75164023","4141.9"
"08/24/2022 05:45:15","N","4432","8888.29005706","4142.8"
"08/24/2022 06:00:19","N","4850.1000061","9719.76322317","4841.9"
"08/24/2022 06:15:15","N","4849.1000061","9732.45902055","4872.3"
"08/24/2022 06:30:13","N","4847.1000061","9729.51230126","4900.9"
"08/24/2022 06:45:14","N","4849.1000061","9728.77769851","4930.1"
"08/24/2022 07:00:23","N","4917.1000061","9839.16468602","4971.85320692"
"08/24/2022 07:15:16","N","4987.1000061","10014.83379846","5021.69596443"
"08/24/2022 07:30:16","N","4848.1000061","9673.61395293","5006.30076293"
"08/24/2022 07:45:15","N","4855.1000061","9681.47289144","5043.37176265"
"08/24/2022 08:00:20","N","4613.89999389","8742.84346437","5073.47246932"
"08/24/2022 08:15:14","N","4610.89999389","8737.79478471","5067.95860671"
"08/24/2022 08:30:15","N","4615.89999389","8735.03686887","5069.27749519"
"08/24/2022 08:45:15","N","4616.89999389","8739.6598156","5066.30997829"
"08/24/2022 09:00:19","N","4616.7000122","8788.53746805","5075.70447368"
"08/24/2022 09:15:16","N","4616.7000122","8790.3199504","5073.57296352"
"08/24/2022 09:30:15","N","4675.7000122","8955.79534983","5100.63834209"
"08/24/2022 09:45:16","N","4729.7000122","9116.45762676","5119.27712211"
"08/24/2022 10:00:19","N","4599.5","8727.26436215","5060.28349895"
"08/24/2022 10:15:15","N","4601.5","8735.64408093","5115.4048892"
"08/24/2022 10:30:16","N","4603.5","8738.95639067","5064.31301393"
"08/24/2022 10:45:12","N","4606.5","8744.17438024","5067.57659702"
"08/24/2022 11:00:16","N","4582.5","8872.94398868","5090.99795694"
"08/24/2022 11:15:11","N","4584.80100002","8911.20004269","5153.43242388"
"08/24/2022 11:30:11","N","4586.22687387","8893.54945123","5113.92687387"
"08/24/2022 11:45:11","N","4578.5","8891.58042073","5107.5"
"08/24/2022 12:00:14","N","4576.89999389","8859.66476526","5108.62999982"
"08/24/2022 12:15:09","N","4574.89999389","8859.95599368","5087.53999981"
"08/24/2022 12:30:11","N","4579.89999389","8857.74410289","5094.97000002"
"08/24/2022 12:45:11","N","4579.89999389","8861.26951935","5090.99133101"
"08/24/2022 13:00:14","N","4560.44601221","8999.66051085","5095.83376589"
"08/24/2022 13:15:11","N","4557.2000122","8978.24677532","5096.2"
"08/24/2022 13:30:11","N","4554.2000122","8983.79993566","5101.4"
"08/24/2022 13:45:11","N","4553.2000122","8999.10053116","5115.6"
"08/24/2022 14:00:13","N","4575.7000122","8894.72394424","5148"
"08/24/2022 14:15:11","N","4587.7000122","8904.59005497","5160.4"
"08/24/2022 14:30:12","N","4586.7000122","8906.39633202","5174.54606456"
"08/24/2022 14:45:09","N","4588.7000122","8914.13345871","5185.69371652"
"08/24/2022 15:00:14","N","4587.7000122","8994.20660147","5193.5608529"
"08/24/2022 15:15:10","N","4589.7000122","8996.87346482","5201.82977075"
"08/24/2022 15:30:11","N","4581.7000122","8985.6880524","5185.9300003"
"08/24/2022 15:45:11","N","4581.7000122","8986.08344325","5187.0700003"
"08/24/2022 16:00:14","N","4654.29998779","9091.47225975","5241.68999885"
"08/24/2022 16:15:10","N","4652.29998779","9085.51908707","5233.94999946"
"08/24/2022 16:30:12","N","4653.29998779","9113.46438836","5230.92999939"
"08/24/2022 16:45:11","N","4653.29998779","9092.05594313","5228.02000008"
"08/24/2022 17:00:14","N","4652.29998779","8936.67719129","5311.62800306"
"08/24/2022 17:15:11","N","4650.29998779","8929.09260082","5304.11000269"
