"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL  WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"06/01/2023 00:01:02","N","5664.28018647","8210.65781251","4200.48709106","18.05037498","18.05037498","0","172.09289787","236.90924939","174","5801.5519"
"06/01/2023 00:15:19","N","5531.87994843","8567.99249497","4440.5218048","23.45343208","23.45343208","0","188.70760925","280.70151448","203","5793.59366"
"06/01/2023 00:30:17","N","5393.8632248","8146.69159546","4157.74917602","24.14079475","24.14079475","0","187.24923248","235.37618261","172","5643.75446"
"06/01/2023 00:45:17","N","5279.64540558","8151.27965394","4145.44108581","23.2905426","23.2905426","0","186.64572519","234.23747599","171","5524.72661"
"06/01/2023 01:00:23","N","5209.32698517","8209.18302002","4146.14834594","28.83687019","28.83687019","0","175.73844436","291.24759894","173","5471.24458"
"06/01/2023 01:15:16","N","5321.23569184","8209.66889039","4149.20196533","24.74113273","24.74113273","0","175.99031593","291.03885233","173","5496.84074"
"06/01/2023 01:30:16","N","5348.4760788","8209.1591095","4148.7789154","23.85760688","23.85760688","0","177.46814318","294.29953461","174","5541.41291"
"06/01/2023 01:45:15","N","5368.6831482","8205.21277466","4144.44763183","24.41828536","24.41828536","0","175.12600237","292.13885462","172","5571.61485"
"06/01/2023 02:00:22","N","5314.34905701","8337.52695313","4150.14672851","36.92863845","36.92863845","0","174.97955991","314.51138567","173","5544.63994"
"06/01/2023 02:15:16","N","5394.86502533","8335.78894654","4149.32202148","34.9583702","34.9583702","0","173.95227964","313.6795721","172","5570.25722"
"06/01/2023 02:30:16","N","5609.86369019","8335.94188538","4150.52992248","29.0258007","29.0258007","0","174.06276888","313.34469342","172","5741.40563"
"06/01/2023 02:45:17","N","5683.16963654","8329.95357361","4163.63435363","21.67625999","21.67625999","0","175.48155066","315.56189078","174","5785.67647"
"06/01/2023 03:00:23","N","5729.64592438","8330.88556519","4166.33804321","22.38952445","22.38952445","0","176.21917584","313.07943964","174","5849.27851"
"06/01/2023 03:15:17","N","5737.20814209","8331.1334137","4164.58589172","17.89544868","17.89544868","0","174.88138385","311.82262641","173","5945.31068"
"06/01/2023 03:30:15","N","5755.61072236","8327.39107361","4162.98521423","19.34465217","19.34465217","0","190.25596587","312.59850519","174","5956.66742"
"06/01/2023 03:45:18","N","6015.23957043","8337.20174256","4172.09590148","16.30800056","16.30800056","0","177.28224167","313.59647893","175","6094.66092"
"06/01/2023 04:00:21","N","5912.95232087","8342.79202881","4175.52780151","19.85274696","19.85274696","0","175.9649406","312.51988053","174","6165.55088"
"06/01/2023 04:15:18","N","6027.28970795","8344.1336731","4175.52780151","20.61873626","20.61873626","0","177.26001149","312.71777063","174","6118.75838"
"06/01/2023 04:30:18","N","6071.63200837","8345.34692994","4175.52780151","24.28836441","24.28836441","0","174.50045953","310.34726583","172","6296.58887"
"06/01/2023 04:45:16","N","6108.8766449","8343.44696656","4175.52780151","21.56117248","21.56117248","0","181.87913905","311.437132","172","6253.35828"
"06/01/2023 05:00:21","N","6029.22940522","8342.84696045","4204.44110107","21.29266929","21.29266929","0","184.00396761","214.63387095","173","6237.94253"
"06/01/2023 05:15:18","N","6467.00562897","8342.03369141","4203.52780151","21.47890853","21.47890853","0","177.94886052","214.69009703","173","6425.30912"
