"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"06/21/2023 00:00:56","N","18431.1221","160.8","18270.3221"
"06/21/2023 00:15:16","N","17937.80438","160.6","17777.20438"
"06/21/2023 00:30:17","N","17819.62363","160.5","17659.12363"
"06/21/2023 00:45:19","N","17755.8978","160.9","17594.9978"
"06/21/2023 01:00:22","N","17520.57057","290.7","17229.87057"
"06/21/2023 01:15:17","N","17384.5692","292.3","17092.2692"
"06/21/2023 01:30:15","N","17436.64947","292.4","17144.24947"
"06/21/2023 01:45:15","N","16974.28481","292.4","16681.88481"
"06/21/2023 02:00:20","N","16563.37085","145.6","16417.77085"
"06/21/2023 02:15:16","N","16172.14756","30.2","16141.94756"
"06/21/2023 02:30:16","N","16076.36735","30.1","16046.26735"
"06/21/2023 02:45:15","N","15866.89468","30.1","15836.79468"
"06/21/2023 03:00:21","N","15689.47689","30.1","15659.37689"
"06/21/2023 03:15:15","N","15971.48731","30.2","15941.28731"
"06/21/2023 03:30:16","N","15926.80567","30.2","15896.60567"
"06/21/2023 03:45:18","N","15812.13924","30.2","15781.93924"
"06/21/2023 04:00:21","N","15867.20712","30.2","15837.00712"
"06/21/2023 04:15:15","N","15973.45634","30.1","15943.35634"
"06/21/2023 04:30:15","N","15872.97262","30.1","15842.87262"
"06/21/2023 04:45:14","N","16122.12062","30.2","16091.92062"
"06/21/2023 05:00:21","N","16196.36045","-.1","16196.46045"
"06/21/2023 05:15:14","N","16336.86532","-.1","16336.96532"
"06/21/2023 05:30:14","N","16022.68703","-.1","16022.78703"
"06/21/2023 05:45:15","N","16079.13401","-.1","16079.23401"
"06/21/2023 06:00:19","N","16048.48925","-.1","16048.58925"
"06/21/2023 06:15:14","N","16262.24391","-.1","16262.34391"
"06/21/2023 06:30:17","N","16072.01764","-.1","16072.11764"
"06/21/2023 06:45:15","N","16082.41558","-.1","16082.51558"
"06/21/2023 07:00:23","N","16116.56455","-.1","16116.66455"
"06/21/2023 07:15:16","N","16125.25448","-.1","16125.35448"
"06/21/2023 07:30:13","N","16112.66089","-.1","16112.76089"
"06/21/2023 07:45:15","N","16133.30952","-.1","16133.40952"
"06/21/2023 08:00:18","N","16020.1212","-.1","16020.2212"
"06/21/2023 08:15:10","N","16194.11216","-.1","16194.21216"
"06/21/2023 08:30:09","N","16384.31602","-.1","16384.41602"
"06/21/2023 08:45:13","N","16421.21025","-.1","16421.31025"
"06/21/2023 09:00:17","N","16716.93058","-.1","16717.03058"
"06/21/2023 09:15:12","N","16837.84197","-.1","16837.94197"
"06/21/2023 09:30:13","N","17084.1176","-.1","17084.2176"
"06/21/2023 09:45:14","N","17075.57964","-.1","17075.67964"
"06/21/2023 10:00:17","N","17339.10296","-.1","17339.20296"
"06/21/2023 10:15:13","N","17719.01447","-.1","17719.11447"
"06/21/2023 10:30:14","N","17761.7347","-.1","17761.8347"
"06/21/2023 10:45:13","N","17924.78203","-.1","17924.88203"
"06/21/2023 11:00:18","N","18187.26209","-.1","18187.36209"
"06/21/2023 11:15:14","N","18580.14184","-.1","18580.24184"
"06/21/2023 11:30:15","N","18750.70348","-.1","18750.80348"
"06/21/2023 11:45:15","N","18925.88994","-.4","18926.28994"
"06/21/2023 12:00:21","N","19270.17928","-.4","19270.57928"
"06/21/2023 12:15:14","N","19351.31848","-.5","19351.81848"
"06/21/2023 12:30:13","N","19491.10942","-.6","19491.70942"
"06/21/2023 12:45:16","N","19714.36167","-.4","19714.76167"
"06/21/2023 13:00:24","N","19461.76511","-.6","19462.36511"
"06/21/2023 13:15:15","N","19670.24521","-.5","19670.74521"
"06/21/2023 13:30:13","N","19728.69782","-.6","19729.29782"
