"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL  WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"06/22/2023 00:00:25","N","15781.42940773","23429.99012627","12067.80273056","1236.30133701","1236.30133701","0","222.20931657","1199.05730843","280","17242.32943"
"06/22/2023 00:15:16","N","15548.39137901","23558.87901939","12238.77515792","1587.18237948","1587.18237948","0","222.20083999","1149","280","17462.46318"
"06/22/2023 00:30:17","N","15272.8000399","23565.03659691","12238.79801559","1722.80099761","1722.80099761","0","222.19982528","1149","280","17105.29456"
"06/22/2023 00:45:15","N","15228.36604561","23205.19388451","11917.45118331","1994.86326766","1994.86326766","0","222.19968032","1149","280","17334.02955"
"06/22/2023 01:00:22","N","15069.30163826","23051.02173103","11943.91402816","1993.39325416","1993.39325416","0","222.19935226","1159.5","280","17316.30025"
"06/22/2023 01:15:16","N","14936.28737701","22695.01244606","11905.58228683","2355.06334352","2356.05334347","0","222.19947052","1159.5","280","17445.39917"
"06/22/2023 01:30:16","N","15036.09782661","22244.39295448","11725.85741806","2142.39889267","2143.37889263","0","222.20092773","1159.5","280","17330.92803"
"06/22/2023 01:45:16","N","15024.29385841","22243.80774391","11747.35467147","2144.21768307","2145.90768301","0","222.20043945","1159.50940265","280","17467.45761"
"06/22/2023 02:00:20","N","14933.94247902","22299.81380547","11716.3043785","2218.25060176","2219.85060167","0","222.19997024","1159.5","280","17256.77066"
"06/22/2023 02:15:16","N","14932.15493581","22299.09408488","11730.17666244","2109.38398647","2110.77398645","0","222.20000076","1159.5","280","17201.54835"
"06/22/2023 02:30:16","N","14970.67443654","22293.69784465","11708.85378646","1772.63239192","1774.20239186","0","222.2007904","1159.5","280","16901.53875"
"06/22/2023 02:45:15","N","15027.27524162","22297.08343596","11705.20275497","1644.62568485","1644.62568485","0","222.2011528","1159.5","280","16945.75607"
"06/22/2023 03:00:21","N","15085.44884327","22267.65061136","11667.17225265","1458.03086614","1458.03086614","0","222.2007904","1149","280","16555.14009"
"06/22/2023 03:15:14","N","15094.40785849","22266.81649382","11666.76371383","1537.18508315","1537.19301949","0","222.20088195","581","130","16800.92729"
"06/22/2023 03:30:15","N","15104.16612813","22273.11440959","11669.32941818","1720.67833843","1721.47833839","0","222.20096969","581","130","17007.11698"
