"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"07/12/2023 00:00:23","N","16424.14071","24.6","16399.54071"
"07/12/2023 00:15:17","N","16704.9242","-25.8","16730.7242"
"07/12/2023 00:30:17","N","16881.02451","-25.8","16906.82451"
"07/12/2023 00:45:17","N","17188.8627","-25.9","17214.7627"
"07/12/2023 01:00:21","N","17329.54673","-72.7","17402.24673"
"07/12/2023 01:15:17","N","17348.26952","-100.2","17448.46952"
"07/12/2023 01:30:15","N","17450.73403","-100.2","17550.93403"
"07/12/2023 01:45:17","N","17342.04032","-57.9","17399.94032"
"07/12/2023 02:00:20","N","17125.5063","-25.7","17151.2063"
"07/12/2023 02:15:16","N","16905.68258","-25.7","16931.38258"
"07/12/2023 02:30:16","N","16870.1546","-25.8","16895.9546"
"07/12/2023 02:45:16","N","16681.94257","-25.8","16707.74257"
"07/12/2023 03:00:20","N","16631.77645","-25.8","16657.57645"
"07/12/2023 03:15:16","N","16625.06481","-25.9","16650.96481"
"07/12/2023 03:30:16","N","16563.88023","-25.8","16589.68023"
"07/12/2023 03:45:16","N","16373.07817","-25.9","16398.97817"
"07/12/2023 04:00:22","N","16363.1117","-26","16389.1117"
"07/12/2023 04:15:18","N","16300.5315","-25.9","16326.4315"
"07/12/2023 04:30:18","N","16203.27711","-25.8","16229.07711"
"07/12/2023 04:45:17","N","16055.46606","-26","16081.46606"
"07/12/2023 05:00:18","N","16109.36059","-25.8","16135.16059"
"07/12/2023 05:15:17","N","16174.48104","-25.8","16200.28104"
"07/12/2023 05:30:15","N","16212.19148","-26","16238.19148"
"07/12/2023 05:45:17","N","16257.78341","-25.9","16283.68341"
"07/12/2023 06:00:20","N","16263.18175","0","16263.18175"
"07/12/2023 06:15:17","N","16281.27786","0","16281.27786"
"07/12/2023 06:30:16","N","16372.21471","0","16372.21471"
"07/12/2023 06:45:16","N","16199.41398","0","16199.41398"
"07/12/2023 07:00:24","N","16086.88687","0","16086.88687"
"07/12/2023 07:15:15","N","15640.91719","0","15640.91719"
"07/12/2023 07:30:16","N","15488.06989","0","15488.06989"
"07/12/2023 07:45:15","N","15903.72604","0","15903.72604"
"07/12/2023 08:00:22","N","16760.9647","0","16760.9647"
"07/12/2023 08:15:17","N","17443.79339","0","17443.79339"
"07/12/2023 08:30:17","N","17953.62471","0","17953.62471"
"07/12/2023 08:45:17","N","18131.79598","0","18131.79598"
"07/12/2023 09:00:22","N","17952.00428","0","17952.00428"
"07/12/2023 09:15:17","N","18061.33818","0","18061.33818"
"07/12/2023 09:30:21","N","17929.56208","0","17929.56208"
"07/12/2023 09:45:23","N","18120.69932","92.8","18027.89932"
"07/12/2023 10:00:24","N","18483.8985","202.1","18281.7985"
"07/12/2023 10:15:19","N","18484.30515","202.1","18282.20515"
"07/12/2023 10:30:18","N","18385.69468","202.1","18183.59468"
"07/12/2023 10:45:18","N","18685.34077","202.3","18483.04077"
"07/12/2023 11:00:22","N","18746.99253","202.1","18544.89253"
"07/12/2023 11:15:18","N","19065.6194","202","18863.6194"
"07/12/2023 11:30:19","N","18671.03203","202.1","18468.93203"
"07/12/2023 11:45:18","N","18136.16768","202","17934.16768"
"07/12/2023 12:00:24","N","18099.55658","201.8","17897.75658"
"07/12/2023 12:15:20","N","17975.30383","202","17773.30383"
"07/12/2023 12:30:19","N","17898.03473","202.1","17695.93473"
"07/12/2023 12:45:20","N","18233.58747","202.1","18031.48747"
"07/12/2023 13:00:27","N","18073.59211","202.1","17871.49211"
"07/12/2023 13:15:18","N","17979.20261","202.1","17777.10261"
"07/12/2023 13:30:18","N","17969.61244","202.3","17767.31244"
"07/12/2023 13:45:19","N","17803.9227","167.8","17636.1227"
"07/12/2023 14:00:24","N","17922.52567","21.5","17901.02567"
"07/12/2023 14:15:21","N","17735.66494","-64.5","17800.16494"
"07/12/2023 14:30:20","N","17550.93407","44.7","17506.23407"
"07/12/2023 14:45:19","N","17274.16251","79.1","17195.06251"
"07/12/2023 15:00:24","N","17077.69037","41","17036.69037"
"07/12/2023 15:15:19","N","16496.79867","-39.9","16536.69867"
"07/12/2023 15:30:19","N","15905.44116","-51.8","15957.24116"
"07/12/2023 15:45:20","N","16120.58456","-51.7","16172.28456"
"07/12/2023 16:00:26","N","15945.15804","-130.6","16075.75804"
"07/12/2023 16:15:20","N","15163.49667","-218.6","15382.09667"
"07/12/2023 16:30:24","N","15135.0763","-180.9","15315.9763"
"07/12/2023 16:45:21","N","15595.1994","-129.5","15724.6994"
"07/12/2023 17:00:30","N","15404.21558","-138.7","15542.91558"
"07/12/2023 17:15:23","N","15683.48345","-191.9","15875.38345"
"07/12/2023 17:30:22","N","15619.91933","-216.1","15836.01933"
"07/12/2023 17:45:22","N","15743.42027","-216.6","15960.02027"
"07/12/2023 18:00:27","N","15912.36884","-207.7","16120.06884"
"07/12/2023 18:15:22","N","16052.69041","-200","16252.69041"
"07/12/2023 18:30:22","N","16135.49268","-199.9","16335.39268"
"07/12/2023 18:45:21","N","16219.67101","-211.4","16431.07101"
"07/12/2023 19:00:29","N","16224.43775","-218.5","16442.93775"
"07/12/2023 19:15:20","N","16372.33583","-215.7","16588.03583"
"07/12/2023 19:30:22","N","15796.82994","-215.7","16012.52994"
"07/12/2023 19:45:20","N","15705.55248","-215.8","15921.35248"
"07/12/2023 20:00:27","N","15114.9739","-215.6","15330.5739"
"07/12/2023 20:15:21","N","14562.06124","-215.7","14777.76124"
"07/12/2023 20:30:20","N","14453.32382","-215.6","14668.92382"
"07/12/2023 20:45:18","N","14867.3902","-215.7","15083.0902"
"07/12/2023 21:00:23","N","15320.16442","-177.8","15497.96442"
"07/12/2023 21:15:17","N","15605.1655","-139.2","15744.3655"
"07/12/2023 21:30:18","N","15808.55135","-139.3","15947.85135"
"07/12/2023 21:45:17","N","16424.0847","-139.2","16563.2847"
"07/12/2023 22:00:27","N","16603.06465","-102.2","16705.26465"
"07/12/2023 22:15:17","N","16631.0231","-75.9","16706.9231"
"07/12/2023 22:30:19","N","16825.72156","-76","16901.72156"
"07/12/2023 22:45:18","N","16703.44776","-76","16779.44776"
"07/12/2023 23:00:24","N","16300.65562","-75.9","16376.55562"
"07/12/2023 23:15:19","N","16124.90639","-76.1","16201.00639"
"07/12/2023 23:30:18","N","16155.36191","-75.9","16231.26191"
"07/12/2023 23:45:17","N","16211.99022","-75.8","16287.79022"
