"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL  WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"07/15/2023 00:00:32","N","9540.17447528","13197.61192522","6258.672019","5484.59661054","6547.91162347","0","3128.76992368","3382.79166603","2413.10003662","18064.92239"
"07/15/2023 00:15:22","N","9441.49967346","12933.48757753","5953.18725776","5346.78063201","6590.77290916","0","3134.03906488","3379.80497169","2406.10003662","17922.58473"
"07/15/2023 00:30:20","N","8978.10231122","12317.96504793","5660.5205059","5194.8093214","6518.68513393","0","3136.08901691","3382.72997474","2415.10003662","17347.61015"
"07/15/2023 00:45:19","N","8693.52121505","12319.28159914","5689.60753631","5202.83943963","6598.76442337","0","3146.21028852","3382.64177894","2430.10003662","17058.57646"
"07/15/2023 01:00:27","N","8499.42527732","12288.73960695","5692.48914146","5297.27105391","6606.53497123","0","3089.8221116","3300.43973445","2373.00003671","16821.42706"
"07/15/2023 01:15:17","N","8241.48236808","12290.63258943","5699.9037075","5349.25256729","6667.97430658","0","3086.50869655","3298.97165584","2370.30003595","16683.12271"
"07/15/2023 01:30:20","N","7867.83638725","12252.24992952","5670.84299468","5254.38683009","6624.5199685","0","3092.69755256","3299.52841854","2375.00003671","16294.50839"
"07/15/2023 01:45:17","N","7548.80257568","12243.26893434","5666.34737777","5135.58889627","6453.88528299","0","3088.49158899","3299.83219051","2371.80003643","15865.72301"
"07/15/2023 02:00:33","N","7203.75865135","12171.60210237","5663.26259422","5126.71557044","6380.51101112","0","3107.19848108","3349.01937294","2368.10003662","15388.30807"
"07/15/2023 02:15:17","N","7416.47788963","12267.46450624","5669.79972648","4983.37155127","6200.37367343","0","3083.25608563","3348.10817909","2366.20003628","15425.69389"
"07/15/2023 02:30:17","N","7197.23560295","12265.95412263","5667.79224586","4874.21257352","6007.23397207","0","3083.57235206","3348.26936531","2366.58003616","15204.78418"
"07/15/2023 02:45:17","N","7261.36374053","12265.21204195","5667.39489364","4790.89886999","5866.41896343","0","3096.21570386","3348.87684822","2365.99003624","15029.29414"
"07/15/2023 03:00:22","N","7140.09134254","12266.39700899","5669.0544033","4785.0478661","5742.3862493","0","3092.05072149","3372.13121795","2374.627882","15017.18373"
"07/15/2023 03:15:16","N","7159.65127716","12272.5200406","5663.83538818","4690.89349985","5649.22247695","0","3099.1447572","3371.14278984","2374.57597732","14880.58293"
"07/15/2023 03:30:17","N","7211.91198501","12265.38815889","5666.7724533","4545.93389511","5419.09765243","0","3096.49401071","3372.47497177","2374.35309028","14835.02659"
"07/15/2023 03:45:18","N","7243.27663955","12250.77698335","5670.75500488","4460.74592208","5117.41991329","0","3098.43861409","3371.44635009","2374.36224937","14630.17027"
"07/15/2023 04:00:32","N","7149.78192901","12234.6396985","5671.19324493","4344.53839778","4827.35509014","0","3083.96700429","3473.57251548","2355.60003662","14442.42065"
"07/15/2023 04:15:19","N","7571.91692161","12233.66067171","5663.32840728","4168.66628551","4543.25317287","0","3118.00066238","3472.45880699","2355.60003662","14741.23479"
"07/15/2023 04:30:23","N","7663.66543922","12248.85146913","5650.29310798","4085.7840588","4353.89990472","0","3146.16749351","3473.2182064","2355.60003662","14736.81275"
"07/15/2023 04:45:17","N","7630.92518615","12233.21532106","5659.09220314","3976.64306664","4114.13846373","0","3178.63222583","3477.04467201","2355.60003662","14588.28931"
"07/15/2023 05:00:25","N","7681.93346939","12255.35167512","5636.37195587","3904.92816495","4063.90294599","0","3214.13192021","3519.85480022","2355.60003662","14717.90965"
"07/15/2023 05:15:18","N","7799.00285873","12258.36139497","5630.61289024","3894.55185842","4032.43470191","0","3260.24052524","3520.75221538","2355.60003662","14738.83292"
"07/15/2023 05:30:17","N","7877.55458412","12255.35653505","5620.5536518","3790.35523343","3902.28357148","0","3278.21421372","3521.46454906","2355.60003662","14817.83854"
"07/15/2023 05:45:17","N","7719.54135475","12258.20173463","5631.66962623","3758.90647482","3958.36431193","0","3284.58864034","3503.20143795","2355.60003662","14714.81965"
"07/15/2023 06:00:26","N","7868.04411277","12015.81767091","5631.87784767","3682.03253698","3955.38958263","0","3287.98658561","3610.63551235","2355.60003662","14696.32618"
"07/15/2023 06:15:18","N","8005.39932594","12172.69249544","5625.18146896","3607.21931719","3989.2058196","0","3318.03236341","3598.78610897","2355.60003662","14851.53211"
"07/15/2023 06:30:19","N","7818.44093856","12174.19736299","5630.48051643","3600.94230604","3973.05708813","0","3348.03180837","3582.90640926","2355.60003662","14757.09335"
"07/15/2023 06:45:17","N","7813.72588917","12174.84344145","5635.47821998","3560.00674211","3866.34387457","0","3366.94370317","3598.04078578","2355.60003662","14684.26397"
"07/15/2023 07:00:26","N","7499.66161454","12164.3289429","5654.06703263","3486.55662989","3774.36677289","0","3366.98056173","3580.73419475","2355.60003662","14359.8273"
"07/15/2023 07:15:18","N","7669.89585822","12224.13257974","5650.3962078","3391.55065321","3772.11681151","0","3366.98063373","3584.3707838","2355.60003662","14302.81547"
