"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"07/25/2023 00:00:25","N","15105.11364","330.6","14774.51364"
"07/25/2023 00:15:21","N","15123.95585","330.9","14793.05585"
"07/25/2023 00:30:18","N","15079.0054","330.4","14748.6054"
"07/25/2023 00:45:18","N","15024.91809","330.9","14694.01809"
"07/25/2023 01:00:27","N","14843.9582","360.6","14483.3582"
"07/25/2023 01:15:18","N","14483.40188","361.3","14122.10188"
"07/25/2023 01:30:19","N","14295.72497","361.4","13934.32497"
"07/25/2023 01:45:19","N","14013.85085","361.2","13652.65085"
"07/25/2023 02:00:28","N","13834.07538","360.9","13473.17538"
"07/25/2023 02:15:21","N","13560.52779","361.2","13199.32779"
"07/25/2023 02:30:20","N","13114.6803","360.9","12753.7803"
"07/25/2023 02:45:25","N","12954.30947","361","12593.30947"
"07/25/2023 03:00:26","N","12421.32632","311.8","12109.52632"
"07/25/2023 03:15:20","N","12288.42462","311.5","11976.92462"
"07/25/2023 03:30:18","N","12217.25936","311.9","11905.35936"
"07/25/2023 03:45:18","N","12154.60103","311.9","11842.70103"
"07/25/2023 04:00:25","N","11909.66922","291.5","11618.16922"
"07/25/2023 04:15:19","N","11968.06507","289.3","11678.76507"
"07/25/2023 04:30:19","N","12028.74048","289.4","11739.34048"
"07/25/2023 04:45:18","N","12082.06879","289.9","11792.16879"
"07/25/2023 05:00:23","N","12100.43959","239.2","11861.23959"
"07/25/2023 05:15:16","N","12351.9324","165","12186.9324"
"07/25/2023 05:30:16","N","12507.51664","165.1","12342.41664"
"07/25/2023 05:45:17","N","12907.89683","165.6","12742.29683"
"07/25/2023 06:00:22","N","13083.54329","109","12974.54329"
"07/25/2023 06:15:16","N","13264.15405","55.3","13208.85405"
"07/25/2023 06:30:17","N","13252.65136","55.2","13197.45136"
"07/25/2023 06:45:16","N","13192.22486","55.1","13137.12486"
"07/25/2023 07:00:24","N","13181.85991","19.9","13161.95991"
"07/25/2023 07:15:16","N","13330.95175","20","13310.95175"
"07/25/2023 07:30:16","N","13342.06275","19.6","13322.46275"
"07/25/2023 07:45:18","N","13190.08919","19.8","13170.28919"
"07/25/2023 08:00:25","N","13151.07089","-.2","13151.27089"
"07/25/2023 08:15:15","N","13095.64296","-.2","13095.84296"
"07/25/2023 08:30:17","N","13137.41987","-.1","13137.51987"
"07/25/2023 08:45:15","N","13171.29346","-.2","13171.49346"
"07/25/2023 09:00:20","N","13415.80735","-.2","13416.00735"
"07/25/2023 09:15:16","N","13910.52344","-.2","13910.72344"
"07/25/2023 09:30:16","N","14345.77275",".1","14345.67275"
"07/25/2023 09:45:15","N","15116.56584","-.1","15116.66584"
"07/25/2023 10:00:22","N","15556.73283","-.2","15556.93283"
"07/25/2023 10:15:16","N","16088.7413","-.3","16089.0413"
"07/25/2023 10:30:16","N","16570.79773","-.2","16570.99773"
"07/25/2023 10:45:17","N","16864.79693","-.1","16864.89693"
"07/25/2023 11:00:21","N","17047.91016","0","17047.91016"
"07/25/2023 11:15:17","N","17781.86079","-.2","17782.06079"
"07/25/2023 11:30:16","N","18399.79252","-.1","18399.89252"
"07/25/2023 11:45:15","N","18559.79095","-.2","18559.99095"
"07/25/2023 12:00:22","N","18713.1789","-.2","18713.3789"
"07/25/2023 12:15:16","N","18886.83154","-.4","18887.23154"
"07/25/2023 12:30:15","N","19263.09919","-.1","19263.19919"
"07/25/2023 12:45:16","N","19514.57222","0","19514.57222"
"07/25/2023 13:00:24","N","19465.74837","-.2","19465.94837"
"07/25/2023 13:15:19","N","19655.44347","0","19655.44347"
"07/25/2023 13:30:17","N","19840.49633","-.2","19840.69633"
"07/25/2023 13:45:18","N","19863.98161","0","19863.98161"
"07/25/2023 14:00:25","N","19984.95252","-.3","19985.25252"
"07/25/2023 14:15:20","N","20354.40859","-.1","20354.50859"
"07/25/2023 14:30:19","N","19885.11805","-.1","19885.21805"
"07/25/2023 14:45:21","N","20085.22177","-.2","20085.42177"
"07/25/2023 15:00:25","N","20664.46293",".2","20664.26293"
"07/25/2023 15:15:19","N","21050.9711","-.1","21051.0711"
"07/25/2023 15:30:21","N","21039.74704",".1","21039.64704"
"07/25/2023 15:45:19","N","21511.50158","-.1","21511.60158"
"07/25/2023 16:00:28","N","21940.17461","-.3","21940.47461"
"07/25/2023 16:15:24","N","21738.52915","0","21738.52915"
"07/25/2023 16:30:21","N","22135.8919",".3","22135.5919"
"07/25/2023 16:45:23","N","22340.064","0","22340.064"
"07/25/2023 17:00:30","N","22171.43428","-.2","22171.63428"
"07/25/2023 17:15:20","N","22250.78718",".2","22250.58718"
"07/25/2023 17:30:19","N","22260.37191","-.2","22260.57191"
"07/25/2023 17:45:21","N","22121.61809","-.1","22121.71809"
"07/25/2023 18:00:31","N","22052.72187","-.3","22053.02187"
"07/25/2023 18:15:21","N","22004.60363","-.2","22004.80363"
"07/25/2023 18:30:21","N","22037.15326","-.1","22037.25326"
"07/25/2023 18:45:21","N","21848.5557","-.4","21848.9557"
"07/25/2023 19:00:31","N","21810.40732","75.1","21735.30732"
"07/25/2023 19:15:19","N","21815.22826","90.8","21724.42826"
"07/25/2023 19:30:18","N","21790.10709","91","21699.10709"
"07/25/2023 19:45:19","N","21945.92381","91","21854.92381"
"07/25/2023 20:00:26","N","22061.63715","226.3","21835.33715"
"07/25/2023 20:15:18","N","22035.33375","250.5","21784.83375"
"07/25/2023 20:30:17","N","21838.4477","250.8","21587.6477"
"07/25/2023 20:45:19","N","21753.25038","250.4","21502.85038"
"07/25/2023 21:00:24","N","21781.1685","254.1","21527.0685"
"07/25/2023 21:15:18","N","21153.43952","253.8","20899.63952"
"07/25/2023 21:30:18","N","21134.5153","254","20880.5153"
"07/25/2023 21:45:18","N","20980.69225","253.3","20727.39225"
"07/25/2023 22:00:24","N","20674.88925","298.4","20376.48925"
"07/25/2023 22:15:20","N","20291.10103","297.1","19994.00103"
"07/25/2023 22:30:19","N","20354.21444","297.6","20056.61444"
"07/25/2023 22:45:19","N","20263.57962","297.6","19965.97962"
"07/25/2023 23:00:23","N","20099.0006","320.9","19778.1006"
"07/25/2023 23:15:17","N","19591.37701","321","19270.37701"
"07/25/2023 23:30:18","N","19240.78048","321.2","18919.58048"
"07/25/2023 23:45:16","N","18761.76758","320.6","18441.16758"
