"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL  WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"07/31/2023 00:00:24","N","9087.89894988","10415.43600967","5632.50936889","24.84616851","24.84616851","0","484.5369578","610.14999771","479","9635.3782"
"07/31/2023 00:15:18","N","8712.30992859","10413.43516892","5603.50939941","27.6707611","27.6707611","0","485.87079222","610.14999771","479","9353.27326"
"07/31/2023 00:30:16","N","8220.89788911","10131.43705079","5429.90939331","26.30787467","26.30787467","0","483.95238031","609.14999771","478","8856.97449"
"07/31/2023 00:45:16","N","7761.3245222","10119.43582935","5214.2093811","27.73542022","27.73542022","0","484.69610559","610.14999771","479","8440.36293"
"07/31/2023 01:00:20","N","7584.91118873","10142.23461403","5202.90936279","31.85885429","31.85885429","0","483.42504301","700.94999694","478","8151.27433"
"07/31/2023 01:15:16","N","7454.43623065","10143.23398589","5000.50936889","28.44368362","28.44368362","0","483.29087203","699.94999694","477","7979.27016"
"07/31/2023 01:30:16","N","7344.72133561","10144.23489972","5001.7093811","26.56043434","26.56043434","0","482.91925188","699.94999694","477","7902.57846"
"07/31/2023 01:45:17","N","7011.22843233","10147.23345987","5000.7093811","29.49157905","29.49157905","0","481.97109882","698.94999694","476","7648.45357"
"07/31/2023 02:00:16","N","6789.5891472","10273.33667956","5002.90939331","24.96901512","24.96901512","0","481.52498775","613.14999771","476","7404.78128"
"07/31/2023 02:15:11","N","6721.5791926","10275.33534976","5004.3093872","30.36703109","30.36703109","0","485.1642189","616.14999771","479","7245.16053"
"07/31/2023 02:30:10","N","6613.38306764","10276.33549216","5004.2093811","28.98110961","28.98110961","0","486.7065969","618.14999771","481","7222.3834"
"07/31/2023 02:45:10","N","6501.29875696","10275.33744466","5004.2093811","28.54883575","28.54883575","0","482.80295828","613.14999771","476","7075.94477"
"07/31/2023 03:00:13","N","6493.67618606","10280.33512327","5009.109375","25.3338375","25.3338375","0","484.38687631","609.64999771","478","7007.0804"
"07/31/2023 03:15:11","N","6473.72687443","10280.33760293","5013.3093872","24.39950561","24.39950561","0","483.54432401","608.64999771","477","7011.41796"
"07/31/2023 03:30:11","N","6445.88261282","10280.33702408","5017.00936889","19.0857315","19.0857315","0","486.12007082","610.64999771","479","6960.34029"
"07/31/2023 03:45:10","N","6436.86242556","10289.33684443","5017.00936889","20.03107643","20.03107643","0","486.73667964","611.64999771","480","6961.21664"
"07/31/2023 04:00:15","N","6441.12455297","10294.53589249","5020.00936889","17.56899833","17.56899833","0","486.04905612","617.64999771","480","6971.84215"
"07/31/2023 04:15:10","N","6457.73568013","10294.53502396","5020.00936889","13.78752708","13.78752708","0","486.10204569","616.64999771","479","6996.79112"
"07/31/2023 04:30:12","N","6456.06014818","10294.53678722","5020.00936889","13.02484989","13.02484989","0","484.01086742","615.64999771","478","6977.71159"
"07/31/2023 04:45:11","N","6452.69757271","10300.53905082","5020.00936889","10.91619682","10.91619682","0","487.99837576","618.64999771","481","6977.56358"
