"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"08/16/2023 00:00:47","N","2398.79998779","4050.44916462","3165.2"
"08/16/2023 00:15:18","N","2397.79998779","4049.72754597","3133.9"
"08/16/2023 00:30:18","N","2398.79998779","4050.52506184","3105.4"
"08/16/2023 00:45:23","N","2399.79998779","4052.208503","3076.6"
"08/16/2023 01:00:24","N","2397.79998779","3949.95539021","3094.3"
"08/16/2023 01:15:17","N","2397.79998779","3949.80350422","3094.4"
"08/16/2023 01:30:17","N","2399.79998779","3953.04383015","3096.8"
"08/16/2023 01:45:17","N","2399.79998779","3952.99320149","3096.6"
"08/16/2023 02:00:25","N","2398.79998779","3860.474128","3064"
"08/16/2023 02:15:16","N","2397.79998779","3859.42349934","3063.1"
"08/16/2023 02:30:17","N","2399.79998779","3861.8284676","3065.1"
"08/16/2023 02:45:17","N","2398.79998779","3861.08164143","3064.5"
"08/16/2023 03:00:26","N","2400.79998779","3961.40541768","3143.6"
"08/16/2023 03:15:16","N","2399.79998779","3960.88631367","3142.7"
"08/16/2023 03:30:17","N","2400.79998779","3961.66413044","3144.1"
"08/16/2023 03:45:18","N","2399.79998779","3961.65134358","3143.1"
"08/16/2023 04:00:24","N","2399.79998779","3962.13230061","3126.4"
"08/16/2023 04:15:18","N","2400.79998779","3962.85379719","3143.8"
"08/16/2023 04:30:20","N","2400.79998779","3962.65131306","3173.7"
"08/16/2023 04:45:16","N","2399.79998779","3962.20813679","3202.2"
"08/16/2023 05:00:22","N","2400.79998779","4155.25882649","3179.1"
"08/16/2023 05:15:19","N","2401.79998779","4156.54160237","3210.2"
"08/16/2023 05:30:16","N","2400.79998779","4155.2631905","3239.3"
"08/16/2023 05:45:16","N","2400.79998779","4155.94657063","3269.5"
"08/16/2023 06:00:20","N","2400.79998779","4252.07315754","3281.7"
"08/16/2023 06:15:17","N","2398.79998779","4249.33908772","3310.5"
"08/16/2023 06:30:16","N","2398.79998779","4249.64279866","3340.1"
"08/16/2023 06:45:15","N","2400.79998779","4254.19718098","3367"
"08/16/2023 07:00:22","N","2399.79998779","4161.01999592","3360.7"
"08/16/2023 07:15:21","N","2398.79998779","4157.04675221","3359.4"
"08/16/2023 07:30:10","N","2399.79998779","4161.22251057","3361.3"
"08/16/2023 07:45:11","N","2399.79998779","4161.47562336","3360.9"
"08/16/2023 08:00:15","N","2399.79998779","4260.39975666","3370.4"
"08/16/2023 08:15:11","N","2399.79998779","4257.80039906","3369.9"
"08/16/2023 08:30:10","N","2398.79998779","4259.52728199","3369.5"
"08/16/2023 08:45:15","N","2397.79998779","4255.52635884","3367.8"
"08/16/2023 09:00:19","N","2395.79998779","4166.62755513","3368.5"
"08/16/2023 09:15:16","N","2396.79998779","4165.51491761","3371.4"
"08/16/2023 09:30:17","N","2395.79998779","4165.01627564","3370.8"
"08/16/2023 09:45:16","N","2395.79998779","4165.00054478","3369.6"
"08/16/2023 10:00:21","N","2395.79998779","3996.16817212","3382.4"
"08/16/2023 10:15:17","N","2396.79998779","3997.11757397","3383"
"08/16/2023 10:30:17","N","2395.79998779","3995.61134839","3382.7"
"08/16/2023 10:45:19","N","2395.79998779","3995.43410229","3382.3"
"08/16/2023 11:00:28","N","2393.79998779","4011.31002926","3377.6"
"08/16/2023 11:15:19","N","2393.79998779","4010.65194821","3378.4"
"08/16/2023 11:30:17","N","2391.79998779","4009.79104733","3376.4"
"08/16/2023 11:45:18","N","2391.79998779","4007.94323849","3377.8"
"08/16/2023 12:00:29","N","2391.79998779","4004.52476334","3375.4"
"08/16/2023 12:15:18","N","2389.79998779","4000.34943413","3373.1"
"08/16/2023 12:30:19","N","2389.79998779","4003.44943356","3372.5"
"08/16/2023 12:45:19","N","2389.79998779","4002.86728024","3372.2"
"08/16/2023 13:00:26","N","2389.79998779","4386.68103337","3395.6"
"08/16/2023 13:15:19","N","2387.79998779","4385.96391224","3424.2"
"08/16/2023 13:30:19","N","2388.79998779","4387.72423481","3424.9"
"08/16/2023 13:45:17","N","2388.79998779","4384.72460103","3424.6"
"08/16/2023 14:00:24","N","2407.79998779","4227.46990132","3464.9"
"08/16/2023 14:15:18","N","2407.79998779","4227.2341454","3491.4"
"08/16/2023 14:30:18","N","2407.79998779","4224.34532094","3491.9"
"08/16/2023 14:45:18","N","2407.79998779","4223.42471241","3492.4"
"08/16/2023 15:00:27","N","2418.79998779","4246.45852303","3541.8"
"08/16/2023 15:15:17","N","2418.79998779","4245.64252877","3543.6"
"08/16/2023 15:30:17","N","2420.79998779","4247.10431313","3544.6"
"08/16/2023 15:45:16","N","2428.79998779","4254.89004921","3543"
"08/16/2023 16:00:23","N","2430.79998779","4262.77111458","3525.2"
"08/16/2023 16:15:16","N","2440.79998779","4262.1404612","3534.6"
"08/16/2023 16:30:22","N","2440.79998779","4259.69118905","3539.1"
"08/16/2023 16:45:16","N","2440.79998779","4265.06959939","3534.5"
"08/16/2023 17:00:20","N","2442.79998779","4475.45775151","3488.1"
"08/16/2023 17:15:16","N","2440.79998779","4469.94819951","3528"
"08/16/2023 17:30:17","N","2442.79998779","4471.92290043","3529.5"
"08/16/2023 17:45:17","N","2444.79998779","4474.22667241","3530.8"
"08/16/2023 18:00:24","N","2469.79998779","4503.79134297","3525.6"
"08/16/2023 18:15:16","N","2466.79998779","4497.18785786","3551.7"
"08/16/2023 18:30:17","N","2466.79998779","4494.07403492","3551.5"
