"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"08/18/2023 00:00:25","N","315","1325.26959896","80"
"08/18/2023 00:15:18","N","315","1325.26959896","80"
"08/18/2023 00:30:19","N","315","1320.99999904","80"
"08/18/2023 00:45:17","N","315","1320.99999904","80"
"08/18/2023 01:00:23","N","315","1320.99999904","80"
"08/18/2023 01:15:18","N","315","1320.99999904","80"
"08/18/2023 01:30:19","N","315","1320.99999904","80"
"08/18/2023 01:45:17","N","315","1320.99999904","80"
"08/18/2023 02:00:23","N","315","1320.99999904","80"
"08/18/2023 02:15:17","N","315","1320.99999904","80"
"08/18/2023 02:30:16","N","315","1320.99999904","80"
"08/18/2023 02:45:17","N","315","1320.99999904","80"
"08/18/2023 03:00:22","N","315","1320.99999904","80"
"08/18/2023 03:15:17","N","315","1320.99999904","80"
"08/18/2023 03:30:17","N","315","1320.99999904","80"
"08/18/2023 03:45:15","N","315","1320.99999904","80"
"08/18/2023 04:00:21","N","315","1320.99999904","80"
"08/18/2023 04:15:18","N","315","1320.99999904","80"
"08/18/2023 04:30:18","N","315","1320.99999904","80"
"08/18/2023 04:45:16","N","315","1320.99999904","80"
"08/18/2023 05:00:22","N","315","1320.99999904","80"
"08/18/2023 05:15:18","N","315","1320.99999904","80"
"08/18/2023 05:30:15","N","315","1320.99999904","80"
"08/18/2023 05:45:15","N","315","1320.99999904","80"
"08/18/2023 06:00:21","N","315","1320.99999904","80"
"08/18/2023 06:15:16","N","315","1320.99999904","80"
"08/18/2023 06:30:16","N","315","1320.99999904","80"
"08/18/2023 06:45:16","N","315","1320.99999904","80"
"08/18/2023 07:00:22","N","315","1321.01499904","80.014"
"08/18/2023 07:15:17","N","315","1321.18399906","80.077"
"08/18/2023 07:30:16","N","315","1321.33499905","80.28600001"
"08/18/2023 07:45:16","N","315","1321.48199906","80.47600001"
"08/18/2023 08:00:21","N","315","1470.99434179","80.555"
"08/18/2023 08:15:16","N","315","1471.72399908","80.68400001"
"08/18/2023 08:30:16","N","315","1471.80799907","80.75100004"
"08/18/2023 08:45:10","N","315","1473.17800021","80.83400005"
"08/18/2023 09:00:17","N","315","1323.63000023","81.31000006"
"08/18/2023 09:15:12","N","315","1323.7110002","81.39900004"
"08/18/2023 09:30:11","N","315","1323.83200025","81.5200001"
"08/18/2023 09:45:18","N","315","1323.9530003","81.67200005"
"08/18/2023 10:00:21","N","315","1324.13500022","81.82600009"
"08/18/2023 10:15:16","N","315","1324.72100019","82.3440001"
"08/18/2023 10:30:15","N","315","1325.7740004","82.63900017"
"08/18/2023 10:45:16","N","315","1327.98699998","83.14800024"
"08/18/2023 11:00:22","N","315","1392.76200056","83.84100008"
"08/18/2023 11:15:17","N","315","1393.73800039","84.66900014"
"08/18/2023 11:30:17","N","315","1394.73600053","85.56700038"
"08/18/2023 11:45:17","N","315","1395.73500061","86.51900053"
"08/18/2023 12:00:24","N","85","606.71600055","57.43900012"
"08/18/2023 12:15:16","N","85","607.71800041","58.34899997"
"08/18/2023 12:30:16","N","85","608.64000034","59.23800086"
"08/18/2023 12:45:17","N","85","609.5020008","60.03200054"
"08/18/2023 13:00:25","N","85","655.30400085","105.75500011"
"08/18/2023 13:15:17","N","85","655.94100093","107.35300064"
"08/18/2023 13:30:16","N","85","656.82700061","111.06300067"
"08/18/2023 13:45:18","N","85","657.50700092","114.57600021"
"08/18/2023 14:00:23","N","85","658.14700126","117.98300075"
"08/18/2023 14:15:18","N","85","658.72500133","125.44600105"
"08/18/2023 14:30:18","N","85","656.65900135","131.83400058"
"08/18/2023 14:45:18","N","85","657.0730009","138.17500114"
"08/18/2023 15:00:24","N","285","1268.50100135","144.23500061"
"08/18/2023 15:15:19","N","285","1268.72800064","149.46100044"
"08/18/2023 15:30:20","N","285","1268.83200073","154.62900066"
"08/18/2023 15:45:18","N","285","1268.77000045","158.52600097"
"08/18/2023 16:00:27","N","285","1268.79100036","159.53400039"
"08/18/2023 16:15:25","N","285","1268.72800064","159.38100051"
"08/18/2023 16:30:20","N","285","1268.70800018","159.49200057"
"08/18/2023 16:45:20","N","285","1268.04500007","158.89200019"
"08/18/2023 17:00:31","N","285","1266.86700057","158.13600063"
"08/18/2023 17:15:21","N","285","1266.55800056","157.88100051"
"08/18/2023 17:30:23","N","285","1265.40300083","157.25600051"
"08/18/2023 17:45:21","N","285","1264.84700107","156.77900028"
"08/18/2023 18:00:35","N","285","1255.94200038","157.53400077"
"08/18/2023 18:15:24","N","285","1255.44900035","156.60000076"
"08/18/2023 18:30:22","N","285","1253.74600028","155.20200004"
"08/18/2023 18:45:18","N","285","1252.00699996","152.1340002"
"08/18/2023 19:00:25","N","285","1241.59900045","502.73800039"
"08/18/2023 19:15:21","N","285","1239.68500041","501.54100012"
"08/18/2023 19:30:20","N","285","1237.7570002","499.83500003"
"08/18/2023 19:45:20","N","285","1235.51700007","499.04500001"
"08/18/2023 20:00:25","N","285","1494.177","507.8"
"08/18/2023 20:15:19","N","285","1494","505.9"
"08/18/2023 20:30:17","N","285","1494","500.9"
"08/18/2023 20:45:18","N","285","1494","496.9"
"08/18/2023 21:00:23","N","285","1494","490.3"
"08/18/2023 21:15:19","N","285","1494","483.3"
"08/18/2023 21:30:18","N","285","1494","477.3"
"08/18/2023 21:45:17","N","285","1494","471.3"
"08/18/2023 22:00:27","N","315","1438","289.1"
"08/18/2023 22:15:18","N","315","1438","286.1"
"08/18/2023 22:30:19","N","315","1438","283.1"
"08/18/2023 22:45:17","N","315","1438","280.1"
"08/18/2023 23:00:22","N","315","1379","280"
"08/18/2023 23:15:17","N","315","1379","280"
"08/18/2023 23:30:17","N","315","1379","280"
"08/18/2023 23:45:17","N","315","1379","280"
