"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"08/26/2023 00:00:20","N","64113.74799","-602","64715.74799"
"08/26/2023 00:15:11","N","63476.53479","-589.8","64066.33479"
"08/26/2023 00:30:11","N","62327.293","-590.4","62917.693"
"08/26/2023 00:45:10","N","61734.06966","-590.3","62324.36966"
"08/26/2023 01:00:15","N","60553.75544","-649.1","61202.85544"
"08/26/2023 01:15:11","N","59711.41949","-715","60426.41949"
"08/26/2023 01:30:10","N","59019.9434","-713.7","59733.6434"
"08/26/2023 01:45:11","N","58170.11858","-715.2","58885.31858"
"08/26/2023 02:00:16","N","57638.19653","-656.1","58294.29653"
"08/26/2023 02:15:15","N","57169.66765","-591.2","57760.86765"
"08/26/2023 02:30:15","N","56449.61129","-591","57040.61129"
"08/26/2023 02:45:16","N","55903.86237","-590.2","56494.06237"
"08/26/2023 03:00:21","N","55478.0586","-602.5","56080.5586"
"08/26/2023 03:15:15","N","55130.55259","-564.7","55695.25259"
"08/26/2023 03:30:15","N","54789.24532","-565.1","55354.34532"
"08/26/2023 03:45:16","N","54247.90659","-566.1","54814.00659"
"08/26/2023 04:00:22","N","53584.66481","-566.3","54150.96481"
"08/26/2023 04:15:18","N","53702.50301","-566.1","54268.60301"
"08/26/2023 04:30:19","N","53289.84707","-565.9","53855.74707"
"08/26/2023 04:45:18","N","52928.15807","-566.2","53494.35807"
"08/26/2023 05:00:22","N","52491.10708","-566.2","53057.30708"
"08/26/2023 05:15:17","N","52409.50461","-565.4","52974.90461"
"08/26/2023 05:30:16","N","52521.09017","-566.2","53087.29017"
"08/26/2023 05:45:16","N","52181.93299","-565.9","52747.83299"
"08/26/2023 06:00:23","N","52382.47628","-556.7","52939.17628"
"08/26/2023 06:15:17","N","52335.82682","-550","52885.82682"
"08/26/2023 06:30:17","N","52452.34481","-550","53002.34481"
"08/26/2023 06:45:17","N","52037.70095","-549.9","52587.60095"
"08/26/2023 07:00:23","N","52124.64821","-459.9","52584.54821"
"08/26/2023 07:15:17","N","52463.81021","-368.8","52832.61021"
"08/26/2023 07:30:16","N","52054.3186","-368.4","52422.7186"
"08/26/2023 07:45:17","N","52303.1093","-368.8","52671.9093"
"08/26/2023 08:00:25","N","53244.67847","-368.9","53613.57847"
"08/26/2023 08:15:17","N","54198.82417","-368.7","54567.52417"
"08/26/2023 08:30:17","N","55408.36719","-368.9","55777.26719"
"08/26/2023 08:45:16","N","56678.82316","-368.7","57047.52316"
"08/26/2023 09:00:23","N","57704.9332","-369","58073.9332"
"08/26/2023 09:15:17","N","58984.06993","-368.9","59352.96993"
"08/26/2023 09:30:17","N","60124.00021","-368.9","60492.90021"
"08/26/2023 09:45:15","N","61405.46709","-368.7","61774.16709"
"08/26/2023 10:00:23","N","62818.19581","-377.9","63196.09581"
"08/26/2023 10:15:18","N","63744.84074","-396.1","64140.94074"
"08/26/2023 10:30:17","N","65188.00042","-395.8","65583.80042"
"08/26/2023 10:45:17","N","66344.38751","-395.8","66740.18751"
"08/26/2023 11:00:21","N","67759.02725","-603.3","68362.32725"
"08/26/2023 11:15:17","N","69032.29695","-846.2","69878.49695"
"08/26/2023 11:30:17","N","70056.44184","-846.5","70902.94184"
"08/26/2023 11:45:17","N","71433.64285","-847.4","72281.04285"
"08/26/2023 12:00:22","N","72696.5043","-858.7","73555.2043"
"08/26/2023 12:15:18","N","73805.0959","-891.7","74696.7959"
"08/26/2023 12:30:16","N","74996.76783","-893.4","75890.16783"
"08/26/2023 12:45:17","N","75918.74845","-891.6","76810.34845"
"08/26/2023 13:00:24","N","76906.45551","-918.5","77824.95551"
"08/26/2023 13:15:17","N","77600.73781","-931.4","78532.13781"
"08/26/2023 13:30:17","N","77757.95145","-930.6","78688.55145"
"08/26/2023 13:45:18","N","78454.57743","-930.7","79385.27743"
"08/26/2023 14:00:24","N","78552.53362","-922.7","79475.23362"
"08/26/2023 14:15:19","N","78914.88376","-918.2","79833.08376"
"08/26/2023 14:30:19","N","79058.52907","-918.5","79977.02907"
"08/26/2023 14:45:18","N","79179.37135","-918.3","80097.67135"
"08/26/2023 15:00:24","N","79583.19538","-916.9","80500.09538"
"08/26/2023 15:15:17","N","79699.13442","-909.7","80608.83442"
"08/26/2023 15:30:16","N","79878.06447","-909.1","80787.16447"
"08/26/2023 15:45:17","N","80421.4506","-910","81331.4506"
"08/26/2023 16:00:23","N","80589.71194","-909.5","81499.21194"
"08/26/2023 16:15:16","N","80683.0935","-906.1","81589.1935"
"08/26/2023 16:30:18","N","80480.97788","-905.9","81386.87788"
"08/26/2023 16:45:17","N","80886.04824","-904.9","81790.94824"
"08/26/2023 17:00:24","N","81060.47819","-905.6","81966.07819"
