"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"09/02/2023 00:00:29","N","14029.45224","-218.7","14248.15224"
"09/02/2023 00:15:19","N","13917.933","-218.8","14136.733"
"09/02/2023 00:30:19","N","13747.70239","-218.7","13966.40239"
"09/02/2023 00:45:19","N","13938.46199","-218.6","14157.06199"
"09/02/2023 01:00:28","N","14178.83279","-218.6","14397.43279"
"09/02/2023 01:15:19","N","13978.28773","-218.7","14196.98773"
"09/02/2023 01:30:18","N","13496.56494","-218.8","13715.36494"
"09/02/2023 01:45:18","N","12911.1434","-218.7","13129.8434"
"09/02/2023 02:00:27","N","12533.01235","-218.8","12751.81235"
"09/02/2023 02:15:19","N","12354.7598","-218.7","12573.4598"
"09/02/2023 02:30:18","N","12241.10696","-218.8","12459.90696"
"09/02/2023 02:45:19","N","11992.80306","-218.8","12211.60306"
"09/02/2023 03:00:24","N","11709.12189","-218.9","11928.02189"
"09/02/2023 03:15:17","N","11656.33289","-218.9","11875.23289"
"09/02/2023 03:30:18","N","11382.4611","-218.9","11601.3611"
"09/02/2023 03:45:17","N","11215.84903","-218.8","11434.64903"
"09/02/2023 04:00:27","N","11026.65684","-218.8","11245.45684"
"09/02/2023 04:15:19","N","10858.19268","-218.8","11076.99268"
"09/02/2023 04:30:19","N","10676.29855","-218.8","10895.09855"
"09/02/2023 04:45:17","N","10553.94479","-218.7","10772.64479"
"09/02/2023 05:00:23","N","10315.00176","-198","10513.00176"
"09/02/2023 05:15:18","N","10162.95372","-168.7","10331.65372"
"09/02/2023 05:30:21","N","9852.98009","-168.6","10021.58009"
"09/02/2023 05:45:17","N","9638.97512","-168.6","9807.57512"
"09/02/2023 06:00:25","N","9589.26409","-168.6","9757.86409"
"09/02/2023 06:15:16","N","9523.11425","-168.6","9691.71425"
"09/02/2023 06:30:20","N","9297.59243","-168.6","9466.19243"
"09/02/2023 06:45:19","N","9085.03204","-168.7","9253.73204"
"09/02/2023 07:00:24","N","8810.11275","-168.6","8978.71275"
"09/02/2023 07:15:17","N","8556.79269","-168.6","8725.39269"
"09/02/2023 07:30:18","N","8162.86785","-168.6","8331.46785"
"09/02/2023 07:45:18","N","8035.75851","-168.6","8204.35851"
