"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"09/08/2023 00:00:28","N","7","483.28100061","8.7"
"09/08/2023 00:15:18","N","7","483.02500391","8.7"
"09/08/2023 00:30:19","N","7","482.99200296","8.7"
"09/08/2023 00:45:16","N","7","482.36700296","8.7"
"09/08/2023 01:00:24","N","7","483.23200464","2.2"
"09/08/2023 01:15:18","N","7","482.9360032","2.2"
"09/08/2023 01:30:16","N","7","483.20600366","2.2"
"09/08/2023 01:45:16","N","7","480.76000452","2.2"
"09/08/2023 02:00:22","N","7","480.62100481","1.1"
"09/08/2023 02:15:18","N","7","489.51600575","1.1"
"09/08/2023 02:30:16","N","7","490.77700686","1.1"
"09/08/2023 02:45:17","N","7","492.41600537","1.1"
"09/08/2023 03:00:20","N","7","482.43600583",".1"
"09/08/2023 03:15:16","N","7","481.10300564",".1"
"09/08/2023 03:30:16","N","7","443.96300625",".1"
"09/08/2023 03:45:17","N","39.69222259","476.65522885","32.79222259"
"09/08/2023 04:00:22","N","31.36488533","477.82789158","28.26488533"
"09/08/2023 04:15:16","N","30.83952522","477.80253148","27.73952522"
"09/08/2023 04:30:18","N","30.80090141","477.76390767","27.70090141"
"09/08/2023 04:45:16","N","26.1824665","472.84547352","23.0824665"
"09/08/2023 05:00:20","N","26.36142539","464.22443222","19.36142539"
"09/08/2023 05:15:17","N","26.0551567","463.41816353","19.0551567"
"09/08/2023 05:30:17","N","25.99439811","462.95740437","18.99439811"
"09/08/2023 05:45:16","N","7","463.56797337","19.60496711"
"09/08/2023 06:00:22","N","7","800.07086253","22.20785713"
"09/08/2023 06:15:16","N","7","795.18270182","17.37069587"
"09/08/2023 06:30:16","N","7","792.67828392","17.16627827"
"09/08/2023 06:45:16","N","7","811.67931675","36.21631164"
"09/08/2023 07:00:23","N","7","625.91019654","28.74719238"
"09/08/2023 07:15:16","N","7","635.95667099","39.29466629"
"09/08/2023 07:30:16","N","7","636.74500346","42.85229539"
"09/08/2023 07:45:16","N","7","631.1204914","32.74892987"
"09/08/2023 08:00:24","N","7","464.29550993","32.77950955"
"09/08/2023 08:15:16","N","8.00800001","467.1814692","26.81918165"
"09/08/2023 08:30:17","N","7","475.86520385","27.17289183"
"09/08/2023 08:45:16","N","7","472.22401034","24.68444774"
"09/08/2023 09:00:21","N","7","469.06785488","26.73268699"
"09/08/2023 09:15:16","N","7","469.53672218","27.09014701"
"09/08/2023 09:30:17","N","7","472.01978588","25.10761737"
"09/08/2023 09:45:17","N","7","473.65126585","21.4300487"
"09/08/2023 10:00:21","N","7","475.74371862","20.12632279"
"09/08/2023 10:15:17","N","7","472.05615711","18.63103203"
"09/08/2023 10:30:17","N","7","477.38835763","40.24566345"
"09/08/2023 10:45:16","N","7","481.01573896","42.46972994"
"09/08/2023 11:00:24","N","7","479.44755291","42.59621088"
"09/08/2023 11:15:16","N","7","480.47363519","36.74445013"
"09/08/2023 11:30:18","N","7","479.60705614","41.48105936"
"09/08/2023 11:45:16","N","7","483.57134103","57.96447782"
"09/08/2023 12:00:26","N","7","553.93948936","50.67361745"
"09/08/2023 12:15:17","N","7","553.98000764","54.08681068"
"09/08/2023 12:30:19","N","7","552.14694833","42.52217206"
"09/08/2023 12:45:18","N","7","547.9958043","35.06211872"
"09/08/2023 13:00:28","N","7","468.14706563","27.37744951"
"09/08/2023 13:15:19","N","7","464.97060632","20.95267963"
"09/08/2023 13:30:19","N","7","462.34850549","19.8499937"
"09/08/2023 13:45:17","N","7","465.48903656","17.99395287"
"09/08/2023 14:00:25","N","7","395.78623867","16.34004803"
"09/08/2023 14:15:20","N","7","391.42574214","15.90473985"
"09/08/2023 14:30:21","N","7","383.81750249","16.17350006"
"09/08/2023 14:45:19","N","7","382.34400272","14.48799943"
"09/08/2023 15:00:25","N","7","383.46743297","30.91442947"
"09/08/2023 15:15:18","N","7","380.38772201","30.62171916"
"09/08/2023 15:30:18","N","7","384.51010274","30.50609998"
"09/08/2023 15:45:19","N","7","380.13811254","29.10198907"
"09/08/2023 16:00:23","N","7","858.73871135","13.01096847"
"09/08/2023 16:15:19","N","7","855.40170168","123.28871011"
"09/08/2023 16:30:19","N","7","855.24000144","115.89475059"
"09/08/2023 16:45:19","N","7","850.60804176","109.62034606"
"09/08/2023 17:00:27","N","7","522.17007017","51.64949607"
"09/08/2023 17:15:20","N","7","521.25280034","70.61942338"
"09/08/2023 17:30:21","N","7","523.51936006","125.17558813"
"09/08/2023 17:45:19","N","7","522.90468072","110.82661151"
"09/08/2023 18:00:24","N","7","882.21926426","214.9462747"
"09/08/2023 18:15:25","N","7","887.36450028","25.68232316"
"09/08/2023 18:30:20","N","7","880.7428435","25.58817882"
"09/08/2023 18:45:18","N","7","882.82593321","78.16234083"
