"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL  WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"09/14/2023 00:00:26","N","8377.10815189","9784.998275","4727.03503417","37.62204742","37.62204742","0","564.29653414","597.64999771","530","9209.55221"
"09/14/2023 00:15:18","N","7997.53472794","9774.28039345","4688.44555124","32.84571838","32.84571838","0","559.77150531","582.54000091","515","8763.07006"
"09/14/2023 00:30:18","N","7715.9016348","9561.58385759","4504.03503417","31.90594673","31.90594673","0","556.30485728","583.52999877","514","8291.20712"
"09/14/2023 00:45:18","N","7559.19846244","9559.81581669","4502.64690094","31.33875083","31.33875083","0","561.96920231","590.49999999","521","8183.54073"
"09/14/2023 01:00:20","N","7766.90446067","9642.80346459","4505.03503417","22.32754325","22.32754325","0","563.89390022","595.51499775","526.36500003","8176.36733"
"09/14/2023 01:15:17","N","7467.76760218","9566.5574822","4505.0446033","10.78842163","10.78842163","0","561.42966391","594.69399622","525.44400003","8186.35953"
"09/14/2023 01:30:17","N","7256.52971428","9564.93512133","4504.3350296","1.43625783","1.43625783","0","570.21027362","591.32999801","522","7924.4529"
"09/14/2023 01:45:15","N","7259.71846142","9562.86970725","4505.03503417","5.72111034","5.72111034","0","568.22726897","589.33999633","520","7879.91818"
"09/14/2023 02:00:21","N","7071.34014413","9616.13891226","4507.03503417","3.05918693","3.05918693","0","557.8378238","588.14999771","525","7716.93789"
"09/14/2023 02:15:17","N","7149.46292366","9605.43232483","4507.04604763","1.15401124","1.15401124","0","570.73837536","590.14999771","527","7769.11718"
"09/14/2023 02:30:15","N","7051.21515059","9675.35256286","4757.03503417","0","0","0","564.75423185","601.92332887","525.00332677","7726.18182"
"09/14/2023 02:45:16","N","7043.71052389","9734.31537189","4757.03503417","0","0","0","573.49285575","602.75903797","525.01903629","7647.10786"
"09/14/2023 03:00:21","N","7190.68092598","9875.63656351","4757.03503417","0","0","0","566.93127105","600.3787384","529.01873767","7688.86702"
"09/14/2023 03:15:16","N","7148.4287155","9875.38923255","4757.03503417","0","0","0","564.85429625","600.32658743","527.56658911","7710.15894"
"09/14/2023 03:30:16","N","7130.27951932","9875.65098827","4757.0460345","0","0","0","568.20641948","602.114017","528.51401853","7707.52496"
"09/14/2023 03:45:16","N","7152.29243338","9875.6010033","4757.03503417","0","0","0","568.16999609","602.14021658","528.51021552","7739.8"
"09/14/2023 04:00:22","N","7348.27798148","10079.2073302","4766.9350357","0","0","0","405.05110983","437.21837796","393.62837781","7677.40639"
"09/14/2023 04:15:17","N","7506.35889729","10042.87607416","4768.03503417","0","0","0","407.85408635","439.24000167","395","7823.31056"
"09/14/2023 04:30:17","N","7495.36204549","10043.92489538","4768.03503417","0","0","0","411.90567918","442.68240165","397.23240101","7824.21034"
"09/14/2023 04:45:16","N","7492.03558044","10036.95626642","4961.53503417","0","0","0","410.29092989","442.49999999","398","7911.74434"
"09/14/2023 05:00:24","N","7472.57932267","10051.40162536","5016.83503341","0","0","0","414.60081761","438.50182747","401.00182735","7905.04012"
"09/14/2023 05:15:15","N","7811.43102924","10167.46757589","4961.03503417","0","0","0","408.1360861","434.67000198","397","8101.40372"
"09/14/2023 05:30:15","N","8030.76398421","10173.82512622","4961.03503417","0","0","0","407.1369067","431.89720582","393.2472043","8319.53926"
"09/14/2023 05:45:15","N","8530.82788598","10415.74784281","4993.03503417","0","0","0","403.26506409","431.21883177","391.00883257","8648.55502"
"09/14/2023 06:00:21","N","8879.01584139","10275.82753843","5159.03503417","0","0","0","405.96376676","426.81314778","392.00314652","9106.08895"
"09/14/2023 06:15:16","N","9164.85444818","10272.1476914","5159.03503417","0","0","0","407.65879935","430.80794715","394.02794849","9496.84902"
"09/14/2023 06:30:17","N","9554.93553058","10323.63966798","5213.59340286","0","0","0","408.15744591","429.78856968","393.02857136","9822.6932"
"09/14/2023 06:45:17","N","9778.90691343","10324.9466655","5268.68007278","0","0","0","413.42339511","436.26788735","399.51788735","10025.31923"
"09/14/2023 07:00:22","N","9817.42531015","10144.47985644","5233.22513961","0","0","0","431.74235545","446.72570896","409.00570738","10222.36348"
"09/14/2023 07:15:17","N","9831.56243309","10261.50836078","5233.22513961","0","0","0","423.17759568","451.42844653","410.50844812","10211.63977"
"09/14/2023 07:30:16","N","9813.85074022","10336.9589526","5233.22513961","0","0","0","426.87446842","455.7278192","415.01782023","10279.20669"
"09/14/2023 07:45:16","N","9614.82661008","10427.81220089","5232.31184005","31.97457313","31.97457313","0","423.82476763","456.26000213","413","10207.53779"
"09/14/2023 08:00:21","N","9895.83838752","10523.80525293","5233.81184005","26.27451133","26.27451133","0","417.53433034","473.23000335","410","10212.82235"
"09/14/2023 08:15:17","N","10018.75697749","10555.95964633","5233.81184005","2.1984055","2.1984055","0","415.21163547","468.22000122","405","10379.75661"
"09/14/2023 08:30:17","N","9731.17026459","10529.48300813","5233.81184005","0","0","0","422.50989063","477.22000122","414","10285.76826"
