"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM  HASL  WGR","SUM  LASL  WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"09/16/2023 00:00:25","N","18339.82253723","20985.81982882","11948.85697558","488.48055269","488.48055269","0","50.56003805","471.70000076","50","18805.01668"
"09/16/2023 00:15:21","N","18462.44179992","20986.37357028","11882.26830676","474.42953233","474.42953233","0","50.05210494","471.70000076","50","18845.3141"
"09/16/2023 00:30:19","N","18357.92771606","20959.14978488","11882.95977404","450.85564491","450.85564491","0","50.0519905","471.70000076","50","18857.97694"
"09/16/2023 00:45:18","N","18191.48327331","20946.90234835","11883.53948596","407.49534294","407.49534294","0","50.0518608","470.70999908","50","18606.24455"
"09/16/2023 01:00:22","N","18165.25196533","20978.12146075","11879.55093005","367.92684695","367.92684695","0","50.05187606","240","50","18559.44927"
"09/16/2023 01:15:18","N","17820.49302368","20944.13867266","11879.78722766","358.60290212","358.60290212","0","50.05179977","240","50","18267.326"
"09/16/2023 01:30:17","N","17789.04520874","20947.89783557","11870.452755","320.97657678","320.97657678","0","50.05185317","240","50","18123.60597"
"09/16/2023 01:45:18","N","17680.33691101","20959.67126544","11882.39556506","291.07108281","291.07108281","0","50.0517807","240","50","17985.06909"
"09/16/2023 02:00:23","N","17837.10012512","20913.22601397","11885.01159289","242.38483069","242.38483069","0","50.05187606","240","50","18045.99748"
"09/16/2023 02:15:18","N","17375.84925537","20674.42723925","11762.85287097","210.39194689","210.39194689","0","50.05175781","240","50","17596.00247"
"09/16/2023 02:30:16","N","16928.94646911","20647.01284106","11786.44102099","234.7769948","234.7769948","0","50.05160522","240","50","17315.18289"
"09/16/2023 02:45:17","N","17016.81466369","20654.39397509","11738.91492846","207.84723999","207.84723999","0","50.05168914","240","50","17267.63806"
"09/16/2023 03:00:21","N","16638.70945434","20628.88900073","11753.7271538","176.54954976","176.54954976","0","50.05160522","240","50","17076.26981"
"09/16/2023 03:15:16","N","16039.69738464","20586.59096606","11749.29169848","219.15317923","219.15317923","0","50.05150222","240","50","16523.83585"
