"SCED Time Stamp","Repeated Hour Flag","SUM TELEM GEN MW","SUM TELEM DCTIE MW","AGG LOAD SUMMARY"
"09/21/2023 00:00:22","N","14980.44089","346.9","14633.54089"
"09/21/2023 00:15:16","N","14264.49027","359.8","13904.69027"
"09/21/2023 00:30:16","N","13585.45345","359.7","13225.75345"
"09/21/2023 00:45:17","N","13366.60589","359.6","13007.00589"
"09/21/2023 01:00:21","N","13068.43707","359.1","12709.33707"
"09/21/2023 01:15:16","N","12891.06034","359.8","12531.26034"
"09/21/2023 01:30:16","N","12802.85423","359.8","12443.05423"
"09/21/2023 01:45:16","N","12589.47049","359.8","12229.67049"
"09/21/2023 02:00:22","N","12368.83029","357.9","12010.93029"
"09/21/2023 02:15:16","N","12290.90596","357","11933.90596"
"09/21/2023 02:30:17","N","11965.43167","356.4","11609.03167"
"09/21/2023 02:45:16","N","11778.52329","356.7","11421.82329"
"09/21/2023 03:00:20","N","11620.733","357.1","11263.633"
"09/21/2023 03:15:17","N","11777.58654","356.7","11420.88654"
"09/21/2023 03:30:16","N","11781.33742","356.5","11424.83742"
"09/21/2023 03:45:17","N","11839.05446","357.1","11481.95446"
"09/21/2023 04:00:22","N","11747.28756","356.9","11390.38756"
"09/21/2023 04:15:17","N","11887.91903","356.9","11531.01903"
"09/21/2023 04:30:19","N","11963.96269","356.9","11607.06269"
"09/21/2023 04:45:17","N","12143.67483","356.8","11786.87483"
"09/21/2023 05:00:20","N","12333.90657","359.7","11974.20657"
"09/21/2023 05:15:16","N","12524.31046","359.6","12164.71046"
"09/21/2023 05:30:17","N","12726.82927","359.7","12367.12927"
"09/21/2023 05:45:16","N","13104.84117","359.7","12745.14117"
"09/21/2023 06:00:22","N","12938.22165","301.5","12636.72165"
"09/21/2023 06:15:17","N","13010.60477","292.5","12718.10477"
"09/21/2023 06:30:18","N","13379.48455","292.6","13086.88455"
"09/21/2023 06:45:17","N","13621.96917","292.6","13329.36917"
"09/21/2023 07:00:23","N","13614.72659","338.1","13276.62659"
"09/21/2023 07:15:17","N","13686.18144","346","13340.18144"
"09/21/2023 07:30:17","N","13668.7696","345.8","13322.9696"
"09/21/2023 07:45:18","N","13631.70643","346","13285.70643"
"09/21/2023 08:00:20","N","13736.37882","298.5","13437.87882"
"09/21/2023 08:15:16","N","13667.98966","292.5","13375.48966"
"09/21/2023 08:30:16","N","13720.1647","292.5","13427.6647"
"09/21/2023 08:45:16","N","13843.31026","292.6","13550.71026"
"09/21/2023 09:00:18","N","13963.54939","173.5","13790.04939"
"09/21/2023 09:15:16","N","14062.07568","141.4","13920.67568"
"09/21/2023 09:30:16","N","14001.10011","141.4","13859.70011"
"09/21/2023 09:45:15","N","14441.89597","141.6","14300.29597"
"09/21/2023 10:00:20","N","14665.24478","141.6","14523.64478"
"09/21/2023 10:15:14","N","14805.67208","141.5","14664.17208"
"09/21/2023 10:30:16","N","14969.22173","141.5","14827.72173"
"09/21/2023 10:45:15","N","15289.7378","141.5","15148.2378"
"09/21/2023 11:00:20","N","15459.59276","141.5","15318.09276"
"09/21/2023 11:15:15","N","15288.43723","141.4","15147.03723"
"09/21/2023 11:30:16","N","15557.99004","141.4","15416.59004"
"09/21/2023 11:45:15","N","15860.43378","141.2","15719.23378"
"09/21/2023 12:00:21","N","16340.70527","141.9","16198.80527"
"09/21/2023 12:15:17","N","17009.02285","141.3","16867.72285"
"09/21/2023 12:30:16","N","16989.84567","141.5","16848.34567"
"09/21/2023 12:45:16","N","17272.83872","141.4","17131.43872"
"09/21/2023 13:00:20","N","17805.14533","69.1","17736.04533"
"09/21/2023 13:15:18","N","18105.07756","-.3","18105.37756"
"09/21/2023 13:30:16","N","18580.93604","-.2","18581.13604"
"09/21/2023 13:45:18","N","19101.59906","-.4","19101.99906"
"09/21/2023 14:00:20","N","19297.27533","-.2","19297.47533"
"09/21/2023 14:15:18","N","19384.32138","-.2","19384.52138"
"09/21/2023 14:30:17","N","19268.88196","-.2","19269.08196"
"09/21/2023 14:45:18","N","19695.99664","-.4","19696.39664"
"09/21/2023 15:00:21","N","19673.82206","57.5","19616.32206"
"09/21/2023 15:15:18","N","19647.57597","75.1","19572.47597"
"09/21/2023 15:30:18","N","20141.36294","75.1","20066.26294"
"09/21/2023 15:45:19","N","20125.9617","74.6","20051.3617"
