SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
05/31/2024 00:00:16,N,11331.12227242,14210.79937536,8505.71169393,1614.89733821,1614.78733825,0,158.20449829,723.65202713,50,13095.44604
05/31/2024 00:15:10,N,11205.55417994,14230.82223241,8516.87714498,1735.59409707,1736.47409697,0,110.80000305,731.84200859,50,13110.54935
05/31/2024 00:30:09,N,11332.49466049,14241.52509125,8542.14783859,1552.7170173,1552.55701727,.03999999,103.59999847,732.30402565,50,12968.99412
05/31/2024 00:45:10,N,11279.67504616,14143.02639422,8541.80265597,1857.65862011,1860.88862013,0,118.57641601,729.53201484,50,13312.91459
05/31/2024 01:00:15,N,11490.87824228,14197.25496546,8546.26377658,2033.39913263,2038.77913179,.14699999,92.05137252,685.15600013,50,13450.91693
05/31/2024 01:15:11,N,12282.41022558,14204.3470746,8542.5290964,1415.73392951,1420.09392917,.38999998,92.05229187,685.37801933,50,13503.55639
05/31/2024 01:30:10,N,11563.9134176,14167.36284009,8542.98788241,1696.39482117,1696.18482114,0,96.85369014,685.56601142,50,13377.48736
05/31/2024 01:45:11,N,11436.1759057,14169.29006614,8550.50147799,1611.71674679,1606.08174726,.003,100.05360984,685.83600807,50,13066.99184
05/31/2024 02:00:15,N,11256.59779056,14101.3294742,8554.73391513,2017.39547109,2017.39547109,0,106.05551528,703.73299598,50,13343.24493
05/31/2024 02:15:11,N,11669.27206509,14099.71066934,8553.50056246,1500.71518266,1501.78518187,0,92.05152511,703.70201301,50,13180.51287
05/31/2024 02:30:10,N,11902.45548222,14091.12991679,8556.46778659,1273.34903863,1274.47903779,.081,167.86883544,704.01199531,50,13209.68549
05/31/2024 02:45:10,N,11871.82386632,14224.27296386,8704.75082186,1374.29452354,1374.47452336,.41611129,92.05159378,704.28099632,50,13215.76062
05/31/2024 03:00:15,N,11960.54205486,14238.30250131,8711.86489657,1307.49110298,1307.19110327,0,92.05145263,714.51900672,50,13291.62464
05/31/2024 03:15:10,N,11645.15099411,14231.98404951,8706.74360446,1405.71327978,1408.52327972,0,92.05141448,713.55700492,50,13231.21774
05/31/2024 03:30:11,N,11847.47304929,14486.36913636,8860.41230563,1327.70114207,1327.72114205,0,92.05149078,713.1680088,50,13169.21692
05/31/2024 03:45:15,N,11859.48041538,14348.38430208,8876.62472323,1426.90979057,1427.13979053,0,92.0513916,712.96500205,50,13313.46597
05/31/2024 04:00:14,N,11626.60250267,15245.59959386,9315.60033969,1275.68879349,1275.86879344,.44999998,92.0511322,660.12799263,50,13291.17337
05/31/2024 04:15:10,N,12188.63386354,15381.73683166,9274.00065402,1347.57336141,1347.56336142,0,93.12850654,660.76400184,50,13176.44341
05/31/2024 04:30:13,N,12213.60813337,15363.39512439,9272.38793734,1389.14533412,1389.0653342,0,99.49175739,657.16200447,50,13592.51597
05/31/2024 04:45:10,N,12274.10885659,15368.09380178,9275.20506076,1360.07913884,1360.81913882,0,134.85537147,657.4160099,50,13590.63
05/31/2024 05:00:14,N,12485.39724528,15367.12651612,9345.44630221,1195.0903581,1195.46035808,0,92.05121994,614.09499931,50,13669.28253
05/31/2024 05:15:09,N,12965.34860511,15342.34916767,9368.11840609,1164.22244411,1164.2324441,0,92.05162811,614.26599311,50,14075.29541
