SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
05/31/2024 00:00:16,N,1375.30000305,4880.85126399,98.4
05/31/2024 00:15:10,N,1375.30000305,4880.34124279,98.4
05/31/2024 00:30:09,N,1375.30000305,4880.80325984,98.4
05/31/2024 00:45:10,N,1375.30000305,4880.53124904,98.4
05/31/2024 01:00:15,N,1375.19999694,4829.15521907,92
05/31/2024 01:15:11,N,1375.19999694,4829.37723827,92
05/31/2024 01:30:10,N,1600.74925231,5055.11448574,92
05/31/2024 01:45:11,N,1600.83354187,5055.46877193,92
05/31/2024 02:00:15,N,1602.04977416,5057.18202114,120.6
05/31/2024 02:15:11,N,1376.39999389,4831.50125789,120.6
05/31/2024 02:30:10,N,1376.39999389,4831.81124019,120.6
05/31/2024 02:45:10,N,1376.39999389,4832.0802412,120.6
05/31/2024 03:00:15,N,1376.19999694,4881.91822719,92
05/31/2024 03:15:10,N,1376.19999694,4880.95622539,92
05/31/2024 03:30:11,N,1376.19999694,4880.56722927,92
05/31/2024 03:45:15,N,1376.19999694,4880.36422252,92
05/31/2024 04:00:14,N,1377,4828.52722835,92
05/31/2024 04:15:10,N,1377,4826.56323909,92
05/31/2024 04:30:13,N,1377,4822.96124172,92
05/31/2024 04:45:10,N,1377,4823.21524715,92
05/31/2024 05:00:14,N,1377,4819.69422435,92.2
05/31/2024 05:15:09,N,1377,4819.86521816,92.2
05/31/2024 05:30:10,N,1377,4816.07123088,92.2
05/31/2024 05:45:09,N,1377,4816.16222286,92.2
05/31/2024 06:00:13,N,1377.1000061,4933.32623195,141.8
05/31/2024 06:15:10,N,1377.1000061,4932.17525768,141.8
05/31/2024 06:30:10,N,1377.1000061,4931.28723812,141.8
05/31/2024 06:45:10,N,1377.1000061,4930.91024684,141.8
05/31/2024 07:00:13,N,1377.5,4928.50424861,133.2
05/31/2024 07:15:09,N,1377.5,4927.61724758,133.2
05/31/2024 07:30:07,N,1377.5,4927.70822811,133.2
05/31/2024 07:45:08,N,1377.5,4927.7812376,133.2
05/31/2024 08:00:11,N,1376.39999389,4804.6042242,241.9
05/31/2024 08:15:07,N,1376.39999389,4804.76723003,241.9
05/31/2024 08:30:08,N,1376.39999389,4804.83924007,241.9
05/31/2024 08:45:09,N,1376.39999389,4807.44723415,241.9
05/31/2024 09:00:14,N,1375.80000305,4802.08023738,146.3
05/31/2024 09:15:11,N,1600.04658508,5022.35082149,146.3
05/31/2024 09:30:11,N,1599.78907775,5022.09730434,146.3
05/31/2024 09:45:09,N,1375.80000305,4795.50722789,146.3
05/31/2024 10:00:14,N,1374.80000305,4790.40523052,102.6
05/31/2024 10:15:09,N,1374.80000305,4790.41522884,102.6
05/31/2024 10:30:10,N,1374.80000305,4790.3562231,102.6
