SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
06/02/2024 00:00:15,N,51973.87434,-153.8,52127.67434
06/02/2024 00:15:10,N,51622.35239,-167.1,51789.45239
06/02/2024 00:30:11,N,51034.75777,-224.7,51259.45777
06/02/2024 00:45:10,N,50494.70262,-224.9,50719.60262
06/02/2024 01:00:18,N,49842.06306,-257.2,50099.26306
06/02/2024 01:15:13,N,49399.31337,-273.1,49672.41337
06/02/2024 01:30:09,N,48825.87916,-273,49098.87916
06/02/2024 01:45:10,N,48329.31709,-272.6,48601.91709
06/02/2024 02:00:15,N,48135.27295,-259,48394.27295
06/02/2024 02:15:09,N,47433.33936,-248.3,47681.63936
06/02/2024 02:30:10,N,47058.51529,-274.5,47333.01529
06/02/2024 02:45:08,N,46867.96066,-273.9,47141.86066
06/02/2024 03:00:13,N,46619.34834,-273.4,46892.74834
06/02/2024 03:15:09,N,46421.36817,-273.4,46694.76817
06/02/2024 03:30:10,N,45932.82733,-274.5,46207.32733
06/02/2024 03:45:14,N,45694.55785,-274.5,45969.05785
06/02/2024 04:00:16,N,45647.1201,-274.2,45921.3201
06/02/2024 04:15:10,N,45530.21163,-274.3,45804.51163
06/02/2024 04:30:13,N,45235.07378,-274.3,45509.37378
06/02/2024 04:45:09,N,45107.12746,-274.3,45381.42746
06/02/2024 05:00:15,N,44932.52209,-300.2,45232.72209
06/02/2024 05:15:09,N,45100.12743,-327.9,45428.02743
06/02/2024 05:30:10,N,45207.87669,-346.1,45553.97669
06/02/2024 05:45:09,N,44927.19103,-344.5,45271.69103
06/02/2024 06:00:16,N,45086.06476,-416.2,45502.26476
06/02/2024 06:15:10,N,45138.94908,-428,45566.94908
06/02/2024 06:30:10,N,44927.53881,-428,45355.53881
06/02/2024 06:45:08,N,44746.76287,-471.9,45218.66287
06/02/2024 07:00:19,N,44803.32344,-520,45323.32344
