SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
06/07/2024 00:00:15,N,16660.1817,-155.1,16815.2817
06/07/2024 00:15:09,N,16750.74314,-99,16849.74314
06/07/2024 00:30:10,N,16562.19345,-99,16661.19345
06/07/2024 00:45:11,N,16258.62715,-99,16357.62715
06/07/2024 01:00:17,N,15856.12263,-99,15955.12263
06/07/2024 01:15:10,N,15657.0542,-99,15756.0542
06/07/2024 01:30:11,N,15879.57975,-99,15978.57975
06/07/2024 01:45:10,N,16224.12801,-98,16322.12801
06/07/2024 02:00:17,N,16400.1299,-98,16498.1299
06/07/2024 02:15:11,N,16319.64281,-99,16418.64281
06/07/2024 02:30:11,N,16767.67502,-99,16866.67502
06/07/2024 02:45:09,N,16649.92033,-99,16748.92033
06/07/2024 03:00:17,N,16803.87731,-99,16902.87731
06/07/2024 03:15:11,N,16690.31448,-99,16789.31448
06/07/2024 03:30:10,N,16789.76186,-98,16887.76186
06/07/2024 03:45:12,N,16783.17259,-99,16882.17259
06/07/2024 04:00:15,N,16667.96348,-57,16724.96348
06/07/2024 04:15:10,N,16690.59391,0,16690.59391
06/07/2024 04:30:14,N,16484.21075,0,16484.21075
06/07/2024 04:45:10,N,16911.19788,0,16911.19788
06/07/2024 05:00:15,N,16728.63159,1,16727.63159
06/07/2024 05:15:10,N,17082.86023,0,17082.86023
06/07/2024 05:30:09,N,16562.01601,0,16562.01601
06/07/2024 05:45:09,N,16479.58354,1,16478.58354
06/07/2024 06:00:14,N,16471.32518,-136.1,16607.42518
06/07/2024 06:15:10,N,16168.3974,-298.1,16466.4974
06/07/2024 06:30:11,N,16172.81884,-297.1,16469.91884
06/07/2024 06:45:09,N,15908.1229,-298.1,16206.2229
06/07/2024 07:00:15,N,16191.69055,-271.1,16462.79055
06/07/2024 07:15:09,N,16147.47097,-100,16247.47097
06/07/2024 07:30:10,N,16715.17223,-87,16802.17223
06/07/2024 07:45:09,N,17042.2063,-87,17129.2063
06/07/2024 08:00:12,N,17575.60033,-1,17576.60033
06/07/2024 08:15:07,N,17756.77169,280.1,17476.67169
06/07/2024 08:30:09,N,18292.09535,405.2,17886.89535
06/07/2024 08:45:08,N,18067.26131,405.2,17662.06131
06/07/2024 09:00:16,N,18181.70542,361.2,17820.50542
06/07/2024 09:15:09,N,17627.64485,0,17627.64485
06/07/2024 09:30:09,N,17701.08331,0,17701.08331
06/07/2024 09:45:10,N,17889.9803,0,17889.9803
06/07/2024 10:00:14,N,18746.43071,0,18746.43071
06/07/2024 10:15:08,N,19380.18229,0,19380.18229
06/07/2024 10:30:10,N,19848.82009,0,19848.82009
