SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
06/08/2024 00:00:17,N,16811.28722,359.9,16451.38722
06/08/2024 00:15:12,N,16332.76025,360.1,15972.66025
06/08/2024 00:30:11,N,15937.00022,359.8,15577.20022
06/08/2024 00:45:14,N,15579.67023,359.8,15219.87023
06/08/2024 01:00:15,N,15370.5223,359.7,15010.8223
06/08/2024 01:15:10,N,15034.69712,359.4,14675.29712
06/08/2024 01:30:11,N,14854.06167,359.9,14494.16167
06/08/2024 01:45:11,N,14598.45087,360,14238.45087
06/08/2024 02:00:14,N,14398.38403,360,14038.38403
06/08/2024 02:15:10,N,14197.54746,360.2,13837.34746
06/08/2024 02:30:10,N,13809.16252,359.8,13449.36252
06/08/2024 02:45:10,N,13483.30284,359.2,13124.10284
06/08/2024 03:00:14,N,13026.32752,360.1,12666.22752
06/08/2024 03:15:10,N,12558.49619,360.3,12198.19619
06/08/2024 03:30:10,N,11848.4362,360,11488.4362
06/08/2024 03:45:12,N,11616.42392,359.5,11256.92392
06/08/2024 04:00:17,N,11440.57095,359.1,11081.47095
06/08/2024 04:15:10,N,11222.03789,359.6,10862.43789
06/08/2024 04:30:13,N,11099.06477,359.9,10739.16477
06/08/2024 04:45:09,N,11294.63393,360.2,10934.43393
06/08/2024 05:00:14,N,11454.51746,351,11103.51746
06/08/2024 05:15:10,N,11785.5604,352.2,11433.3604
06/08/2024 05:30:09,N,11486.3807,351.6,11134.7807
06/08/2024 05:45:10,N,11893.07185,351.5,11541.57185
06/08/2024 06:00:17,N,11983.68533,360.5,11623.18533
06/08/2024 06:15:10,N,11862.70798,361.1,11501.60798
06/08/2024 06:30:11,N,11634.12364,360.4,11273.72364
06/08/2024 06:45:10,N,11126.70725,360.7,10766.00725
06/08/2024 07:00:15,N,10726.28068,361,10365.28068
06/08/2024 07:15:10,N,11040.88234,301.9,10738.98234
06/08/2024 07:30:09,N,11388.18543,302.1,11086.08543
06/08/2024 07:45:09,N,11796.48317,301.9,11494.58317
06/08/2024 08:00:14,N,12068.13591,240.6,11827.53591
06/08/2024 08:15:10,N,12431.15628,160.6,12270.55628
06/08/2024 08:30:09,N,12829.77843,160.5,12669.27843
