SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
06/15/2024 00:00:11,N,1084.76546096,3174.62546043,418.1
06/15/2024 00:15:08,N,1084.3614273,3173.21142845,418.8
06/15/2024 00:30:08,N,1080.33591461,3170.20591621,414.6
06/15/2024 00:45:08,N,1081.97352981,3171.82353096,416.4
06/15/2024 01:00:14,N,1147.92166137,3237.7616642,484.8
06/15/2024 01:15:08,N,1147.28337097,3237.12337379,483
06/15/2024 01:30:08,N,1145.11341094,3234.93341331,481.9
06/15/2024 01:45:08,N,1147.52281188,3237.35281257,483.2
06/15/2024 02:00:13,N,1148.20699691,3238.06699638,483.5
06/15/2024 02:15:09,N,1147.28253173,3237.11253242,482.4
06/15/2024 02:30:10,N,1148.27072906,3238.10072975,484.6
06/15/2024 02:45:08,N,1150.45386505,3240.24386482,486.5
06/15/2024 03:00:11,N,1149.2660408,3239.1360424,482.6
06/15/2024 03:15:10,N,1148.31566619,3238.1856678,481.6
06/15/2024 03:30:08,N,1146.76800918,3236.608012,480.2
06/15/2024 03:45:08,N,1147.25972747,3240.44372944,481.1
06/15/2024 04:00:14,N,1148.81243133,3241.98643117,482.6
06/15/2024 04:15:11,N,1149.90384674,3243.05784611,483.7
06/15/2024 04:30:11,N,1148.55936431,3242.75336461,482.6
06/15/2024 04:45:10,N,1149.39601898,3243.59001927,482.4
06/15/2024 05:00:13,N,1149.77599334,3243.92999272,486.7
06/15/2024 05:15:09,N,1149.94228363,3244.1262856,486.7
06/15/2024 05:30:10,N,1153.96350479,3248.13750462,489.1
06/15/2024 05:45:09,N,1160.18529891,3254.33929829,493.9
06/15/2024 06:00:13,N,1155.79320907,3249.97721104,491.4
06/15/2024 06:15:09,N,1157.20643997,3343.40244798,492.5
06/15/2024 06:30:08,N,1157.59552001,3391.13753061,529.14177093
06/15/2024 06:45:09,N,1158.95975494,3394.53176431,565.69473114
06/15/2024 07:00:11,N,1092.82387542,3326.36588602,509.75215759
06/15/2024 07:15:09,N,1090.71353149,3324.27554254,507.80463409
06/15/2024 07:30:09,N,1089.48316955,3322.99518137,476.45397796
06/15/2024 07:45:10,N,1086.39344787,3319.94545679,423.1
06/15/2024 08:00:12,N,1083.39811706,3316.95012598,419.08807878
06/15/2024 08:15:10,N,1082.21879577,3315.74080591,525.69887466
06/15/2024 08:30:09,N,1080.8330841,3288.55434351,480.71365432
06/15/2024 08:45:09,N,1079.77965164,3188.03801374,424.51749449
06/15/2024 09:00:13,N,1080.41905975,3173.16615353,421.79597325
06/15/2024 09:15:09,N,1080.873497,3069.39501367,422.31714229
06/15/2024 09:30:10,N,1077.78796768,3067.16131317,417.03471486
06/15/2024 09:45:10,N,1077.39707946,3099.38941316,421.92810945
06/15/2024 10:00:16,N,1080.6023941,3192.939647,421.4
06/15/2024 10:15:13,N,1079.32690048,3202.73958139,420.8
06/15/2024 10:30:12,N,1079.22970962,3073.99771289,420.8
06/15/2024 10:45:11,N,1081.22204589,3143.6400495,422.3
06/15/2024 11:00:15,N,1079.41448974,3162.8764985,413.8
06/15/2024 11:15:11,N,1081.01876068,3164.49077158,414.2
06/15/2024 11:30:12,N,1075.80020523,3158.29221658,411
06/15/2024 11:45:12,N,1074.02795791,3157.50996713,407.7
06/15/2024 12:00:15,N,1074.32152938,3207.81354074,415.2
06/15/2024 12:15:11,N,1072.44169998,3155.12370615,413.2
06/15/2024 12:30:11,N,1071.4462738,3059.30627374,413.25864286
06/15/2024 12:45:11,N,1074.12530136,3062.08530359,418.38907747
06/15/2024 13:00:16,N,1071.17267608,3059.08267908,407.08761213
06/15/2024 13:15:11,N,1065.68070983,3053.63070993,400.9
06/15/2024 13:30:11,N,1059.80755615,3047.61755685,394.8
06/15/2024 13:45:10,N,1060.55870437,3048.5187066,393.5
06/15/2024 14:00:14,N,1061.61279296,3049.60279398,413.1
06/15/2024 14:15:11,N,1056.68191146,3044.65191202,408.5
06/15/2024 14:30:12,N,1054.59061431,3042.54061441,409.8
06/15/2024 14:45:12,N,1054.78748321,3042.32748346,405.9
06/15/2024 15:00:18,N,1051.95337677,2989.50337915,396.2
06/15/2024 15:15:12,N,1053.68550872,2991.6255105,397.3
06/15/2024 15:30:11,N,1054.29443359,2992.24443368,397.9
06/15/2024 15:45:09,N,1051.75748443,2993.08148627,394.9
06/15/2024 16:00:17,N,1053.37670898,2994.29071097,393.9
06/15/2024 16:15:11,N,1049.23896026,2990.14296011,390.5
06/15/2024 16:30:13,N,1052.41643142,2992.70043234,393.1
06/15/2024 16:45:11,N,1049.33505249,2990.64905219,390.2
06/15/2024 17:00:16,N,1050.56219482,3041.8661962,389.1
06/15/2024 17:15:11,N,1050.2330017,3041.13700156,389.6
06/15/2024 17:30:10,N,1051.49461364,3042.42861609,390.4
06/15/2024 17:45:10,N,1051.71270751,3043.01670889,389.8
06/15/2024 18:00:15,N,1115.1874237,3106.5014234,467.59692077
06/15/2024 18:15:12,N,1114.50880813,3107.81280951,482.58712463
06/15/2024 18:30:10,N,1115.66332244,3106.59732489,479.63623657
06/15/2024 18:45:10,N,1118.55937194,3111.19337515,465.36054534
06/15/2024 19:00:14,N,1119.72258758,3062.73658804,460.2
06/15/2024 19:15:10,N,1117.40973663,3060.42373709,458.9
06/15/2024 19:30:09,N,1120.44522094,3063.43922476,461.8
06/15/2024 19:45:11,N,1121.50034332,3067.86834507,462.4
06/15/2024 20:00:14,N,1121.56796264,3067.56596546,460.9
06/15/2024 20:15:09,N,1122.06177902,3068.44978122,461.8
06/15/2024 20:30:12,N,1122.12957382,3068.52757434,460.7
06/15/2024 20:45:11,N,1122.98550415,3069.38350467,462.7
06/15/2024 21:00:14,N,1117.63602447,3064.034025,473.5
06/15/2024 21:15:12,N,1120.3928833,3066.7808855,477
06/15/2024 21:30:10,N,1118.60890197,3065.0069025,474.4
06/15/2024 21:45:10,N,1119.83857727,3066.22657947,475.5
06/15/2024 22:00:14,N,1118.57966232,3064.97766285,454.3
06/15/2024 22:15:11,N,1120.55235671,3066.94035892,456.5
06/15/2024 22:30:11,N,1121.36052703,3067.75852756,456.7
06/15/2024 22:45:10,N,1120.99716186,3067.38516407,457.2
06/15/2024 23:00:14,N,1121.30842208,3067.69642429,457.7
06/15/2024 23:15:11,N,1123.42724609,3069.80524997,457.5
06/15/2024 23:30:12,N,1120.40661239,3066.7946146,454.9
06/15/2024 23:45:09,N,1122.27549743,3068.58350162,456.6
