SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
06/19/2024 00:00:29,N,1176.70000147,3760.34073758,2029.90926628
06/19/2024 00:15:14,N,1220.87031626,3786.57899928,2121.57717151
06/19/2024 00:30:15,N,1217.70000147,3802.35551142,2142.30045127
06/19/2024 00:45:15,N,1218.99750208,3778.1983391,2116.9028553
06/19/2024 01:00:21,N,1217.09875559,3937.60493814,2115.09415588
06/19/2024 01:15:13,N,1219.07312846,3925.67395889,2104.46924934
06/19/2024 01:30:12,N,1226.33813166,3939.10384762,2119.99262351
06/19/2024 01:45:11,N,1227.90719294,3948.11377203,2130.89305267
06/19/2024 02:00:15,N,1240.52563166,3844.48758602,2189.89803123
06/19/2024 02:15:12,N,1261.10469508,3882.52950835,2236.19924087
06/19/2024 02:30:11,N,1268.70000147,3891.52620148,2250.52661285
06/19/2024 02:45:10,N,1266.70000147,3887.39581131,2249.00791702
06/19/2024 03:00:19,N,1296.78563761,3914.08787477,2282.55254669
06/19/2024 03:15:10,N,1300.50000071,3949.7595123,2319.73141784
06/19/2024 03:30:11,N,1300.50000071,3988.39932215,2358.9599327
06/19/2024 03:45:13,N,1300.50000071,4003.58472073,2374.03076248
06/19/2024 04:00:18,N,1341.29999995,4046.09190762,2435.00657043
06/19/2024 04:15:10,N,1341.29999995,4056.22521889,2443.12857055
06/19/2024 04:30:16,N,1341.29999995,4070.31971788,2466.39146728
06/19/2024 04:45:11,N,1498.79999995,4231.98729562,2625.42256622
06/19/2024 05:00:13,N,1537.79999995,4390.223701,2644.02045898
06/19/2024 05:15:09,N,1537.79999995,4387.471156,2633.15434112
06/19/2024 05:30:09,N,1537.79999995,4359.77692306,2611.10572204
06/19/2024 05:45:08,N,1537.79999995,4343.50521457,2579.29111328
06/19/2024 06:00:17,N,1448.66814875,4332.011554,2538.56851196
06/19/2024 06:15:08,N,1446.76971125,4338.14163994,2575.89224243
06/19/2024 06:30:08,N,1446.92156672,4346.64079213,2608.00306549
06/19/2024 06:45:08,N,1446.82032465,4350.77326226,2615.93604888
06/19/2024 07:00:14,N,1446.99750971,4256.36400008,2646.32376556
06/19/2024 07:15:08,N,1446.71906733,4255.41328549,2643.96352691
06/19/2024 07:30:09,N,1447.30126643,4259.20312476,2647.79119415
06/19/2024 07:45:10,N,1447.32658076,4239.9991455,2631.13432312
06/19/2024 08:00:15,N,1457.16033625,4324.30914735,2674.46367847
06/19/2024 08:15:11,N,1461.36221003,4321.87302148,2670.35628356
06/19/2024 08:30:10,N,1475.20812678,4325.93609607,2684.86215806
06/19/2024 08:45:11,N,1490.21845698,4365.72167396,2719.48562774
06/19/2024 09:00:19,N,1507.96803832,4362.25790596,2838.64083833
06/19/2024 09:15:09,N,1498.43506693,4364.69813442,2838.98205566
06/19/2024 09:30:10,N,1498.45967173,4383.37237024,2864.19973602
06/19/2024 09:45:10,N,1498.15193152,4385.34572362,2886.35703277
06/19/2024 10:00:14,N,1552.2097032,4412.94171309,2927.69447431
06/19/2024 10:15:11,N,1547.06322073,4417.92284274,2931.8
06/19/2024 10:30:10,N,1550.93617129,4597.10473513,3117.48557434
