SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
06/20/2024 00:00:16,N,6865.94361024,9803.13622814,4387.02479187,5564.44775623,6162.11273521,0,3467.93474759,4388.64288187,1475,15657.93515
06/20/2024 00:15:11,N,6730.93469947,9781.13127702,4434.6423793,5686.67504513,6256.55990326,0,3436.54816671,4408.06273746,1477,16006.39169
06/20/2024 00:30:13,N,6750.49271186,9781.51213486,4426.90576126,5615.56505185,6474.43912658,0,3447.16708076,4421.62331676,1476,15833.55567
06/20/2024 00:45:14,N,7072.50424232,9783.07801714,4427.81420853,5391.08379256,6571.83975541,0,3454.38336682,4418.0484333,1476,16082.57391
06/20/2024 01:00:19,N,7481.51887931,9806.57690896,4457.84236862,5451.00451302,6697.3699336,0,3466.38232707,4399.16597414,1477,16221.74648
06/20/2024 01:15:11,N,7614.7205095,9812.20750186,4431.24237778,5419.49924945,6743.73081684,0,3434.82769901,4396.14382886,1477,16449.62574
06/20/2024 01:30:11,N,7663.21754911,9814.88132217,4423.01562454,5146.63650965,6422.88576483,0,3440.15351112,4362.54208326,1476,16230.77519
06/20/2024 01:45:11,N,7660.86646593,9811.12810123,4422.85082962,5133.74320065,6314.16235101,0,3424.39036111,4361.72390985,1476,16152.47638
06/20/2024 02:00:18,N,7638.53158376,9822.12340591,4436.74237778,5126.27388811,6410.60770273,0,3413.52583796,4324.51669096,1474,16234.83612
06/20/2024 02:15:12,N,7631.6517181,9816.44692465,4441.76068069,4891.18000118,6498.65964567,0,3398.69195689,4311.78622221,1475,15959.22885
06/20/2024 02:30:11,N,7681.23292655,9865.84397477,4465.02927664,4835.32553645,6453.40427994,0,3399.48717885,4315.10839962,1476,15859.31528
06/20/2024 02:45:10,N,7765.72071923,9864.42307241,4445.71024105,4788.59539814,6483.54093503,0,3417.92905342,4345.26724362,1476,15911.05588
06/20/2024 03:00:18,N,7654.25779454,9913.46279525,4484.12872181,4757.61186313,6410.95164346,0,3414.32299407,4338.24631595,1477,15825.89699
06/20/2024 03:15:12,N,7825.37519176,9907.39728022,4494.72264053,4818.57973487,6517.54981541,0,3442.33753758,4352.0430746,1478,15976.57721
06/20/2024 03:30:11,N,8006.14289847,10327.69942304,4841.03061588,4803.09828549,6609.88634499,0,3408.61285974,4334.19352149,1478,16183.31535
06/20/2024 03:45:12,N,8154.15707462,10332.21383503,4829.92433298,4744.53270615,6441.48287832,0,3412.07462454,4336.07733345,1477,16159.64536
