SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
06/20/2024 00:00:16,N,1395.26569512,2743.81363289,801.32346551,11284.4820739,11501.57012474,.1,149.87037647,557.7070086,0,13119.91487
06/20/2024 00:15:11,N,1404.85918474,2751.121462,802.02260796,11098.36735045,11178.10344159,.1,167.12432297,601.42600512,0,12586.01146
06/20/2024 00:30:13,N,1406.70295345,2753.72405685,802.32807366,10780.78688275,10869.04082047,.1,170.1581827,601.48900723,0,12343.27025
06/20/2024 00:45:14,N,1407.96523272,2753.31748833,803.29726617,10182.31134957,10270.24920672,.1,92.09689551,593.75100603,0,11710.53266
06/20/2024 01:00:19,N,1474.01165938,3006.74982704,805.66048638,9476.40918743,9561.82799065,.1,9.27020815,305.52700209,0,10928.15154
06/20/2024 01:15:11,N,1439.36825084,3008.66540493,806.46726434,8849.01932549,8944.94724488,.1,3.4243681,353.29900193,0,10244.20145
06/20/2024 01:30:11,N,1381.55064779,3013.98159136,806.11452691,8172.52619156,8246.80701479,.1,.47074961,301.31900185,0,9612.1904
06/20/2024 01:45:11,N,1359.73534536,3012.15312542,805.93139092,7639.3800273,7686.2972107,.1,.53440534,301.07200184,0,8981.60121
06/20/2024 02:00:18,N,1358.69327163,3011.16636433,805.66359917,7133.40521681,7183.37728226,.1,.42854808,330.27200284,0,8465.31403
06/20/2024 02:15:12,N,1364.62488978,3015.63732201,806.17016045,6622.73594212,6654.17622017,.1,.58158718,330.27200284,0,7962.28118
06/20/2024 02:30:11,N,1363.08216857,3010.84902443,805.93918816,6057.70241903,6138.66873525,.1,.43037904,330.27200284,0,7397.7704
06/20/2024 02:45:10,N,1370.06222152,3015.99352039,807.64869134,5563.4516032,5644.00056579,.1,.43793154,330.27200284,0,6921.90087
06/20/2024 03:00:18,N,1378.74032497,2973.07747091,808.43255059,5037.39546165,5119.95133552,.1,2.00301185,334.89800205,0,6427.28429
06/20/2024 03:15:12,N,1360.98931694,2973.40441431,808.16456048,4612.18071317,4661.94726944,.1,3.47845473,334.89400425,0,5964.1848
06/20/2024 03:30:11,N,1361.26729965,2974.16033853,808.09356133,4228.07096412,4244.19778237,.1,2.38842418,333.32700434,0,5568.71006
06/20/2024 03:45:12,N,1355.74056863,2967.18440212,808.53769891,3885.56319999,3888.24092769,.1,4.86737443,331.43000426,0,5214.17051
06/20/2024 04:00:17,N,1352.81783771,2965.22509779,807.15909783,3687.09057815,3689.36031539,.88910877,3.91606842,300.13100337,0,5029.57472
06/20/2024 04:15:10,N,1355.90272315,2970.3273436,807.60492913,3504.21106632,3506.28895195,.1,2.00923661,300.13100337,0,4869.94668
06/20/2024 04:30:14,N,1364.01727104,2970.99921335,809.77713982,3523.24005727,3525.72544603,.13523161,3.73686487,300.13100337,0,4890.03363
06/20/2024 04:45:10,N,1366.86065578,2967.77183784,809.6988012,3493.95445004,3495.90575494,.13523161,3.63970922,300.13100337,0,4829.44709
06/20/2024 05:00:14,N,1356.87984275,2656.25575746,809.81073968,3476.78136747,3479.33928125,.14946602,42.46963069,636.63100194,0,4867.20348
06/20/2024 05:15:11,N,1394.30260705,2574.40690483,810.20350091,3441.13542927,3448.89653451,.14394979,76.09218954,636.65700292,0,4897.21288
06/20/2024 05:30:11,N,1357.16080379,2574.56129564,810.33103387,3431.77237092,3466.9047762,.1,44.89825516,636.63200139,0,4840.94718
06/20/2024 05:45:10,N,1353.56686353,2572.58684124,809.94729058,3507.54136282,3547.71176809,.1,105.89008583,636.62800359,0,4913.60233
06/20/2024 06:00:17,N,1590.88754439,3005.71459211,809.56012933,3566.20576556,3580.4298319,.1,17.64206321,324.03900504,0,5097.67082
06/20/2024 06:15:12,N,1575.29526114,2952.91866888,807.38117425,3466.5379923,3467.20352581,.1,7.53486414,324.01200461,0,5111.84321
06/20/2024 06:30:12,N,1564.89495932,2960.11642385,808.82943169,3297.99360049,3299.12581295,.18999999,7.12509583,325.80800533,0,4912.54767
06/20/2024 06:45:11,N,1671.09429337,2953.53928061,808.96370904,3176.91105706,3178.1681734,.1,19.99906162,325.80500698,0,4827.62306
06/20/2024 07:00:15,N,1402.09337182,2272.70271934,848.36440484,3040.31598219,3041.73655104,.2,16.48680341,957.92500305,0,4489.76553
06/20/2024 07:15:12,N,1588.30508142,2382.89860963,850.0339001,2956.56116632,2957.57691795,.3,250.22717305,1019.01400375,0,4867.17915
06/20/2024 07:30:12,N,1780.55727756,2572.82925939,849.14131949,2788.63428693,2789.65729507,.1,78.32264617,1019.02400207,0,4643.46264
06/20/2024 07:45:11,N,1938.90487936,2731.80972879,850.22686223,2710.02258059,2710.78258061,.19999999,26.81328083,1022.72600555,0,4667.38558
06/20/2024 08:00:16,N,2072.26627991,3366.84425613,852.55332608,2507.22303135,2508.27819533,.1,15.88567651,492.33600187,0,4595.53343
06/20/2024 08:15:11,N,2298.67207355,3485.55897541,853.09351585,2455.51780761,2456.28920537,.1,18.69402317,450.83000349,0,4749.09117
06/20/2024 08:30:10,N,2410.18644816,3565.94003541,852.64879845,2398.0033367,2398.92411774,.1,38.99125081,460.94500327,0,4813.58091
06/20/2024 08:45:12,N,2907.78024934,4101.96614264,853.18119286,2472.04938359,2472.99128272,.1,7.22231527,469.55600452,0,5359.74022
06/20/2024 09:00:14,N,2785.99220978,3786.21025978,850.50130699,2604.79987297,2605.72884266,.1,7.46779181,594.24600648,0,5371.70164
06/20/2024 09:15:14,N,3254.93513164,4253.88056334,850.7872567,2586.2512552,2587.34117715,.1,2.33085057,637.33100485,0,5837.21814
06/20/2024 09:30:11,N,3063.25198126,4070.80624009,852.81279991,2592.27102234,2593.26638647,.1,269.44042074,611.70900535,0,5957.05733
06/20/2024 09:45:11,N,3022.94778513,4046.42173694,851.12702416,2570.65393815,2571.48493821,.1,181.50041989,532.98700523,0,5596.43745
06/20/2024 10:00:16,N,3160.29140177,3707.65214815,850.38518761,2600.49934302,2601.60622619,.1,36.93202232,937.17100477,0,5758.84875
06/20/2024 10:15:12,N,3215.02610006,3811.11861935,851.60978172,2520.15319113,2523.60895972,.15530772,72.76133364,942.94700288,0,5757.37984
06/20/2024 10:30:12,N,3389.16626268,3967.56385141,849.62269066,2510.63154401,2512.59877278,.19999999,103.49380738,937.5050075,0,5963.97122
06/20/2024 10:45:11,N,3576.05299839,4129.24106647,889.11745689,2630.94942139,2632.77940348,.40680001,3.77404233,934.09300231,0,6209.65053
06/20/2024 11:00:17,N,3927.86655407,4875.18429913,891.40525291,2720.13204451,2723.72533415,.1,2.34912064,513.15900826,0,6646.58364
06/20/2024 11:15:12,N,4012.9887629,4929.48409169,890.24756859,2575.78769598,2578.20990271,.1,2.35538048,517.06500315,0,6568.14529
06/20/2024 11:30:15,N,4090.5440911,5049.71494888,847.91306541,2586.98456364,2588.76452018,.1,15.00541438,519.48500275,0,6718.81804
06/20/2024 11:45:12,N,4142.56462054,5045.89921456,848.79397057,2777.66568888,2784.45596178,.11349848,6.56454996,519.46400189,0,6935.78975
06/20/2024 12:00:17,N,4483.31709378,5663.14057987,847.20772789,2769.19537577,2770.51588965,.34699999,2.34108675,280.96700501,0,7239.9901
06/20/2024 12:15:13,N,4291.82161539,5495.68615549,847.50989769,2877.163497,2880.98871997,.2,22.81856141,280.96000599,0,7211.8896
06/20/2024 12:30:12,N,4394.35425817,5595.58769773,847.43596886,2909.10074437,2914.84664715,.1,47.36113226,323.28500533,45,7355.53969
06/20/2024 12:45:12,N,5242.03247679,6478.59615364,930.99349449,3078.29519842,3083.1250749,.1,47.28902246,323.38500571,45,8298.69197
06/20/2024 13:00:18,N,5456.23896344,6705.72392909,931.9485421,3488.94796086,3497.39974355,.1,62.48616933,338.11200261,57,8968.78306
06/20/2024 13:15:12,N,5246.0971012,6562.86942463,932.92246483,3818.008174,3827.89317757,.1,61.57571573,423.68100571,57,9115.99521
06/20/2024 13:30:12,N,5628.23412864,6937.19885032,931.89342735,4215.62721353,4221.04532294,.1,66.19295341,432.43100285,63.90000152,9887.95983
06/20/2024 13:45:11,N,5688.28854909,7029.82467662,930.70954369,4686.1077464,4690.27115987,.1,66.17043725,432.56300282,63.90000152,10421.72587
06/20/2024 14:00:16,N,5502.30283673,6639.37571113,929.48324059,5128.27552929,5133.01877473,.1,70.00458597,578.04400491,63.90000152,10683.34227
06/20/2024 14:15:11,N,5542.35362756,6639.05814969,929.1004586,5373.6094531,5373.61093457,.10148146,70.11976885,578.02800512,63.90000152,11008.59323
06/20/2024 14:30:13,N,5934.09013651,7055.94251107,928.14649437,5738.18153047,5738.18153047,.1,69.96302598,575.99700784,63.90000152,11720.25729
06/20/2024 14:45:11,N,6007.97166299,7152.99350356,928.43889854,5958.20692963,5958.20692963,.1,79.20900511,575.98500776,63.90000152,12046.5392
06/20/2024 15:00:17,N,5813.3522415,7075.2743225,930.1529641,5868.55595919,5870.396584,.1,77.66140568,425.88300943,63.90000152,11780.00171
06/20/2024 15:15:13,N,5817.54926276,7012.44631886,930.87452171,5995.88501683,5997.34723369,.1,84.88508676,427.83800649,63.90000152,11885.09396
06/20/2024 15:30:14,N,5560.77712594,6801.62586605,929.28685997,5912.65999321,5914.41894917,.1,90.98361363,427.72100591,63.90000152,11547.47555
06/20/2024 15:45:11,N,5474.46272229,6724.04770469,930.30091332,5922.17622768,5924.55904877,.1,81.20005783,427.69900655,63.90000152,11402.81113
06/20/2024 16:00:16,N,5298.4884349,6533.78906452,929.815989,6142.23481105,6144.5610287,.1,78.10051674,427.80700445,63.90000152,11463.89978
06/20/2024 16:15:11,N,5454.19829001,6547.53867711,888.59563683,6658.52613323,6661.83527153,.1,69.96000075,425.9800086,63.90000152,12108.96656
06/20/2024 16:30:14,N,5249.05587767,6356.50801562,930.05564354,6889.24794255,6891.514876,.1,84.96000075,427.86500501,63.90000152,12195.25557
06/20/2024 16:45:12,N,5024.16583173,6074.58034723,929.15963219,6545.16828875,6546.81334453,.1,70.03637145,435.08430552,63.90000152,11681.41145
06/20/2024 17:00:18,N,4702.73105668,5756.46567106,926.63027428,6303.8111916,6305.79056219,.1,69.86000227,455.44300603,63.90000152,11050.79952
06/20/2024 17:15:11,N,4731.98453634,5799.19432657,930.32297752,6777.67088715,6779.79346911,.1,121.04547476,458.53800344,67,11582.806
06/20/2024 17:30:13,N,4641.34220903,5736.78255956,926.55857323,6874.13953648,6876.32391511,.1,105.66000151,455.44000577,63.90000152,11582.84587
06/20/2024 17:45:11,N,4163.05748945,5230.8357492,928.32389305,6986.17810015,6988.13263524,.1,67.76190155,455.74000501,63.90000152,11233.08203
06/20/2024 18:00:16,N,4131.88229244,5041.14368122,927.14216087,6940.08411236,6942.1889164,.1,15.39874073,378.13600301,.00055694,11027.37372
06/20/2024 18:15:11,N,3999.11530965,4876.17898457,886.53852318,7067.00508618,7070.76002144,.1,5.96000075,367.6340022,0,11079.7566
06/20/2024 18:30:12,N,3916.35799025,4876.5350356,886.88956688,7004.31493994,7007.45712515,.1,21.85466226,367.63000249,0,10914.49512
06/20/2024 18:45:13,N,3785.49427246,4720.7044227,886.75776146,6678.5479546,6681.98693279,.1,11.76278538,367.24600267,0,10479.16181
06/20/2024 19:00:19,N,3702.23072545,4435.49906938,945.83599327,6651.59894323,6653.44947481,.1,40.64382203,595.58100175,0,10348.79128
06/20/2024 19:15:11,N,3199.829939,3907.70134937,946.53335045,6416.19798046,6423.55232769,.29999998,57.43891287,592.27300977,0,9648.90318
06/20/2024 19:30:11,N,3093.48651182,3821.6735121,947.14486168,6547.18833056,6575.95558133,.1,88.7780732,591.57901,0,9722.13413
06/20/2024 19:45:16,N,2536.99033869,3293.70695818,946.64647911,6526.8477472,6563.47955048,.1,138.41891133,590.45101022,0,9184.35019
06/20/2024 20:00:18,N,2271.01332683,2938.72404021,856.34740685,6640.27999709,6674.65014555,.1,297.26136879,834.82199743,0,8883.668
06/20/2024 20:15:11,N,2329.73658786,2959.97796569,857.10008753,6553.99874109,6591.96016877,.1,376.18648738,834.71199822,0,9214.49798
06/20/2024 20:30:13,N,2127.79884341,2759.32641556,856.52067987,6358.31767832,6401.51192171,.1,489.69272264,826.11499834,0,8931.05218
06/20/2024 20:45:11,N,2014.73860631,2645.50976043,851.28959577,6193.63947036,6248.93491008,.1,358.67568066,825.24999761,0,8502.96499
06/20/2024 21:00:16,N,1726.46139636,2386.14656528,848.83796136,6170.14551921,6238.50127393,.1,480.1990483,994.45000028,0,8438.25623
06/20/2024 21:15:13,N,1658.17804078,2446.08115814,848.61388604,6362.81652314,6364.8895486,.1,334.43228226,985.32400083,0,8435.70811
06/20/2024 21:30:12,N,1657.33701539,2425.71547455,848.99482171,6478.53205166,6480.3020464,.1,83.98942753,979.43200254,0,8231.72299
06/20/2024 21:45:12,N,1661.8875556,2394.52543706,850.05904595,6693.90983244,6695.70569607,.1,81.9829231,988.38800382,0,8431.54797
06/20/2024 22:00:18,N,1510.57280063,2557.10847629,850.86603753,6982.17725208,6984.14353778,.1,134.07420488,913.31800293,0,8722.39409
06/20/2024 22:15:12,N,1425.29678225,2617.73101987,885.26952569,6910.39184707,6912.82638782,.1,103.74795822,910.8030062,0,8443.74911
06/20/2024 22:30:11,N,1547.23413276,2617.01347078,886.74402825,6921.60236108,6924.10040605,.1,11.95859766,947.32900336,0,8405.24184
06/20/2024 22:45:11,N,1515.33284497,2617.81691588,886.53989617,7060.18994495,7062.66263744,.1,7.99145751,1002.30600169,0,8564.9979
06/20/2024 23:00:18,N,1519.45660352,3191.27695145,886.87664239,7197.90510267,7200.92085975,.10730562,.67189215,369.59700539,0,8698.54245
06/20/2024 23:15:12,N,1350.33758401,3027.32726397,802.1302282,7243.15728241,7246.54073196,.1,1.017563,369.25300887,0,8591.12472
06/20/2024 23:30:12,N,1350.0407381,3031.25933613,802.35239617,7164.91069102,7168.08016657,.1,2.21604079,371.72800877,0,8509.22512
06/20/2024 23:45:11,N,1348.00878834,3028.90513028,802.09821526,7193.20393786,7196.25604663,.1,2.20465793,374.20300948,0,8530.79597
