SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
06/21/2024 00:00:18,N,3650.49575805,11965.73477983,4205.86922998
06/21/2024 00:15:14,N,3648.51180267,11959.55883979,4193.86631754
06/21/2024 00:30:12,N,3710.4986763,12127.9957199,4321.99573382
06/21/2024 00:45:14,N,3648.71186828,11958.33753871,4187
06/21/2024 01:00:19,N,3647.51616668,11719.20545291,4264.7
06/21/2024 01:15:14,N,3649.5931282,11717.9670248,4260
06/21/2024 01:30:13,N,3647.9068489,11719.50498867,4263.2
06/21/2024 01:45:11,N,3649.75094604,11728.57472896,4270.7
06/21/2024 02:00:15,N,3649.91720199,11596.10934448,4219.4
06/21/2024 02:15:11,N,3650.67739868,11592.37867069,4220.2
06/21/2024 02:30:11,N,3647.86299133,11578.21481513,4216.4
06/21/2024 02:45:11,N,3648.01854705,11647.87437105,4214.6
06/21/2024 03:00:15,N,3646.97495269,11627.06344795,4200
06/21/2024 03:15:10,N,3646.04300689,11628.23525309,4200.8
06/21/2024 03:30:11,N,3642.93929672,11696.70101785,4198.4
06/21/2024 03:45:13,N,3639.9861145,11698.25829744,4194.1
06/21/2024 04:00:16,N,3635.03751373,11693.67870473,4234.9
06/21/2024 04:15:09,N,3638.28231048,11682.06924676,4230.43725998
06/21/2024 04:30:14,N,3637.11557006,11675.59686994,4226.2
06/21/2024 04:45:08,N,3635.8510704,11667.0139079,4228.91226679
06/21/2024 05:00:12,N,3637.12295532,11479.75705194,4139.61275354
06/21/2024 05:15:09,N,3636.02799224,11475.60657405,4142.31070719
06/21/2024 05:30:08,N,3635.88860321,11496.46691274,4151.31318799
06/21/2024 05:45:08,N,3633.96622848,11527.67558908,4159.91218513
06/21/2024 06:00:12,N,3637.1247406,11536.76794266,4211.91315874
06/21/2024 06:15:08,N,3635.05045318,11542.27365422,4249.31336382
06/21/2024 06:30:08,N,3634.13053894,11544.89202332,4249.9135167
06/21/2024 06:45:08,N,3641.15424346,11458.38425421,4252.9
06/21/2024 07:00:15,N,3645.27447128,12023.35609531,4239.0983973
06/21/2024 07:15:07,N,3647.19874572,12058.24912929,4242.4
06/21/2024 07:30:07,N,3648.08539962,12064.56826782,4240.1
06/21/2024 07:45:08,N,3648.21295166,12056.28349208,4237.4
06/21/2024 08:00:11,N,3650.12216949,12050.16087818,4452.38542506
06/21/2024 08:15:09,N,3647.09260177,12026.40751552,4430.6
06/21/2024 08:30:08,N,3648.79445266,12038.63626158,4439.13523769
06/21/2024 08:45:08,N,3646.87091445,12037.67536926,4441.1924263
06/21/2024 09:00:13,N,3644.60128784,12135.49639797,4480.09347721
06/21/2024 09:15:11,N,3637.34191131,12129.07089424,4477.92438916
06/21/2024 09:30:10,N,3640.2899208,12134.75596427,4479.84568386
06/21/2024 09:45:12,N,3635.94719696,12114.1130625,4465.72454395
06/21/2024 10:00:14,N,3433.57006835,11138.30032014,4227.16629791
06/21/2024 10:15:10,N,3434.61569213,11115.32897233,4423.16424522
06/21/2024 10:30:10,N,3432.67889785,11259.48089182,4428.75043139
06/21/2024 10:45:09,N,3433.96111297,11237.22210788,4383.81069121
06/21/2024 11:00:14,N,3432.48712158,10964.5796771,4319.06603299
06/21/2024 11:15:09,N,3434.34934234,10921.93735313,4291.52944421
06/21/2024 11:30:11,N,3431.44253921,10869.23847627,4387.79406172
06/21/2024 11:45:09,N,3430.07217407,10684.12739562,4382.5551514
06/21/2024 12:00:14,N,3428.10769653,10786.39609313,4698.71182336
06/21/2024 12:15:12,N,3426.85456085,10964.15358948,4701.63079017
06/21/2024 12:30:10,N,3430.78680801,10971.68090486,4702.21314992
06/21/2024 12:45:11,N,3424.74724197,10988.41426582,4719.4127633
06/21/2024 13:00:19,N,3425.7567749,11321.31690096,4647.51309663
06/21/2024 13:15:10,N,3425.60001373,11333.46924328,4661.18022427
06/21/2024 13:30:10,N,3422.44079589,11324.58010792,4710.21666733
06/21/2024 13:45:10,N,3427.79286956,11321.66521477,4785.02398688
06/21/2024 14:00:16,N,5814.71898651,13570.13318467,6980.71801665
06/21/2024 14:15:10,N,5718.18089294,13442.78413701,6949.10107094
06/21/2024 14:30:11,N,5713.70405197,13357.53270945,6942.98609749
06/21/2024 14:45:14,N,5716.53835296,13384.25005984,6967.29685561
06/21/2024 15:00:15,N,5781.52418136,13986.65554833,7027.41412782
06/21/2024 15:15:11,N,5776.79205322,13794.92340159,7025.79235517
06/21/2024 15:30:13,N,5771.72114562,13780.3862732,7006.33700177
06/21/2024 15:45:11,N,5766.27249908,13755.70964407,6993.50876813
06/21/2024 16:00:15,N,5772.51401138,13851.16976189,7029.50678291
06/21/2024 16:15:11,N,5770.09051513,13836.9629414,7016.33701081
06/21/2024 16:30:13,N,5770.80067062,13838.50905561,7032.36067376
06/21/2024 16:45:09,N,5768.17384338,13915.78735613,7026.44461016
06/21/2024 17:00:17,N,5774.33355712,13658.72096705,6981.59954185
06/21/2024 17:15:11,N,5767.66475296,13627.714473,6949.27643904
06/21/2024 17:30:12,N,5768.29872894,13632.36424708,6940.8061895
06/21/2024 17:45:11,N,5768.44526672,13624.59620958,6943.07704263
06/21/2024 18:00:17,N,5816.82873535,14036.21006217,6874.26828036
06/21/2024 18:15:11,N,5817.71119308,14022.87373024,6934
06/21/2024 18:30:11,N,5804.786026,14004.94238787,6913.3
06/21/2024 18:45:11,N,5756.78081893,13999.88715396,6863.4
06/21/2024 19:00:17,N,5756.52853775,14208.18737363,7110.6
06/21/2024 19:15:11,N,5752.69047546,14199.25747821,7101.6
06/21/2024 19:30:11,N,5753.16898345,14200.35430017,7101.91621999
06/21/2024 19:45:11,N,5752.83691787,14188.43987031,7093.7
06/21/2024 20:00:18,N,5735.6690216,13888.71361613,6846.64997001
06/21/2024 20:15:11,N,5733.15910339,13862.10247075,6840.1
06/21/2024 20:30:10,N,5732.9810791,13841.7126245,6849.2
06/21/2024 20:45:10,N,5729.65737915,13820.49561963,6848.53779
06/21/2024 21:00:16,N,5732.92079162,14495.56446933,7397.52639999
06/21/2024 21:15:10,N,5737.22431945,14521.53921663,7328
06/21/2024 21:30:11,N,5734.67095947,14504.7446233,7315.9
06/21/2024 21:45:11,N,5734.35674285,14522.43838131,7311.3
06/21/2024 22:00:16,N,5702.80350112,13910.53106486,7179.91670999
06/21/2024 22:15:11,N,5798.73164367,14053.13253128,7173.9
06/21/2024 22:30:11,N,5798.47457504,14029.46034586,7162.8
06/21/2024 22:45:11,N,5800.81493759,13893.11951792,7136
06/21/2024 23:00:15,N,5799.46644592,13741.28516656,6642.1
06/21/2024 23:15:11,N,5799.24005889,13736.2890045,6639.1
06/21/2024 23:30:11,N,5801.54565048,13732.41955333,6638.8
06/21/2024 23:45:11,N,5803.09701538,13726.50360926,6644.13657997
