SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
06/25/2024 00:00:22,N,17918.24413,-218.3,18136.54413
06/25/2024 00:15:12,N,17614.66682,-218.3,17832.96682
06/25/2024 00:30:12,N,17714.9015,-218.1,17933.0015
06/25/2024 00:45:12,N,17674.42293,-218.2,17892.62293
06/25/2024 01:00:18,N,17621.37365,-218.3,17839.67365
06/25/2024 01:15:11,N,17479.60925,-218.2,17697.80925
06/25/2024 01:30:13,N,17253.74983,-218.2,17471.94983
06/25/2024 01:45:10,N,16809.46935,-218.2,17027.66935
06/25/2024 02:00:16,N,16398.27686,-218.3,16616.57686
06/25/2024 02:15:13,N,16230.58752,-218.4,16448.98752
06/25/2024 02:30:10,N,15955.52955,-218.5,16174.02955
06/25/2024 02:45:09,N,16168.01404,-218.3,16386.31404
06/25/2024 03:00:17,N,16140.00332,-218.4,16358.40332
06/25/2024 03:15:10,N,15862.06457,-218.5,16080.56457
06/25/2024 03:30:11,N,15712.34472,-218.3,15930.64472
06/25/2024 03:45:14,N,15553.80971,-218.2,15772.00971
06/25/2024 04:00:17,N,15494.38157,-218.2,15712.58157
06/25/2024 04:15:12,N,15625.58984,-218.2,15843.78984
06/25/2024 04:30:18,N,15642.90083,-218.4,15861.30083
06/25/2024 04:45:12,N,15720.21492,-218.3,15938.51492
06/25/2024 05:00:17,N,15801.88295,-218.3,16020.18295
06/25/2024 05:15:11,N,15804.49056,-218.1,16022.59056
06/25/2024 05:30:09,N,15887.95723,-218.3,16106.25723
06/25/2024 05:45:10,N,15883.83659,-218.4,16102.23659
06/25/2024 06:00:17,N,16004.44902,-218.3,16222.74902
06/25/2024 06:15:09,N,15865.26318,-218.2,16083.46318
06/25/2024 06:30:10,N,15657.99121,-218.4,15876.39121
06/25/2024 06:45:09,N,15389.05554,-218.3,15607.35554
06/25/2024 07:00:16,N,15252.20503,-204.8,15457.00503
06/25/2024 07:15:11,N,15288.29359,-189,15477.29359
06/25/2024 07:30:09,N,15794.43849,-189.1,15983.53849
06/25/2024 07:45:10,N,16459.79004,-189.1,16648.89004
06/25/2024 08:00:16,N,17569.05458,-105.7,17674.75458
06/25/2024 08:15:10,N,18876.21381,0,18876.21381
06/25/2024 08:30:14,N,19873.52351,0,19873.52351
06/25/2024 08:45:13,N,20084.56046,0,20084.56046
06/25/2024 09:00:16,N,20488.33946,0,20488.33946
06/25/2024 09:15:11,N,20057.63345,48.5,20009.13345
06/25/2024 09:30:12,N,20216.39337,48.5,20167.89337
06/25/2024 09:45:12,N,19970.0813,0,19970.0813
06/25/2024 10:00:15,N,19944.76008,0,19944.76008
06/25/2024 10:15:12,N,20095.99031,0,20095.99031
06/25/2024 10:30:12,N,20023.73921,69.2,19954.53921
06/25/2024 10:45:14,N,19997.92723,69.2,19928.72723
06/25/2024 11:00:17,N,19791.69014,69.1,19722.59014
06/25/2024 11:15:11,N,19874.97039,69.2,19805.77039
06/25/2024 11:30:14,N,19974.08346,95.2,19878.88346
