SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-IRR,SUM  HASL NON-IRR,SUM  LASL NON-IRR,SUM  BASE POINT WGR,SUM   HASL  WGR,SUM  LASL WGR,SUM  BASE POINT PVGR,SUM   HASL  PVGR,SUM  LASL PVGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
06/27/2024 00:00:12,N,44102.70652625,52809.59513854,25681.1234436,13625.77638037,13630.62240774,.1,2.06702471,3.31250271,1.72867192,4305.19952668,6821.73967933,2363,62110.24505
06/27/2024 00:15:11,N,43070.81675057,52130.7788825,25557.81780433,13925.42841869,13931.33522123,.1,3.32944871,4.57492671,1.72867192,4230.86209002,6843.88933897,2369.44000005,61402.68437
06/27/2024 00:30:09,N,42736.41083033,52063.09571409,25546.50214958,13674.29765757,13682.58746734,.1,2.07375504,3.31923303,1.72867192,4176.4030973,6844.44632387,2369.38000011,60666.24888
06/27/2024 00:45:11,N,42168.0338452,52032.31755709,25634.49326324,13176.09194087,13184.47031158,.1,2.08158044,3.32705843,1.72867192,4139.62621418,6856.71990346,2376.94000053,59845.0791
06/27/2024 01:00:16,N,42381.15211072,52205.88163518,25675.84836578,12615.04712074,12621.87198644,.1,2.0688704,3.31434839,1.72867192,4098.04141302,6503.76476359,2365.83100128,58817.30954
06/27/2024 01:15:10,N,42055.74530961,52026.97856044,25621.3965187,12263.4423688,12269.6378889,.1,1.59014617,2.83562417,1.24545799,4098.36072293,6497.89609861,2367.67700052,58326.83931
06/27/2024 01:30:09,N,41472.66815366,52035.88937449,25503.74600791,12192.66754567,12199.6695984,.1,1.58575618,2.83123418,1.24545799,4047.87425707,6498.27302289,2366.52299976,57911.8216
06/27/2024 01:45:10,N,41005.74505211,51958.40850138,25503.43091011,11824.2015487,11830.58258927,.1,1.59132182,2.83679981,1.24545799,4060.44533915,6494.23195528,2363.31799983,56933.54855
06/27/2024 02:00:14,N,40330.38745366,51567.75409269,25553.25616455,11613.11105214,11617.36764924,.1,1.58308135,2.82855934,1.24545799,4166.26392275,6811.85740637,2386.26100063,56227.13563
06/27/2024 02:15:11,N,39665.49747637,51563.09888911,25552.8346672,11819.85189959,11827.56935808,.1,1.70481825,2.95029624,1.34936338,4196.96853131,6240.22428965,2185.87900161,55713.68715
06/27/2024 02:30:09,N,39304.88538935,51591.34028577,25539.70266914,11664.78397893,11763.29846715,.1,1.69609628,2.94352395,1.34936338,4163.69523176,6238.85641074,2183.56500053,55268.89672
06/27/2024 02:45:09,N,38197.29386145,51573.3624823,25238.27776908,12083.52114588,12120.82878634,.1,1.68955899,2.93503698,1.34936338,4172.01895158,6224.62029433,2167.5,54618.97484
06/27/2024 03:00:15,N,38855.534043,51052.4024651,24867.94290542,11542.13778916,11639.25727871,.1,1.69640331,2.9418813,1.34936338,4103.43825944,6178.66750764,2166.63999938,54242.08251
06/27/2024 03:15:11,N,39208.9503417,51200.05781102,24970.20437812,10795.31307896,10801.50212743,.1,1.69736192,2.94283991,1.34936338,3963.52106013,6135.1301099,2137.1999998,53823.08251
06/27/2024 03:30:09,N,39843.13469766,51247.07141733,24985.32018661,9913.92327016,9942.28736972,.1,1.70657528,2.95205327,1.34936338,4046.281081,6154.58010005,2130,53565.39338
06/27/2024 03:45:11,N,40387.51033257,51237.36657953,24986.36515998,9233.51274371,9238.83251023,.2,1.69508404,2.94056203,1.34936338,3959.0335805,6151.15731966,2130,53409.4976
06/27/2024 04:00:15,N,40904.6931201,51165.9524517,24940.85668945,8602.30587151,8657.56989137,.1,1.70708745,2.95256545,1.34936338,3953.21533627,6273.02896097,2128,53358.83123
06/27/2024 04:15:10,N,40514.96764243,51193.27196311,24939.73441123,8556.97037492,8559.8673536,.1,1.7098172,2.95529519,1.34936338,3993.31928532,6289.05642357,2132,52899.85868
06/27/2024 04:30:11,N,40710.14609871,51215.46664953,24942.82854461,8211.1793014,8227.71282356,.1,1.70842324,2.95390123,1.34936338,4020.88580381,6321.89385081,2135.3130002,52762.12818
06/27/2024 04:45:09,N,41506.41305992,51207.85060691,25062.9057846,7727.10926625,7728.28406353,.1,1.6918529,2.93733089,1.34936338,3938.85087577,6297.73674169,2134,52889.36598
06/27/2024 05:00:12,N,42074.17183405,50895.4653294,25088.36674118,7162.79446123,7275.24243182,.12293705,1.69384887,2.93932686,1.34936338,3965.62057999,6470.86793959,2131,53050.87051
06/27/2024 05:15:09,N,42204.33765841,50923.61562371,25114.54844284,6935.71733788,6937.38133801,.12293705,1.70811727,2.95359526,1.34936338,3957.88375058,6464.1636185,2132,52757.13468
06/27/2024 05:30:09,N,42905.97715925,50868.44306373,25119.85965538,6436.94742674,6561.46368111,.12293705,1.71123779,2.95671579,1.34936338,4009.77952854,6473.96752822,2136,53012.47868
06/27/2024 05:45:09,N,43437.30955232,50675.35487747,25531.1459918,6089.62152324,6090.77121763,.1,1.71027112,2.95574911,1.34936338,4022.35263339,6678.797984,2289,53113.02965
06/27/2024 06:00:18,N,43917.17508997,51002.86222195,25497.78081703,5948.79232032,6010.29511461,.1,1.95153928,3.20551727,1.34936338,4094.6526308,6677.21235942,2286,53594.9765
06/27/2024 06:15:11,N,44214.09283953,51249.49546217,25681.54763317,5837.26781551,5840.51548602,.1,5.98434514,7.22982313,1.34936338,4073.53369811,6560.56478619,2290,53702.2066
06/27/2024 06:30:10,N,44220.45570672,51262.47398877,25683.13765716,5717.65558765,5778.41645174,.86200002,45.63256466,46.88405737,2.14273636,4359.17104801,6554.56139416,2287,54255.21248
06/27/2024 06:45:09,N,43998.12444321,51259.84760236,25212.60674381,5466.25328766,5468.41680033,.12,311.72012833,312.96574834,1.24563001,4345.00678078,6556.70297713,2289,54024.14438
