SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
06/29/2024 00:00:17,N,1508,4625.88865661,3361.42769999
06/29/2024 00:15:13,N,1509,4622.98636913,3363.12759999
06/29/2024 00:30:13,N,1509,4632.24226117,3355.1248
06/29/2024 00:45:13,N,1507,4628.62188005,3348.52474999
06/29/2024 01:00:28,N,1507,4639.17821645,3347.52493
06/29/2024 01:15:11,N,1509,4635.29001188,3351.42518999
06/29/2024 01:30:11,N,1509,4626.13396501,3345.92528999
06/29/2024 01:45:11,N,1507,4628.03941774,3348.12497999
06/29/2024 02:00:17,N,1509,4789.26870679,3380.92518999
06/29/2024 02:15:10,N,1507,4762.24986839,3378.6251
06/29/2024 02:30:12,N,1507,4747.15287828,3367.22549999
06/29/2024 02:45:11,N,1509,4739.17613267,3358.52514999
06/29/2024 03:00:19,N,1507,4725.60433855,3416.92515999
06/29/2024 03:15:11,N,1507,4718.59574404,3413.32505999
06/29/2024 03:30:11,N,1507,4718.00420093,3404.72514
06/29/2024 03:45:15,N,1507,4724.48518371,3410.32459999
06/29/2024 04:00:26,N,1507,4749.08420383,3355.625
06/29/2024 04:15:10,N,1507,4752.02944993,3365.92525
06/29/2024 04:30:17,N,1507,4759.07249975,3375.22473
06/29/2024 04:45:11,N,1507,4750.60896348,3365.42452
06/29/2024 05:00:16,N,1507,4730.5292325,3322.32215
06/29/2024 05:15:10,N,1507,4732.73769998,3328.12236
06/29/2024 05:30:10,N,1507,4727.47297239,3324.62204
06/29/2024 05:45:11,N,1507,4721.14755105,3317.62226999
06/29/2024 06:00:19,N,1507,4419.40027666,3358.71945
06/29/2024 06:15:10,N,1507,4412.26840257,3384.82215
06/29/2024 06:30:10,N,1507,4412.83537101,3406.42222999
06/29/2024 06:45:11,N,1507,4410.71155405,3401.02184999
06/29/2024 07:00:14,N,1507,4608.85095405,3418.82229
06/29/2024 07:15:09,N,1507,4610.34880018,3422.82229999
06/29/2024 07:30:12,N,1507,4605.86959695,3418.92222999
06/29/2024 07:45:11,N,1507,4599.22055482,3412.82239
06/29/2024 08:00:21,N,1507,4795.04580545,3423.5225
06/29/2024 08:15:09,N,1507,4784.25927281,3420.72228
06/29/2024 08:30:10,N,1507,4796.43030095,3423.22232
06/29/2024 08:45:09,N,1507,4815.89801239,3438.02250999
06/29/2024 09:00:16,N,1506,4640.21273493,3397.52226999
06/29/2024 09:15:10,N,1506,4656.47002148,3407.02273
06/29/2024 09:30:10,N,1506,4655.86724972,3406.32277999
06/29/2024 09:45:10,N,1506,4661.96344971,3413.02199999
06/29/2024 10:00:14,N,1506,4654.36116766,3492.82256
06/29/2024 10:15:10,N,1506,4651.27539467,3492.22250999
06/29/2024 10:30:11,N,1506,4641.91365218,3484.32281999
06/29/2024 10:45:11,N,1506,4640.28483986,3481.52274999
06/29/2024 11:00:14,N,1505,4635.67283177,3445.82305999
06/29/2024 11:15:11,N,1505,4636.89136433,3447.52233999
06/29/2024 11:30:10,N,1505,4633.89851689,3443.32281999
06/29/2024 11:45:15,N,1505,4630.37335133,3440.12325
06/29/2024 12:00:14,N,1505,4634.24739956,3358.22551
06/29/2024 12:15:11,N,1505,4640.34038186,3364.92597
06/29/2024 12:30:09,N,1505,4638.00031113,3362.02606
06/29/2024 12:45:11,N,1505,4635.49317479,3360.42597999
06/29/2024 13:00:15,N,1505,4705.88721394,3357.42635999
06/29/2024 13:15:11,N,1505,4700.8922255,3351.82552
06/29/2024 13:30:10,N,1505,4706.03058171,3357.22593
06/29/2024 13:45:11,N,1505,4706.45035767,3358.52586
06/29/2024 14:00:15,N,1505,4651.57404637,3377.42535999
06/29/2024 14:15:11,N,1505,4655.6378138,3381.90689482
06/29/2024 14:30:12,N,1505,4649.31281065,3376.23183506
06/29/2024 14:45:11,N,1505,4649.32679963,3375.85398331
06/29/2024 15:00:14,N,1505,4893.54839253,3538.97503588
06/29/2024 15:15:11,N,1505,4884.0425055,3529.54661636
06/29/2024 15:30:11,N,1505,4883.55996155,3531.05088917
06/29/2024 15:45:11,N,1505,4881.55363488,3529.38784318
06/29/2024 16:00:14,N,1506,4899.46437382,3472.07003708
06/29/2024 16:15:12,N,1506,4901.15423512,3469.41291671
06/29/2024 16:30:14,N,1506,4896.980654,3464.65749886
06/29/2024 16:45:11,N,1506,4888.82621407,3453.60122082
06/29/2024 17:00:17,N,1506,4669.69807195,3411.63729025
06/29/2024 17:15:11,N,1506,4673.26215648,3415.82011058
06/29/2024 17:30:12,N,1506,4655.80856966,3418.11208783
06/29/2024 17:45:12,N,1506,4682.44481754,3430.80833921
06/29/2024 18:00:19,N,1573,4926.27138543,3471.35553189
06/29/2024 18:15:14,N,1573,4914.1572597,3557.92827999
06/29/2024 18:30:12,N,1573,4914.74532723,3566.02844999
06/29/2024 18:45:12,N,1573,4921.54012608,3572.82903999
06/29/2024 19:00:16,N,1585,4695.61469721,3534.02909
06/29/2024 19:15:12,N,1585,4703.41334891,3561.12903
06/29/2024 19:30:13,N,1585,4709.86261105,3564.12811999
06/29/2024 19:45:13,N,1585,4705.74988961,3558.82873999
06/29/2024 20:00:16,N,1586,5165.63541626,3652.22878
06/29/2024 20:15:12,N,1586,5167.2665956,3662.12865999
06/29/2024 20:30:11,N,1586,5164.80217719,3665.52817999
06/29/2024 20:45:10,N,1586,5172.52006649,3671.42831999
06/29/2024 21:00:14,N,1526,4762.56832814,3762.22862999
06/29/2024 21:15:10,N,1526,4757.139683,3756.46717008
06/29/2024 21:30:09,N,1526,4766.3675301,3758.36579
06/29/2024 21:45:10,N,1526,4771.9221661,3762.31808005
06/29/2024 22:00:14,N,1506,4656.51389813,3668.42780999
06/29/2024 22:15:11,N,1506,4665.20532536,3670.52827
06/29/2024 22:30:11,N,1506,4678.10667538,3682.52782999
06/29/2024 22:45:10,N,1506,4682.95662522,3663.32565
06/29/2024 23:00:14,N,1507,4701.39549946,3332.72614
06/29/2024 23:15:10,N,1507,4707.43691611,3339.12583
06/29/2024 23:30:12,N,1507,4707.82819294,3339.22587999
06/29/2024 23:45:11,N,1507,4701.90418934,3333.62560999
