SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
07/03/2024 00:00:19,N,2709.44195556,8353.86869478,3757.92539999
07/03/2024 00:15:12,N,2709.515316,8356.0050776,3758.22601999
07/03/2024 00:30:14,N,2709.93082809,8358.58758687,3759.42560999
07/03/2024 00:45:15,N,2711.93289184,8364.21734786,3763.72505999
07/03/2024 01:00:17,N,2710.05675888,8616.16571259,3776.62263
07/03/2024 01:15:14,N,2712.83532714,8624.98549866,3789.82284999
07/03/2024 01:30:15,N,2710.85737609,8622.86024498,3786.52284999
07/03/2024 01:45:11,N,2711.99163436,8638.43717026,3801.52298999
07/03/2024 02:00:18,N,2713.12871932,8650.77401328,3745.92298999
07/03/2024 02:15:10,N,2712.16937255,8656.70081639,3754.82446999
07/03/2024 02:30:11,N,2713.98391723,8655.80311989,3753.42445
07/03/2024 02:45:10,N,2711.91506195,8654.00126576,3752.32425
07/03/2024 03:00:14,N,2714.90568923,8316.9746735,3798.12442999
07/03/2024 03:15:10,N,2713.93610763,8317.00661015,3799.62419999
07/03/2024 03:30:10,N,2712.03908157,8303.72087597,3786.62456999
07/03/2024 03:45:13,N,2715.88660812,8297.18233323,3781.82431
07/03/2024 04:00:13,N,2717.01174163,8428.93136239,3826.22439
07/03/2024 04:15:11,N,2721.11936187,8426.43149781,3826.82398999
07/03/2024 04:30:10,N,2721.29665374,8424.98516297,3823.82411
07/03/2024 04:45:09,N,2723.56463623,8420.41130375,3818.72435
07/03/2024 05:00:11,N,2719.37941741,8434.78594422,3870.82438
07/03/2024 05:15:07,N,2716.41086578,8424.34203362,3863.52393
07/03/2024 05:30:08,N,2718.28103637,8414.51794552,3923.55825538
07/03/2024 05:45:08,N,2718.158535,8403.74720788,3843.12438
07/03/2024 06:00:12,N,2718.24292755,8431.40363812,3745.72401
07/03/2024 06:15:09,N,2721.21594619,8431.27609276,3780.02435
07/03/2024 06:30:09,N,2720.06476593,8424.51793313,3798.52401999
07/03/2024 06:45:08,N,2725.1237297,8420.42751832,3798.84864147
07/03/2024 07:00:12,N,2723.02480316,8169.35397866,3807.61417737
07/03/2024 07:15:10,N,2723.98860931,8171.88090713,3809.58679431
07/03/2024 07:30:08,N,2725.79813079,8181.98650877,3817.17924224
07/03/2024 07:45:10,N,2724.74959564,8232.5587849,3820.17557475
07/03/2024 08:00:11,N,2726.43645477,9062.80587244,3838.75488155
07/03/2024 08:15:12,N,2570.82187348,8905.16046375,3838.90186343
07/03/2024 08:30:10,N,2566.44154435,8989.91932493,3832.89948697
07/03/2024 08:45:09,N,2560.29782944,9021.60715842,3839.12672849
07/03/2024 09:00:14,N,2556.53346711,8573.66228181,3795.02814457
07/03/2024 09:15:11,N,2556.43851929,8648.49444788,3834.41383292
07/03/2024 09:30:10,N,2555.2451294,8656.82420831,3840.54906841
07/03/2024 09:45:08,N,2552.09503632,8794.12674289,3803.0261104
07/03/2024 10:00:12,N,2546.75842744,8471.83732706,3843.1483506
07/03/2024 10:15:11,N,2553.70520478,8458.37067657,3896.74023235
07/03/2024 10:30:10,N,2556.74287873,8547.17783743,3969.2270201
07/03/2024 10:45:10,N,2549.24307328,8530.97869116,3856.30048265
07/03/2024 11:00:13,N,2551.54782563,8674.35370808,3797.10684804
07/03/2024 11:15:11,N,2707.03660964,8837.76247692,3785.28951321
07/03/2024 11:30:10,N,2701.51881027,8842.23427915,3778.18593357
07/03/2024 11:45:10,N,2700.30402755,8851.91257023,3787.03675675
07/03/2024 12:00:13,N,2695.58618164,8690.91539978,3789.70670614
07/03/2024 12:15:11,N,2705.28582,8705.02066445,3790.32670258
07/03/2024 12:30:10,N,2693.82305908,8682.83953261,3824.41927871
07/03/2024 12:45:11,N,2694.96263122,8699.93862652,3958.92485502
07/03/2024 13:00:14,N,2698.15009307,9680.14308524,4037.60079691
07/03/2024 13:15:12,N,2687.59225463,9675.46795392,3970.41497741
07/03/2024 13:30:11,N,2685.99478912,9670.9165318,3883.73621896
07/03/2024 13:45:11,N,2691.70383071,9721.35656094,3829.82224373
07/03/2024 14:00:15,N,4994.28045272,11460.02969074,6331.54531784
07/03/2024 14:15:11,N,4995.43265151,11435.10247111,6447.63379591
07/03/2024 14:30:11,N,4993.81994628,11483.20367062,6422.1464281
07/03/2024 14:45:11,N,4991.23757934,11482.52439415,6381.98034486
07/03/2024 15:00:14,N,4988.89212417,11282.2525444,6242.65808697
07/03/2024 15:15:13,N,4960.83069992,11235.66151815,6363.24286376
07/03/2024 15:30:13,N,4950.98651885,11216.68916058,6309.72354555
07/03/2024 15:45:12,N,4936.76185989,11210.53885936,6296.97081484
07/03/2024 16:00:20,N,4959.41004943,11007.2927792,6235.94209911
07/03/2024 16:15:12,N,4959.65928649,11020.85373187,6280.31906227
07/03/2024 16:30:14,N,4956.70555877,10834.34426045,6291.00641343
07/03/2024 16:45:11,N,4961.47463226,10841.20440053,6306.87376358
07/03/2024 17:00:16,N,4856.72783279,10899.50135636,6671.34643983
07/03/2024 17:15:18,N,4859.10400772,10926.89901423,6762.91586627
07/03/2024 17:30:12,N,4847.46822357,11017.04130768,6794.46208777
07/03/2024 17:45:13,N,4852.39408111,10920.36777377,6796.15254712
07/03/2024 18:00:14,N,4878.74861907,10975.65248179,6452.58814802
07/03/2024 18:15:11,N,4880.34977722,10962.87636661,6496.46852602
07/03/2024 18:30:12,N,4880.33987426,10981.37069582,6448.55031156
07/03/2024 18:45:11,N,4885.54921722,10982.19542181,6445.66318056
07/03/2024 19:00:15,N,4912.70095062,11845.70440793,6460.52645922
07/03/2024 19:15:10,N,4909.89665985,11837.76069307,6495.00852574
07/03/2024 19:30:11,N,4909.99312591,11813.96181976,6466.61064415
07/03/2024 19:45:13,N,4909.83134078,11832.34118336,6455.4934582
07/03/2024 20:00:15,N,4925.04885864,11489.34354853,6493.01467296
07/03/2024 20:15:12,N,4925.04431152,11473.040368,6496.09314053
07/03/2024 20:30:13,N,4920.8835409,11488.1768473,6500.27011806
07/03/2024 20:45:11,N,4923.96574382,11495.19897321,6473.81471752
07/03/2024 21:00:17,N,4887.71177272,11559.26614717,7088.22258234
07/03/2024 21:15:14,N,4887.30092601,11560.79048876,7039.62843955
07/03/2024 21:30:11,N,4886.41361979,11555.35832361,7026.29662072
07/03/2024 21:45:12,N,4888.45190791,11548.48027185,7007.7014204
07/03/2024 22:00:16,N,5022.02787379,11131.32275919,6169.6497522
07/03/2024 22:15:11,N,4849.91506175,10902.60129217,6166.61219431
07/03/2024 22:30:09,N,4843.43109874,10900.5577412,6164.21673355
07/03/2024 22:45:11,N,4843.69559459,10897.38905672,6136.81626851
07/03/2024 23:00:19,N,4844.40118388,10656.10929827,6100.587344
07/03/2024 23:15:10,N,4849.22140864,10652.34598879,6096.75523155
07/03/2024 23:30:13,N,4845.37509898,10640.08481268,6091.25503155
07/03/2024 23:45:11,N,4844.06095485,10637.63937668,6085.86317634
