SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
07/06/2024 00:00:15,N,22090.92324,3,22087.92324
07/06/2024 00:15:10,N,21939.91728,3,21936.91728
07/06/2024 00:30:11,N,21913.89921,3,21910.89921
07/06/2024 00:45:11,N,21653.76346,2,21651.76346
07/06/2024 01:00:20,N,21554.53668,2,21552.53668
07/06/2024 01:15:11,N,21182.88852,1,21181.88852
07/06/2024 01:30:12,N,20986.29231,2,20984.29231
07/06/2024 01:45:10,N,20608.95711,3,20605.95711
07/06/2024 02:00:23,N,20896.88254,2,20894.88254
07/06/2024 02:15:10,N,20771.44148,2,20769.44148
07/06/2024 02:30:12,N,20724.09723,2,20722.09723
07/06/2024 02:45:11,N,20576.58445,3,20573.58445
07/06/2024 03:00:13,N,20183.43536,3,20180.43536
07/06/2024 03:15:11,N,19989.56122,2,19987.56122
07/06/2024 03:30:10,N,19729.10873,3,19726.10873
07/06/2024 03:45:11,N,19641.60344,1,19640.60344
07/06/2024 04:00:14,N,19550.82542,2,19548.82542
07/06/2024 04:15:10,N,19433.76042,3,19430.76042
07/06/2024 04:30:12,N,19506.92131,2,19504.92131
07/06/2024 04:45:10,N,19458.31782,2,19456.31782
07/06/2024 05:00:17,N,19420.12172,2,19418.12172
07/06/2024 05:15:11,N,19448.66108,1,19447.66108
07/06/2024 05:30:11,N,19417.61459,-57,19474.61459
07/06/2024 05:45:12,N,19256.66528,-123.1,19379.76528
07/06/2024 06:00:17,N,19087.2537,-124.1,19211.3537
07/06/2024 06:15:11,N,19426.2564,-124.1,19550.3564
07/06/2024 06:30:10,N,19372.09536,-223.1,19595.19536
07/06/2024 06:45:10,N,19239.1539,-223.1,19462.2539
07/06/2024 07:00:14,N,19417.3175,-223.1,19640.4175
07/06/2024 07:15:10,N,19472.1444,-265.1,19737.2444
07/06/2024 07:30:11,N,20230.13552,-298.1,20528.23552
07/06/2024 07:45:11,N,20245.99339,-297.1,20543.09339
07/06/2024 08:00:14,N,20685.40068,-236.1,20921.50068
07/06/2024 08:15:11,N,21525.37114,-81,21606.37114
07/06/2024 08:30:11,N,22207.58071,1,22206.58071
07/06/2024 08:45:11,N,22158.04104,0,22158.04104
07/06/2024 09:00:12,N,22272.49285,0,22272.49285
07/06/2024 09:15:12,N,22786.9129,1,22785.9129
07/06/2024 09:30:11,N,22978.73181,1,22977.73181
07/06/2024 09:45:10,N,23441.4598,0,23441.4598
07/06/2024 10:00:13,N,23707.87614,0,23707.87614
07/06/2024 10:15:11,N,24395.2087,0,24395.2087
07/06/2024 10:30:10,N,24783.66003,0,24783.66003
07/06/2024 10:45:11,N,25121.94043,0,25121.94043
07/06/2024 11:00:15,N,25667.05681,0,25667.05681
07/06/2024 11:15:12,N,26418.09548,0,26418.09548
07/06/2024 11:30:11,N,26847.00679,0,26847.00679
07/06/2024 11:45:12,N,26910.90357,0,26910.90357
07/06/2024 12:00:18,N,27319.7376,1,27318.7376
07/06/2024 12:15:11,N,27649.89489,0,27649.89489
07/06/2024 12:30:13,N,28180.98009,0,28180.98009
07/06/2024 12:45:11,N,28434.93514,0,28434.93514
07/06/2024 13:00:15,N,28604.37037,0,28604.37037
07/06/2024 13:15:11,N,28967.16603,1,28966.16603
07/06/2024 13:30:13,N,28997.49965,0,28997.49965
07/06/2024 13:45:11,N,29084.10454,0,29084.10454
