SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
07/10/2024 00:00:17,N,18165.34691145,24583.13259965,12662.90097808,1082.65538549,1082.65538549,0,112.55002439,575.44199514,50,19610.55914
07/10/2024 00:15:12,N,17737.01250435,24462.33031041,12633.07360076,1123.43393659,1123.43393659,0,95.47545361,575.43399572,50,19084.80411
07/10/2024 00:30:11,N,17349.05042609,24419.85564602,12634.20775985,1190.08080887,1190.08080887,0,86.17815518,575.43799352,50,18731.6505
07/10/2024 00:45:13,N,17281.19897133,23935.46663306,12332.10602569,1289.91263997,1289.91263997,0,59.57615852,575.43999624,50,18687.75083
07/10/2024 01:00:19,N,17107.47881765,23794.90628862,12280.099617,1378.65757513,1378.65757513,0,52.59616756,575.43899679,50,18510.93562
07/10/2024 01:15:16,N,17123.47445053,23798.84962581,12280.12498855,1459.1076138,1459.1076138,0,67.80839622,575.44399404,50,18647.11822
07/10/2024 01:30:11,N,16839.12997215,23804.26420734,12284.20941543,1507.31916701,1507.31916701,0,74.7974587,575.43699407,50,18528.83629
07/10/2024 01:45:11,N,16525.88609016,23796.30944508,12312.39305496,1490.25171601,1490.25171601,0,79.42717248,575.43699407,50,18203.36094
07/10/2024 02:00:17,N,16425.23899505,23624.18889643,12294.81544113,1450.46427869,1450.46427869,0,75.80256655,575.43600988,50,17965.01737
07/10/2024 02:15:11,N,16192.40795706,23629.75673082,12324.20116806,1360.40495371,1360.40495371,0,53.73462557,575.44201421,50,17576.15784
07/10/2024 02:30:10,N,16452.25863124,23651.73690253,12324.6074028,1372.75860762,1372.75860762,0,54.94912631,575.43800878,50,17774.18875
07/10/2024 02:45:13,N,16251.46546257,23650.89837329,12324.25237655,1386.61314439,1386.61314439,0,58.17351531,575.43101263,50,17731.33406
07/10/2024 03:00:14,N,16124.72989353,23678.68362755,12356.60741806,1384.18638312,1384.18638312,0,50,575.43999624,50,17363.9857
07/10/2024 03:15:13,N,16663.49410258,23671.201332,12359.49772262,1401.69767308,1401.69767308,0,50,575.43399572,50,17803.18045
07/10/2024 03:30:11,N,16697.30782938,23813.66022329,12357.80327224,1417.72538375,1417.72538375,0,50,571.82899236,50,18011.74898
07/10/2024 03:45:14,N,16801.50264872,23802.56910436,12362.19382858,1432.58004093,1432.58004093,0,50.20000076,571.82599401,50,18305.91175
07/10/2024 04:00:14,N,16834.64873451,23842.39877816,12299.7051067,1427.9221034,1427.9221034,0,50.20000076,571.82499456,50,18175.43703
07/10/2024 04:15:11,N,16843.13479524,23886.21454034,12296.57106399,1418.68457329,1418.68457329,0,59.56539058,571.82999563,50,18292.94165
07/10/2024 04:30:13,N,16903.00069375,23895.37954163,12320.40852355,1350.21580708,1350.21580708,0,50.29999923,571.82699346,50,18388.14849
07/10/2024 04:45:12,N,16902.3751906,23896.25564657,12312.33864974,1235.551162,1235.551162,0,50.09999847,571.81999731,50,18126.24858
07/10/2024 05:00:14,N,16910.90796344,23880.02680365,12284.91182327,1184.79352766,1184.79352766,0,50.20000076,571.81599569,50,18113.33328
07/10/2024 05:15:10,N,16996.68958648,23880.25773033,12284.50247573,1149.00797134,1149.00797134,0,50.29999923,571.82999563,50,18165.66713
07/10/2024 05:30:10,N,17016.47081157,23820.63102695,12301.90591812,1085.6398459,1085.6398459,0,50.20000076,571.82399511,50,18125.72068
07/10/2024 05:45:10,N,17174.53965245,23805.63654003,12307.40706634,1062.33905607,1062.33905607,0,50.09999847,571.82399511,50,18290.48103
07/10/2024 06:00:19,N,17181.20632852,23857.97951902,12383.05679321,1057.77281245,1057.77281245,0,50,531.82399511,50,18192.35529
07/10/2024 06:15:11,N,17533.80112057,23859.30425721,12342.82068634,1033.45221662,1033.45221662,0,83.21883344,592.91799306,50,18487.05753
07/10/2024 06:30:10,N,17499.05268027,23832.08289363,12343.23368072,970.94230794,970.94230794,0,50.20000076,592.92199468,50,18684.56721
07/10/2024 06:45:11,N,17903.33492193,23921.9361001,12388.4771347,928.0938096,928.0938096,0,70.09924986,592.98574996,50,18931.88463
07/10/2024 07:00:19,N,18049.3310182,24119.5410478,12923.5896492,872.45754313,872.45754313,0,152.72172904,584.477061,50,18855.04357
07/10/2024 07:15:12,N,18677.60591578,24528.61522078,12924.95462417,810.94366362,810.94366362,0,119.425691,586.66950178,50,19666.61227
07/10/2024 07:30:11,N,18208.09414338,25152.71279287,12906.63449478,752.11437789,752.11437789,0,128.27430333,589.14603072,50,19777.74455
07/10/2024 07:45:13,N,19269.58182811,26087.07286929,12909.06111907,654.13139724,654.13139724,0,151.1842638,591.5793482,50,19781.9354
07/10/2024 08:00:20,N,19613.27264213,26540.27961063,12863.36714935,571.75084516,571.75084516,0,142.66911316,610.71452128,50,20216.58973
07/10/2024 08:15:11,N,20316.34338283,27292.57661533,12843.88570022,459.73754767,459.73754767,0,143.16260343,612.74755239,50,20927.94136
07/10/2024 08:30:12,N,20384.67699193,27605.51324415,12861.47579193,336.60914179,336.60914179,0,179.33662766,613.84497368,50,20721.2144
07/10/2024 08:45:14,N,21057.76894187,27970.1808853,12940.74503326,266.27050432,266.27050432,0,123.43435588,573.97252309,50,21066.95321
07/10/2024 09:00:16,N,21245.81512832,28473.87860106,12900.981884,227.68989691,227.68989691,0,70.77197368,506.03491997,50,21740.69404
07/10/2024 09:15:10,N,21779.38599681,28946.17108917,12916.88394927,216.09224093,216.09224093,0,67.52464743,515.69517874,50,21828.83423
07/10/2024 09:30:11,N,22306.17728972,28909.54387473,13043.841156,209.62012556,209.62012556,.02999999,68.0098764,518.89332485,50,22435.42397
07/10/2024 09:45:12,N,22573.47903907,29177.17779254,13003.59054565,188.19326671,188.19326671,0,69.90398401,516.78940844,50,22744.81617
07/10/2024 10:00:14,N,23360.96566795,29461.19952105,12937.84075927,183.42921481,183.42921481,0,70.46151217,631.01170682,50,23291.60092
07/10/2024 10:15:10,N,23348.34195136,29531.71850394,12939.79568481,173.46862056,173.46862056,0,106.56229854,556.40974974,50,23488.03219
07/10/2024 10:30:12,N,23294.27062785,29628.81157194,13080.16812133,149.90354104,149.90354104,0,106.47368266,555.71764278,50,23411.37204
07/10/2024 10:45:11,N,23657.82995413,29898.38650797,13088.00463867,126.94441423,126.94441423,0,105.0483389,553.09531021,50,23686.53753
07/10/2024 11:00:15,N,23827.26185798,30185.16312408,13230.1375885,127.47369135,127.47781225,0,71.33076554,470.26929497,50,24012.77549
07/10/2024 11:15:11,N,24204.10234212,30245.74051236,13240.66014862,107.74848482,107.74848482,0,75.38459228,446.39956164,50,24298.63505
07/10/2024 11:30:11,N,24559.76522349,30027.45051478,13238.83340072,88.0262934,88.0262934,0,62.24736589,434.89875197,50,24347.56282
07/10/2024 11:45:11,N,24828.93927859,30145.75856684,13264.06760787,76.58566472,76.58566472,0,67.7936584,440.50687456,50,24748.25178
07/10/2024 12:00:16,N,25568.10781573,30318.17963885,13178.11767101,64.47804031,64.47804031,0,105.33841435,268.03291416,50,25439.70353
07/10/2024 12:15:11,N,25928.23338746,30379.70205354,13173.2538681,79.0609245,79.0609245,0,88.23454318,274.87439584,50,26032.71589
07/10/2024 12:30:11,N,26878.33202934,30265.52407645,13182.5680828,66.84605846,66.84605846,.36999998,77.89759382,273.9001522,50,26754.21111
07/10/2024 12:45:11,N,27361.06217574,30284.41503715,13183.42495822,68.35728881,68.35728881,.02999999,90.76764363,279.45768976,50,27217.96433
07/10/2024 13:00:14,N,26938.24783729,29428.68846225,12777.13138294,73.32720869,73.32820869,.44999997,105.1466759,278.52294874,50,27011.44518
07/10/2024 13:15:11,N,26913.29014157,29210.08464383,12775.42828083,72.500877,72.50666942,0,109.51936003,274.07008218,50,26995.65529
07/10/2024 13:30:10,N,26601.20912647,29492.3592615,13295.76060962,72.62705659,72.63805659,.05899999,138.46370875,272.96795463,50,26988.32315
07/10/2024 13:45:11,N,26030.37480163,29249.62477111,13282.87333297,67.49419948,67.49519948,0,131.57078021,268.91493225,50,26417.38541
07/10/2024 14:00:18,N,24022.86913704,26996.09605455,10897.15326404,101.93768031,101.93768031,0,2506.28209532,2654.38772344,2424.2869873,26603.79372
07/10/2024 14:15:09,N,24266.41905116,27619.88483571,11017.18205738,145.85825144,145.85825144,0,2536.52992112,2663.14972925,2426.26489257,26848.6794
07/10/2024 14:30:11,N,24733.79690002,27823.60145758,11017.00748157,152.48587566,152.48687566,0,2538.82576978,2661.91546256,2426.26489257,27270.2192
07/10/2024 14:45:10,N,25261.94225835,27946.83589315,11092.59016895,137.23585868,137.23585868,0,2514.18438259,2653.07414062,2425.60559082,27688.84629
07/10/2024 15:00:14,N,25464.51380967,28013.62937974,11064.20625782,103.24668534,103.24768535,0,2500.61496746,2672.88362605,2424.94628906,27870.03306
07/10/2024 15:15:11,N,25913.36811351,28341.21317052,11185.62239551,106.66300155,106.66400155,0,2549.25601508,2671.04462058,2425.60559082,28360.90727
07/10/2024 15:30:13,N,25524.64469623,28645.62770175,11183.45045948,107.57880675,107.57980675,0,2503.97006432,2679.49559981,2424.94628906,28329.15117
07/10/2024 15:45:10,N,25943.12529587,28447.45787905,11203.37326145,104.04690824,104.04690824,0,2492.69674906,2730.88897521,2424.94628906,28336.73133
07/10/2024 16:00:14,N,25860.6207466,28195.40858649,11202.46818637,98.11320023,98.11320023,.06999999,2499.51535967,2749.02859695,2425.60559082,28326.80167
07/10/2024 16:15:13,N,25942.12657021,28377.1315503,11200.51610279,107.1446852,107.1456852,0,2484.17832283,2739.50599861,2424.94628906,28262.71723
07/10/2024 16:30:13,N,25979.7528684,28157.34125399,11201.62759876,93.89199811,93.89299811,.05399999,2493.44157837,2772.68211555,2424.94628906,28535.19893
07/10/2024 16:45:13,N,24797.59816669,28236.63533138,10681.69116687,122.52080451,122.52180451,.15699999,2510.63288757,2779.11213922,2424.94628906,28038.54657
07/10/2024 17:00:17,N,24698.51184807,28247.42919312,10682.27471362,142.67746929,142.67746929,0,2597.34095703,2889.00505478,2424.94628906,27538.61053
07/10/2024 17:15:12,N,25024.85359811,28400.52543067,10681.13092517,149.69201368,149.69201368,0,2592.19057649,2894.22739203,2424.94628906,27546.93865
07/10/2024 17:30:11,N,24914.6660428,28347.59991025,10681.2840929,180.7341195,180.7351195,0,2626.80033435,2906.29530246,2427.75770068,27629.89471
07/10/2024 17:45:11,N,25250.53854107,28070.64875172,10683.33401966,215.65454512,215.65454512,0,2592.60331247,2903.39876468,2423.62756347,27796.45802
07/10/2024 18:00:18,N,25146.76588057,27794.71557664,10682.82071399,242.09685227,242.09685227,0,2603.37069424,2791.17492396,2424.94628906,27785.66506
07/10/2024 18:15:11,N,24692.36808728,27612.18545388,10684.49522113,281.29469525,281.29469525,0,2588.94046115,2795.48348291,2422.96826171,27475.34636
07/10/2024 18:30:10,N,24986.78367566,27455.57707833,10683.47656345,311.59110692,311.59110692,0,2591.93168115,2784.94719131,2424.2869873,27645.11483
07/10/2024 18:45:13,N,24777.26963853,26986.85060834,10680.11902332,350.72965997,350.73265997,0,2672.394979,2783.40117342,2423.62768554,27709.05439
07/10/2024 19:00:14,N,23584.87836169,26188.69564056,10698.30172824,376.75107864,376.75107864,0,2579.13097572,2744.26003987,2424.2869873,26797.50966
07/10/2024 19:15:11,N,23306.47912572,25225.62202619,10697.83939075,423.3430837,423.3430837,0,2575.09919691,2741.39703853,2424.2869873,26137.33201
