SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
07/10/2024 00:00:17,N,330,1695.64199781,54.6
07/10/2024 00:15:12,N,330,1695.63399839,54.6
07/10/2024 00:30:11,N,330,1695.63799619,54.6
07/10/2024 00:45:13,N,330,1695.63999891,54.6
07/10/2024 01:00:19,N,330,1695.63899946,54.1
07/10/2024 01:15:16,N,330,1695.64399671,54.1
07/10/2024 01:30:11,N,330,1695.63699674,54.1
07/10/2024 01:45:11,N,330,1695.63699674,54.1
07/10/2024 02:00:17,N,330,1695.63599729,50
07/10/2024 02:15:11,N,330,1695.64199781,50
07/10/2024 02:30:10,N,330,1695.63799619,50
07/10/2024 02:45:13,N,330,1695.63100004,50
07/10/2024 03:00:14,N,330,1695.63999891,81.5
07/10/2024 03:15:13,N,330,1695.63399839,81.5
07/10/2024 03:30:11,N,330,1692.02899503,81.5
07/10/2024 03:45:14,N,330,1692.02599668,81.5
07/10/2024 04:00:14,N,330,1692.02499723,50.4
07/10/2024 04:15:11,N,330,1692.0299983,50.4
07/10/2024 04:30:13,N,330,1692.02699613,50.4
07/10/2024 04:45:12,N,330,1692.01999998,50.4
07/10/2024 05:00:14,N,330,1692.01599836,50
07/10/2024 05:15:10,N,330,1692.0299983,50
07/10/2024 05:30:10,N,330,1692.02399778,50
07/10/2024 05:45:10,N,330,1692.02399778,50
07/10/2024 06:00:19,N,330,1692.02399778,50
07/10/2024 06:15:11,N,330,1692.01799726,50
07/10/2024 06:30:10,N,330,1692.02199888,50
07/10/2024 06:45:11,N,330,1692.08575416,70.09924986
07/10/2024 07:00:19,N,330,1569.47705909,100.94631553
07/10/2024 07:15:12,N,330,1571.66949987,103.13463127
07/10/2024 07:30:11,N,330,1574.14602881,105.61519589
07/10/2024 07:45:13,N,330,1576.57934629,108.01960144
07/10/2024 08:00:20,N,330,1707.114519,111.6646473
07/10/2024 08:15:11,N,330,1709.1475501,113.69739319
07/10/2024 08:30:12,N,330,1710.24497139,114.76986016
07/10/2024 08:45:14,N,330,1670.3725208,85.86882815
07/10/2024 09:00:16,N,330,1654.5324223,94.23284234
07/10/2024 09:15:10,N,330,1652.09518027,91.62464743
07/10/2024 09:30:11,N,330,1655.29332256,92.1098764
07/10/2024 09:45:12,N,330,1653.18940997,92.70440869
07/10/2024 10:00:14,N,330,1819.21170568,68.85918327
07/10/2024 10:15:10,N,330,1819.6097486,69.05545774
07/10/2024 10:30:12,N,330,1818.91764163,68.76686802
07/10/2024 10:45:11,N,330,1816.29530715,69.44387342
07/10/2024 11:00:15,N,330,1682.46929383,69.72843212
07/10/2024 11:15:11,N,330,1658.59956049,69.7783786
07/10/2024 11:30:11,N,330,1647.09875082,58.24333757
07/10/2024 11:45:11,N,330,1652.70687341,62.58714571
07/10/2024 12:00:16,N,330,1616.43290615,62.13603703
07/10/2024 12:15:11,N,330,1623.27438783,76.43216739
07/10/2024 12:30:11,N,330,1622.30014419,82.59759459
07/10/2024 12:45:11,N,330,1627.85768175,95.76764363
07/10/2024 13:00:14,N,330,1656.02294206,119.88162246
07/10/2024 13:15:11,N,330,1646.57007551,122.94576756
07/10/2024 13:30:10,N,330,1645.46794795,129.33702237
07/10/2024 13:45:11,N,330,1641.41492557,132.77839839
07/10/2024 14:00:18,N,2704.2869873,4021.88771677,2560.69171267
07/10/2024 14:15:09,N,2706.26489257,4030.64972257,2567.32398641
07/10/2024 14:30:11,N,2706.26489257,4029.41545589,2554.47315614
07/10/2024 14:45:10,N,2705.60559082,4020.57413394,2546.62804123
07/10/2024 15:00:14,N,2689.94628906,3981.38361651,2521.69933454
07/10/2024 15:15:11,N,2690.60559082,3992.23461206,2532.34239203
07/10/2024 15:30:13,N,2689.94628906,3991.78759057,2532.92377374
07/10/2024 15:45:10,N,2689.94628906,4043.18096597,2520.75045695
07/10/2024 16:00:14,N,2690.60559082,4018.92058999,2552.80977037
07/10/2024 16:15:13,N,2689.94628906,4037.9979825,2537.93203071
07/10/2024 16:30:13,N,2689.94628906,4042.5741086,2547.49528931
07/10/2024 16:45:13,N,2689.94628906,4049.00413227,2553.8799357
07/10/2024 17:00:17,N,2690.60559082,4063.81950051,2626.27624927
07/10/2024 17:15:12,N,2689.94628906,4068.71800406,2631.71579688
07/10/2024 17:30:11,N,2690.60559082,4080.78729589,2643.13785114
07/10/2024 17:45:11,N,2688.62756347,4077.89075811,2642.17574594
07/10/2024 18:00:18,N,2689.94628906,3883.56692082,2594.18277119
07/10/2024 18:15:11,N,2687.96826171,3890.47547967,2592.77220096
07/10/2024 18:30:10,N,2689.2869873,3879.93918807,2580.72571172
07/10/2024 18:45:13,N,2688.62768554,3878.39317019,2579.96728887
07/10/2024 19:00:14,N,2689.2869873,4028.18803174,2600.44398536
07/10/2024 19:15:11,N,2689.2869873,4026.68603618,2596.31220808
07/10/2024 19:30:12,N,2688.62756347,4023.60579497,2593.78780355
07/10/2024 19:45:12,N,2689.2869873,4021.30097873,2590.72257103
07/10/2024 20:00:18,N,2689.2869873,4396.9831093,2567.61110837
07/10/2024 20:15:11,N,2689.94628906,4396.3850842,2566.25634011
07/10/2024 20:30:11,N,2688.62768554,4434.2216846,2565.71020339
07/10/2024 20:45:12,N,2688.62768554,4434.21768679,2565.7
07/10/2024 21:00:16,N,2688.62768554,4446.02568545,2649.3
07/10/2024 21:15:11,N,2688.62756347,4446.02256503,2641.8
07/10/2024 21:30:10,N,2689.94628906,4447.33929171,2634.3
07/10/2024 21:45:12,N,2688.62768554,4446.01569094,2626.8
07/10/2024 22:00:17,N,2688.62768554,3965.12068667,2518.8
07/10/2024 22:15:11,N,2687.96826171,3964.46526446,2511.3
07/10/2024 22:30:11,N,2688.62768554,3965.12168612,2503.8
07/10/2024 22:45:11,N,2687.96826171,3964.46526446,2496.3
07/10/2024 23:00:15,N,2688.62768554,3965.11668887,2432.3
07/10/2024 23:15:12,N,2689.2869873,3966.43929019,2432.3
07/10/2024 23:30:10,N,2687.96826171,3964.45626559,2432.3
07/10/2024 23:45:13,N,2688.62768554,3965.11868777,2432.3
